Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-25 00:00:00+03:00,24.056278228759766,24.48080150548234,23.9619395228924,24.056278228759766,1370106,0.0,0.0
2021-07-26 00:00:00+03:00,24.19778375259254,24.29212245208449,23.82043075398576,24.103445053100586,1383401,0.0,0.0
2021-07-27 00:00:00+03:00,24.10344601322637,24.197784716476168,23.86760015478243,23.961938858032227,674522,0.0,0.0
2021-07-28 00:00:00+03:00,23.91477040608788,24.056277561282023,23.773263250893734,23.961938858032227,562752,0.0,0.0
2021-07-29 00:00:00+03:00,24.0562779497764,24.1977851072558,23.86760054022978,24.009109497070312,852946,0.0,0.0
2021-08-01 00:00:00+03:00,23.961938577735364,24.15061598202789,23.867599875589104,23.914770126342773,511937,0.0,0.0
2021-08-02 00:00:00+03:00,23.961937905182328,24.339290903814916,23.820430755615234,23.820430755615234,1416542,0.0,0.0
2021-08-03 00:00:00+03:00,23.867601450166628,23.914771704032184,23.527984619140625,23.527984619140625,655598,0.0,0.0
2021-08-04 00:00:00+03:00,23.33930779176459,23.509117111246212,23.112895965576172,23.112895965576172,628021,0.0,0.0
2021-08-05 00:00:00+03:00,23.131761546340748,23.452512048320955,22.829879144326686,23.414775848388672,629375,0.0,0.0
2021-08-08 00:00:00+03:00,23.565717697143555,23.86760010745542,23.452512692957153,23.565717697143555,571593,0.0,0.0
2021-08-09 00:00:00+03:00,23.565718942047532,23.565718942047532,23.188365909223304,23.24496841430664,440154,0.0,0.0
2021-08-10 00:00:00+03:00,23.30157216044084,23.4147771678951,23.094026647839453,23.150630950927734,451114,0.0,0.0
2021-08-11 00:00:00+03:00,23.16949525252547,23.207231451326802,22.792142261317107,22.811010360717773,427371,0.0,0.0
2021-08-12 00:00:00+03:00,22.66007104720239,22.73554165171539,21.943099404648315,22.35818862915039,785866,0.0,0.0
2021-08-15 00:00:00+03:00,22.263849841338025,22.358188546470704,22.150643035306587,22.301584243774414,422283,0.0,0.0
2021-08-16 00:00:00+03:00,22.22611234578725,22.4902603449108,21.980832446464174,21.99970054626465,393281,0.0,0.0
2021-08-17 00:00:00+03:00,21.94309804832356,21.94309804832356,21.58461134952437,21.716686248779297,583307,0.0,0.0
2021-08-18 00:00:00+03:00,21.71668492883221,21.99969921122058,21.64121433357125,21.754419326782227,593809,0.0,0.0
2021-08-19 00:00:00+03:00,21.60348198807888,21.678952596795963,21.169526437795966,21.414806365966797,643023,0.0,0.0
2021-08-22 00:00:00+03:00,21.414805618984843,21.509142527069645,20.77330456758558,20.811038970947266,606848,0.0,0.0
2021-08-23 00:00:00+03:00,20.811038970947266,20.811038970947266,20.811038970947266,20.811038970947266,0,0.0,0.0
2021-08-24 00:00:00+03:00,20.094065471388227,20.565757166015754,20.094065471388227,20.52802276611328,1149137,0.0,0.0
2021-08-25 00:00:00+03:00,20.603495280556672,21.226128231395375,20.509156572989344,20.754436492919922,1339303,0.0,0.0
2021-08-26 00:00:00+03:00,20.754437130717683,20.92424644968499,20.60349591371591,20.678966522216797,535061,0.0,0.0
