,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.2,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,13756614.0,-48506344.0,-9155461.0
Reconciled Depreciation,11412724.0,11765332.0,11841037.0
Net Interest Income,-18225433.0,-10934463.0,-6685518.0
Interest Expense,18225433.0,10934463.0,6685518.0
Interest Income,0.0,0.0,0.0
Normalized Income,13756614.0,-48506344.0,-9155461.0
Net Income From Continuing And Discontinued Operation,13756614.0,-48506344.0,-9155461.0
Diluted Average Shares,66000000.0,66000000.0,
Basic Average Shares,66000000.0,66000000.0,
Diluted EPS,0.208434,-0.734945,-0.138719
Basic EPS,0.208434,-0.734945,-0.138719
Diluted NI Availto Com Stockholders,13756614.0,-48506344.0,-9155461.0
Net Income Common Stockholders,13756614.0,-48506344.0,-9155461.0
Net Income,13756614.0,-48506344.0,-9155461.0
Net Income Including Noncontrolling Interests,13756614.0,-48506344.0,-9155461.0
Net Income Continuous Operations,13756614.0,-48506344.0,-9155461.0
Pretax Income,13756614.0,-48506344.0,-9155461.0
Gain On Sale Of Security,11327654.0,266076.0,-1166710.0
Operating Expense,10331199.0,58684012.0,19303233.0
Other Operating Expenses,-3398066.0,40900825.0,6172768.0
Depreciation And Amortization In Income Statement,11412724.0,11765332.0,11841037.0
Depreciation Income Statement,11412724.0,11765332.0,11841037.0
Selling General And Administration,2316541.0,6017855.0,1289428.0
General And Administrative Expense,2316541.0,6017855.0,1289428.0
Total Revenue,24087813.0,10177668.0,10147772.0
Operating Revenue,24087813.0,10177668.0,10147772.0
