,2025-12-31,2024-12-31
Free Cash Flow,27035007.0,-287162951.0
Repayment Of Debt,-2079514059.0,-2365414531.0
Issuance Of Debt,2233739659.0,2884254291.0
Capital Expenditure,-9094105.0,-469448.0
End Cash Position,100686341.0,121778112.0
Beginning Cash Position,121778112.0,168314921.0
Changes In Cash,-21091771.0,-46536809.0
Financing Cash Flow,-10701310.0,303397251.0
Net Other Financing Charges,-121110555.0,-8443421.0
Cash Dividends Paid,-43066355.0,-206199088.0
Common Stock Dividend Paid,-43066355.0,-206199088.0
Net Issuance Payments Of Debt,154225600.0,518839760.0
Net Long Term Debt Issuance,154225600.0,518839760.0
Long Term Debt Payments,-2079514059.0,-2365414531.0
Long Term Debt Issuance,2233739659.0,2884254291.0
Investing Cash Flow,-46519573.0,-63240557.0
Dividends Received Cfi,2400000.0,12406202.0
Net Investment Purchase And Sale,-12976832.0,-120552885.0
Sale Of Investment,19319188.0,826269727.0
Purchase Of Investment,-32296020.0,-946822612.0
Net Investment Properties Purchase And Sale,-6167198.0,-14858647.0
Sale Of Investment Properties,439472.0,0.0
Purchase Of Investment Properties,-6606670.0,-14858647.0
Net Business Purchase And Sale,-20763404.0,60230330.0
Sale Of Business,0.0,60230330.0
Purchase Of Business,-20763404.0,0.0
Net PPE Purchase And Sale,-9012139.0,-465557.0
Sale Of PPE,81966.0,3891.0
Purchase Of PPE,-9094105.0,-469448.0
Operating Cash Flow,36129112.0,-286693503.0
Taxes Refund Paid,-11250534.0,-13981042.0
Interest Paid Cfo,-115153654.0,-73725863.0
Change In Working Capital,-185562983.0,-505601537.0
Change In Other Current Assets,-186479043.0,-212175214.0
Change In Payable,86726994.0,-62214089.0
Change In Prepaid Assets,-67239023.0,14961508.0
Change In Inventory,-25445004.0,-211220148.0
Change In Receivables,6873093.0,-34953594.0
Other Non Cash Items,116736781.0,33842146.0
Provisionand Write Offof Assets,-6832906.0,-812353.0
Depreciation And Amortization,1981699.0,1488980.0
Depreciation,1981699.0,1488980.0
Pension And Employee Benefit Expense,2513563.0,1689271.0
Gain Loss On Investment Securities,-66167081.0,-19246827.0
Gain Loss On Sale Of PPE,-57056.0,-641.0
Net Income From Continuing Operations,293441081.0,306067766.0
