,2025-12-31,2024-12-31
Tax Effect Of Unusual Items,746536.85525,2410424.264532
Tax Rate For Calcs,0.087046,0.10874
Normalized EBITDA,161871092.0,196856598.0
Total Unusual Items,8576357.0,22166809.0
Total Unusual Items Excluding Goodwill,8576357.0,22166809.0
Net Income From Continuing Operation Net Minority Interest,79124665.0,124696211.0
Reconciled Depreciation,78699654.0,73603327.0
Reconciled Cost Of Revenue,1208666311.0,1104413687.0
EBITDA,170447449.0,219023407.0
EBIT,91747795.0,145420080.0
Net Interest Income,-2286752.0,-5959688.0
Interest Expense,5078962.0,5510014.0
Interest Income,3242677.0,0.0
Normalized Income,71294844.85525,104939826.264532
Net Income From Continuing And Discontinued Operation,79124665.0,124696211.0
Total Expenses,1330586400.0,1225356269.0
Total Operating Income As Reported,88955585.0,145869754.0
Diluted Average Shares,40000000.0,40000000.0
Basic Average Shares,40000000.0,40000000.0
Diluted EPS,1.98,3.117405
Basic EPS,1.98,3.117405
Diluted NI Availto Com Stockholders,79124665.0,124696211.0
Net Income Common Stockholders,79124665.0,124696211.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,79124665.0,124696211.0
Net Income Including Noncontrolling Interests,79124665.0,124696211.0
Net Income Continuous Operations,79124665.0,124696211.0
Tax Provision,7544168.0,15213855.0
Pretax Income,86668833.0,139910066.0
Other Non Operating Income Expenses,4601604.0,4582795.0
Special Income Charges,11364002.0,24826327.0
Other Special Charges,-11531107.0,-12726847.0
Write Off,167105.0,-859065.0
Restructuring And Mergern Acquisition,0.0,-11240415.0
Net Non Operating Interest Income Expense,-2286752.0,-5959688.0
Total Other Finance Cost,450467.0,449674.0
Interest Expense Non Operating,5078962.0,5510014.0
Interest Income Non Operating,3242677.0,0.0
Operating Income,75789999.0,119120150.0
Operating Expense,121920089.0,120942582.0
Other Operating Expenses,8465111.0,9514229.0
Depreciation And Amortization In Income Statement,5991549.0,7536881.0
Amortization,719297.0,679556.0
Depreciation Income Statement,5272252.0,6857325.0
Selling General And Administration,20889313.0,21136735.0
Selling And Marketing Expense,6798246.0,6086436.0
General And Administrative Expense,14091067.0,15050299.0
Gross Profit,197710088.0,240062732.0
Cost Of Revenue,1208666311.0,1104413687.0
Total Revenue,1406376399.0,1344476419.0
Operating Revenue,1406376399.0,1344476419.0
