,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,12500000.0,12500000.0,12500000.0,12500000.0
Share Issued,12500000.0,12500000.0,12500000.0,12500000.0
Net Debt,25342210.0,,,
Total Debt,45897897.0,36745386.0,36199320.0,37194030.0
Tangible Book Value,137087482.0,160818693.0,136421141.0,107066958.0
Invested Capital,167864879.0,160818693.0,136431001.0,107087731.0
Working Capital,114716985.0,121099866.0,99746261.0,72661776.0
Net Tangible Assets,137087482.0,160818693.0,136421141.0,107066958.0
Capital Lease Obligations,15458720.0,36745386.0,36199320.0,37194030.0
Common Stock Equity,137425702.0,160818693.0,136431001.0,107087731.0
Total Capitalization,161425702.0,160818693.0,136431001.0,107087731.0
Total Equity Gross Minority Interest,137425702.0,160818693.0,136431001.0,107087731.0
Stockholders Equity,137425702.0,160818693.0,136431001.0,107087731.0
Retained Earnings,-6324298.0,79568693.0,55181001.0,29498733.0
Capital Stock,125000000.0,62500000.0,62500000.0,62500000.0
Common Stock,125000000.0,62500000.0,62500000.0,62500000.0
Total Liabilities Net Minority Interest,56218417.0,47357469.0,45092756.0,46898631.0
Total Non Current Liabilities Net Minority Interest,43148929.0,38966634.0,38476259.0,38987474.0
Non Current Pension And Other Postretirement Benefit Plans,4800800.0,4044631.0,3721135.0,3123529.0
Long Term Debt And Capital Lease Obligation,38348129.0,34922003.0,34755124.0,35863945.0
Long Term Capital Lease Obligation,14348129.0,34922003.0,34755124.0,35863945.0
Long Term Debt,24000000.0,0.0,,
Current Liabilities,13069488.0,8390835.0,6616497.0,7911157.0
Current Debt And Capital Lease Obligation,7549768.0,1823383.0,1444196.0,1330085.0
Current Capital Lease Obligation,1110591.0,1823383.0,1444196.0,1330085.0
Current Debt,6439177.0,0.0,,
Pensionand Other Post Retirement Benefit Plans Current,741679.0,1048066.0,893495.0,
Payables,4062941.0,4671445.0,3595898.0,3563838.0
Other Payable,220176.0,362981.0,291061.0,
Total Tax Payable,3831661.0,4073453.0,3284945.0,1943825.0
Accounts Payable,11104.0,235011.0,19892.0,1620013.0
Total Assets,193644119.0,208176162.0,181523757.0,153986362.0
Total Non Current Assets,65857646.0,78685461.0,75160999.0,73413429.0
Goodwill And Other Intangible Assets,338220.0,0.0,9860.0,20773.0
Other Intangible Assets,338220.0,,9860.0,20773.0
Net PPE,65519426.0,78685461.0,75151139.0,73392656.0
Accumulated Depreciation,-67991317.0,-66217017.0,-63004666.0,
Gross PPE,133510743.0,144902478.0,138155805.0,73392656.0
Construction In Progress,16304212.0,14188645.0,10228145.0,
Other Properties,3016054.0,3007783.0,3002252.0,73392656.0
Machinery Furniture Equipment,75348240.0,67195851.0,66388009.0,
Buildings And Improvements,38842237.0,60510199.0,58537399.0,
Properties,0.0,0.0,0.0,
Current Assets,127786473.0,129490701.0,106362758.0,80572933.0
Prepaid Assets,2055582.0,2501260.0,2425602.0,1822677.0
Inventory,22870077.0,22751122.0,21773483.0,29107323.0
Other Inventories,,,8619256.0,
Finished Goods,,,13154227.0,
Accounts Receivable,1942500.0,2779295.0,2617394.0,2443507.0
Allowance For Doubtful Accounts Receivable,-610543.0,-504422.0,-485009.0,
Gross Accounts Receivable,2553043.0,3283717.0,3102403.0,
Cash Cash Equivalents And Short Term Investments,100918314.0,101459024.0,79546279.0,47199426.0
Other Short Term Investments,95821347.0,75884068.0,56917300.0,35486892.0
Cash And Cash Equivalents,5096967.0,25574956.0,22628979.0,11712534.0
Cash Financial,5096967.0,25574956.0,22628979.0,11712534.0
