,2025-12-31,2024-12-31
Free Cash Flow,-3691733.0,-33965437.0
Repayment Of Debt,-318214156.0,-47840718.0
Issuance Of Debt,385091792.0,134494406.0
Capital Expenditure,-85545061.0,-125943768.0
End Cash Position,20107927.0,33480255.0
Beginning Cash Position,33480255.0,23088184.0
Changes In Cash,-13372328.0,10392071.0
Financing Cash Flow,-30587054.0,40893033.0
Interest Paid Cff,-43406702.0,-28176007.0
Cash Dividends Paid,-15000000.0,
Net Issuance Payments Of Debt,66877636.0,86653688.0
Net Short Term Debt Issuance,1852925.0,75040899.0
Short Term Debt Payments,-293238867.0,0.0
Short Term Debt Issuance,295091792.0,75040899.0
Net Long Term Debt Issuance,65024711.0,11612789.0
Long Term Debt Payments,-24975289.0,-47840718.0
Long Term Debt Issuance,90000000.0,59453507.0
Investing Cash Flow,-64638602.0,-122479293.0
Net Other Investing Changes,-1427929.0,
Interest Received Cfi,0.0,2749917.0
Net Intangibles Purchase And Sale,-1268575.0,0.0
Purchase Of Intangibles,-1268575.0,0.0
Net PPE Purchase And Sale,-41913758.0,-116410319.0
Sale Of PPE,22334388.0,714558.0
Purchase Of PPE,-64248146.0,-117124877.0
Capital Expenditure Reported,-20028340.0,-8818891.0
Operating Cash Flow,81853328.0,91978331.0
Change In Working Capital,50305137.0,-38109846.0
Change In Accrued Expense,983720.0,9776064.0
Change In Payable,149039977.0,59391832.0
Change In Prepaid Assets,-14367806.0,-4644078.0
Change In Inventory,-63502850.0,-32858359.0
Change In Receivables,-21847904.0,-69775305.0
Other Non Cash Items,50475227.0,11811190.0
Provisionand Write Offof Assets,2597769.0,4323907.0
Depreciation And Amortization,129319317.0,71217352.0
Amortization Cash Flow,366179.0,0.0
Depreciation,128953138.0,71217352.0
Pension And Employee Benefit Expense,5226000.0,3751953.0
Gain Loss On Sale Of PPE,-28816389.0,820233.0
Net Income From Continuing Operations,-119516800.0,27095975.0
