,2025-12-31,2024-12-31,2023-12-31
Tax Effect Of Unusual Items,-85472.15891,112618.843912,246960.901854
Tax Rate For Calcs,0.091216,0.1122,0.086547
Normalized EBITDA,212343754.0,189682592.0,218449931.0
Total Unusual Items,-937029.0,1003735.0,2853486.0
Total Unusual Items Excluding Goodwill,-937029.0,1003735.0,2853486.0
Net Income From Continuing Operation Net Minority Interest,150640157.0,126423825.0,166287356.0
Reconciled Depreciation,38335283.0,41765592.0,34739833.0
Reconciled Cost Of Revenue,1796256359.0,1681928356.0,1583818155.0
EBITDA,211406725.0,190686327.0,221303417.0
EBIT,173071442.0,148920735.0,186563584.0
Net Interest Income,5502947.0,5350507.0,10406622.0
Interest Expense,7311285.0,6519526.0,4520970.0
Interest Income,12814232.0,11870033.0,14927592.0
Normalized Income,151491713.84109,125532708.843912,163680830.901854
Net Income From Continuing And Discontinued Operation,150640157.0,126423825.0,166287356.0
Total Expenses,1919761976.0,1760461263.0,1660810869.0
Rent Expense Supplemental,250250.0,1965992.0,444728.0
Total Operating Income As Reported,174831936.0,132428829.0,166380406.0
Diluted Average Shares,400000000.0,400000000.0,400000000.0
Basic Average Shares,400000000.0,400000000.0,400000000.0
Diluted EPS,0.38,0.32,0.415718
Basic EPS,0.38,0.32,0.415718
Diluted NI Availto Com Stockholders,150640157.0,126423825.0,166287356.0
Net Income Common Stockholders,150640157.0,126423825.0,166287356.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,150640157.0,126423825.0,166287356.0
Net Income Including Noncontrolling Interests,150640157.0,126423825.0,166287356.0
Net Income Continuous Operations,150640157.0,126423825.0,166287356.0
Tax Provision,15120000.0,15977384.0,15755258.0
Pretax Income,165760157.0,142401209.0,182042614.0
Other Non Operating Income Expenses,1459846.0,4136025.0,1682652.0
Special Income Charges,-937029.0,1003735.0,2853486.0
Other Special Charges,937029.0,-1003735.0,-2853486.0
Net Non Operating Interest Income Expense,5502947.0,5350507.0,10406622.0
Interest Expense Non Operating,7311285.0,6519526.0,4520970.0
Interest Income Non Operating,12814232.0,11870033.0,14927592.0
Operating Income,174831936.0,132428829.0,166380406.0
Operating Expense,123505617.0,78532907.0,76992714.0
Other Operating Expenses,34616300.0,6906437.0,5046841.0
Depreciation And Amortization In Income Statement,8617213.0,7480930.0,5529101.0
Depreciation Income Statement,8617213.0,7480930.0,5529101.0
Selling General And Administration,32128056.0,25622202.0,22357270.0
Selling And Marketing Expense,10957841.0,8129791.0,10557475.0
General And Administrative Expense,21170215.0,17492411.0,11799795.0
Rent And Landing Fees,0.0,230781.0,397596.0
Gross Profit,298337553.0,210961736.0,243373120.0
Cost Of Revenue,1796256359.0,1681928356.0,1583818155.0
Total Revenue,2094593912.0,1892890092.0,1827191275.0
Operating Revenue,2094593912.0,1892890092.0,1827191275.0
