,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Free Cash Flow,84366828.0,160623818.0,1280143.0,-386169117.0
Repayment Of Debt,-3432212511.0,-3323069694.0,-4238664825.0,-2205193279.0
Issuance Of Debt,3394275389.0,3269975729.0,4255553437.0,2599454481.0
Capital Expenditure,-38912244.0,-26932478.0,-137577635.0,-99492068.0
End Cash Position,33523454.0,71018805.0,23799171.0,68331971.0
Beginning Cash Position,71018805.0,23799171.0,68331971.0,181361839.0
Changes In Cash,-37495351.0,47219634.0,-44532800.0,-113029868.0
Financing Cash Flow,-123198300.0,-116323840.0,-48470208.0,271208488.0
Interest Paid Cff,-56007470.0,-58935709.0,-60387597.0,-16616211.0
Net Issuance Payments Of Debt,-37937122.0,-53093965.0,16888612.0,394261202.0
Net Long Term Debt Issuance,-37937122.0,-53093965.0,16888612.0,394261202.0
Long Term Debt Payments,-3432212511.0,-3323069694.0,-4238664825.0,-2205193279.0
Long Term Debt Issuance,3394275389.0,3269975729.0,4255553437.0,2599454481.0
Investing Cash Flow,-37576123.0,-24012822.0,-134920370.0,-97561307.0
Net Investment Purchase And Sale,1336121.0,2918910.0,2002438.0,1886431.0
Sale Of Investment,5477316.0,10670226.0,20696985.0,22133942.0
Purchase Of Investment,-4141195.0,-7751316.0,-18694547.0,-20247511.0
Net Intangibles Purchase And Sale,-437500.0,-9705.0,-154019.0,-7500.0
Purchase Of Intangibles,-437500.0,-9705.0,-154019.0,-7500.0
Net PPE Purchase And Sale,-38474744.0,-26922027.0,-136768789.0,-99440238.0
Sale Of PPE,0.0,746.0,654827.0,44330.0
Purchase Of PPE,-38474744.0,-26922773.0,-137423616.0,-99484568.0
Operating Cash Flow,123279072.0,187556296.0,138857778.0,-286677049.0
Taxes Refund Paid,-8474859.0,-19440888.0,-8445801.0,-15062429.0
Change In Working Capital,-29634206.0,18512711.0,242303412.0,-388982123.0
Change In Other Current Assets,-8225853.0,-13956112.0,-14782948.0,36227839.0
Change In Accrued Expense,3171603.0,-4805298.0,-6992739.0,2548089.0
Change In Payable,-6054570.0,-5174649.0,38479230.0,-1745230.0
Change In Prepaid Assets,-2061923.0,10607950.0,-11319870.0,17904308.0
Change In Inventory,-5291062.0,105843954.0,211539321.0,-368180734.0
Change In Receivables,-11172401.0,-74003134.0,25380418.0,-75736395.0
Other Non Cash Items,58907358.0,66852034.0,68955249.0,26075992.0
Provisionand Write Offof Assets,-2288505.0,-549658.0,-54582065.0,-8551507.0
Depreciation And Amortization,47463212.0,48047261.0,48979733.0,47025307.0
Amortization Cash Flow,964917.0,949432.0,941503.0,918239.0
Depreciation,46498295.0,47097829.0,48038230.0,46107068.0
Pension And Employee Benefit Expense,9200242.0,7194008.0,6745988.0,5716468.0
Gain Loss On Investment Securities,-680681.0,-2011903.0,-1899001.0,-2775072.0
Gain Loss On Sale Of PPE,644.0,919.0,-185636.0,12384.0
Net Income From Continuing Operations,55994958.0,80946297.0,-160586461.0,-3646320.0
