,2025-12-31,2024-12-31
Tax Effect Of Unusual Items,-27054.510954,-352741.690025
Tax Rate For Calcs,0.022545,0.033121
Normalized EBITDA,274509847.0,235937336.0
Total Unusual Items,-1200000.0,-10649954.0
Total Unusual Items Excluding Goodwill,-1200000.0,-10649954.0
Net Income From Continuing Operation Net Minority Interest,71036319.0,63052827.0
Reconciled Depreciation,141341697.0,112757689.0
Reconciled Cost Of Revenue,363526268.0,308697681.0
EBITDA,273309847.0,225287382.0
EBIT,131968150.0,112529693.0
Net Interest Income,-61304365.0,-48456963.0
Interest Expense,59293142.0,47316926.0
Normalized Income,72209264.489046,73350039.309975
Net Income From Continuing And Discontinued Operation,71036319.0,63052827.0
Total Expenses,382710405.0,330335959.0
Rent Expense Supplemental,914431.0,741061.0
Total Operating Income As Reported,131968150.0,112369887.0
Diluted Average Shares,,30000000.0
Basic Average Shares,,30000000.0
Diluted EPS,,2.1
Basic EPS,,2.1
Diluted NI Availto Com Stockholders,71036319.0,63052827.0
Net Income Common Stockholders,71036319.0,63052827.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,71036319.0,63052827.0
Net Income Including Noncontrolling Interests,71036519.0,63052827.0
Net Income Continuous Operations,71036519.0,63052827.0
Tax Provision,1638489.0,2159940.0
Pretax Income,72675008.0,65212767.0
Special Income Charges,-1200000.0,-10609760.0
Other Special Charges,,-17390.0
Write Off,1200000.0,10627150.0
Net Non Operating Interest Income Expense,-61304365.0,-48456963.0
Total Other Finance Cost,2011223.0,1140037.0
Interest Expense Non Operating,59293142.0,47316926.0
Operating Income,135179373.0,124319684.0
Operating Expense,19184137.0,21638278.0
Other Operating Expenses,-4343937.0,
Depreciation And Amortization In Income Statement,2728718.0,2323527.0
Amortization,124118.0,296192.0
Depreciation Income Statement,2604600.0,2027335.0
Selling General And Administration,6878312.0,5358936.0
Selling And Marketing Expense,1342631.0,831859.0
General And Administrative Expense,5535681.0,4527077.0
Rent And Landing Fees,914431.0,741061.0
Gross Profit,154363510.0,145957962.0
Cost Of Revenue,363526268.0,308697681.0
Total Revenue,517889778.0,454655643.0
Operating Revenue,517889778.0,454655643.0
