,2025-12-31,2024-12-31,2023-12-31
Ordinary Shares Number,77507000.0,75800000.0,75800000.0
Share Issued,77507000.0,75800000.0,75800000.0
Total Debt,3949005.0,3854641.0,3897745.0
Tangible Book Value,604652878.0,354866981.0,80417444.0
Invested Capital,705438900.0,414895635.0,120993652.0
Working Capital,599059911.0,346351725.0,67926970.0
Net Tangible Assets,604652878.0,354866981.0,80417444.0
Capital Lease Obligations,3949005.0,3854641.0,3897745.0
Common Stock Equity,705438900.0,414895635.0,120993652.0
Total Capitalization,705438900.0,414895635.0,120993652.0
Total Equity Gross Minority Interest,705438900.0,414895635.0,120993652.0
Stockholders Equity,705438900.0,414895635.0,120993652.0
Other Equity Interest,38045414.0,,
Retained Earnings,392247515.0,142729873.0,47670630.0
Additional Paid In Capital,189643261.0,188444330.0,0.0
Capital Stock,77507000.0,75800000.0,70500000.0
Common Stock,77507000.0,75800000.0,70500000.0
Total Liabilities Net Minority Interest,642446486.0,516947356.0,196194033.0
Total Non Current Liabilities Net Minority Interest,13971746.0,12034438.0,9340671.0
Non Current Pension And Other Postretirement Benefit Plans,12214379.0,10007218.0,6982412.0
Non Current Deferred Taxes Liabilities,21060.0,0.0,
Long Term Debt And Capital Lease Obligation,1736307.0,2027220.0,2358259.0
Long Term Capital Lease Obligation,1736307.0,2027220.0,2358259.0
Current Liabilities,628474740.0,504912918.0,186853362.0
Other Current Liabilities,1829251.0,1690040.0,1690702.0
Current Debt And Capital Lease Obligation,2212698.0,1827421.0,1539486.0
Current Capital Lease Obligation,2212698.0,1827421.0,1539486.0
Payables,465052880.0,407113892.0,122359416.0
Other Payable,1679059.0,3099812.0,2879766.0
Total Tax Payable,27453846.0,17337459.0,5542716.0
Accounts Payable,435919975.0,386676621.0,113936934.0
Total Assets,1347885386.0,931842991.0,317187685.0
Total Non Current Assets,120350735.0,80578348.0,62407353.0
Non Current Deferred Taxes Assets,0.0,308025.0,250000.0
Goodwill And Other Intangible Assets,100786022.0,60028654.0,40576208.0
Other Intangible Assets,100786022.0,60028654.0,40576208.0
Net PPE,19564713.0,20241669.0,21581145.0
Accumulated Depreciation,-14196956.0,-10182610.0,-6380914.0
Gross PPE,33761669.0,30424279.0,27962059.0
Construction In Progress,1286683.0,1017697.0,1595167.0
Other Properties,5433371.0,5124648.0,5605390.0
Machinery Furniture Equipment,26846615.0,24281934.0,20761502.0
Buildings And Improvements,195000.0,0.0,
Properties,0.0,0.0,
Current Assets,1227534651.0,851264643.0,254780332.0
Other Current Assets,2000000.0,,1500000.0
Current Deferred Assets,,0.0,5491250.0
Restricted Cash,15211177.0,22469854.0,34317325.0
Prepaid Assets,13653926.0,9624530.0,6863510.0
Other Receivables,5888677.0,29867779.0,67050477.0
Taxes Receivable,,0.0,5413954.0
Accounts Receivable,449816748.0,338272222.0,17653382.0
Allowance For Doubtful Accounts Receivable,-11971613.0,-4845164.0,-2176919.0
Gross Accounts Receivable,461788361.0,343117386.0,19830301.0
Cash Cash Equivalents And Short Term Investments,740964123.0,451030258.0,116490434.0
Cash And Cash Equivalents,740964123.0,451030258.0,116490434.0
Cash Equivalents,222542800.0,203000000.0,0.0
Cash Financial,518421323.0,248030258.0,116490434.0
