,2025-12-31,2024-12-31,2023-12-31
Free Cash Flow,403940630.0,177648951.0,111084039.0
Repayment Of Debt,0.0,-142487451.0,-75217886.0
Issuance Of Debt,0.0,95000000.0,119000000.0
Issuance Of Capital Stock,0.0,9564799.0,0.0
Capital Expenditure,-34618720.0,-42980994.0,-58193402.0
End Cash Position,233754940.0,29649142.0,54069792.0
Beginning Cash Position,29649142.0,54069792.0,22757685.0
Effect Of Exchange Rate Changes,-659514.0,23595.0,0.0
Changes In Cash,204765312.0,-24444245.0,31312107.0
Financing Cash Flow,-203903243.0,-208881215.0,-79641392.0
Net Other Financing Charges,,50000000.0,
Cash Dividends Paid,-100000000.0,-125000000.0,-39500000.0
Net Common Stock Issuance,0.0,9564799.0,0.0
Common Stock Issuance,0.0,9564799.0,0.0
Net Issuance Payments Of Debt,0.0,-47487451.0,43782114.0
Net Short Term Debt Issuance,0.0,-47487451.0,43782114.0
Short Term Debt Payments,0.0,-142487451.0,-75217886.0
Short Term Debt Issuance,0.0,95000000.0,119000000.0
Investing Cash Flow,-29890795.0,-36192975.0,-58323942.0
Interest Received Cfi,4694978.0,819375.0,0.0
Dividends Received Cfi,0.0,102013.0,243713.0
Net Investment Purchase And Sale,0.0,5857891.0,-374253.0
Sale Of Investment,0.0,5985755.0,0.0
Purchase Of Investment,0.0,-127864.0,-374253.0
Net Intangibles Purchase And Sale,-4688.0,-4687.0,-1218244.0
Purchase Of Intangibles,-4688.0,-4687.0,-1218244.0
Net PPE Purchase And Sale,-34581085.0,-42967567.0,-56975158.0
Sale Of PPE,32947.0,8740.0,0.0
Purchase Of PPE,-34614032.0,-42976307.0,-56975158.0
Operating Cash Flow,438559350.0,220629945.0,169277441.0
Taxes Refund Paid,-8725513.0,-8110780.0,-7900309.0
Change In Working Capital,70747811.0,-69967530.0,-92599855.0
Change In Payable,2029077.0,-30770263.0,-9387078.0
Change In Prepaid Assets,9846155.0,-16581683.0,3478671.0
Change In Inventory,51610092.0,-21709183.0,-78158137.0
Change In Receivables,7262487.0,-906401.0,-8533311.0
Other Non Cash Items,8390371.0,12063700.0,10732203.0
Provisionand Write Offof Assets,1743497.0,-1808803.0,-2364907.0
Depreciation And Amortization,131784510.0,120013635.0,106510196.0
Amortization Cash Flow,329185.0,425757.0,861458.0
Depreciation,131455325.0,119587878.0,105648738.0
Pension And Employee Benefit Expense,5678847.0,3032962.0,2328749.0
Gain Loss On Investment Securities,,-102013.0,-243713.0
Gain Loss On Sale Of PPE,-699962.0,894831.0,-2774857.0
Net Income From Continuing Operations,231037866.0,165920772.0,156909346.0
