,2025-12-31,2024-12-31,2023-12-31
Ordinary Shares Number,25000000.0,25000000.0,25000000.0
Share Issued,25000000.0,25000000.0,25000000.0
Total Debt,206659231.0,223187548.0,263524305.0
Tangible Book Value,583718282.0,467328247.0,375599139.0
Invested Capital,584254010.0,468188472.0,422260776.0
Working Capital,371650307.0,247097823.0,162184676.0
Net Tangible Assets,583718282.0,467328247.0,375599139.0
Capital Lease Obligations,206659231.0,223187548.0,218524305.0
Common Stock Equity,584254010.0,468188472.0,377260776.0
Total Capitalization,584254010.0,468188472.0,377260776.0
Total Equity Gross Minority Interest,584254010.0,468188472.0,377260776.0
Stockholders Equity,584254010.0,468188472.0,377260776.0
Retained Earnings,337637948.0,220058190.0,84058427.0
Capital Stock,250000000.0,250000000.0,250000000.0
Common Stock,250000000.0,250000000.0,250000000.0
Total Liabilities Net Minority Interest,321669526.0,325545034.0,392551797.0
Total Non Current Liabilities Net Minority Interest,144794098.0,157921304.0,156993006.0
Non Current Pension And Other Postretirement Benefit Plans,21005439.0,15088584.0,10852641.0
Non Current Deferred Taxes Liabilities,155221.0,70617.0,0.0
Long Term Debt And Capital Lease Obligation,123633438.0,142762103.0,146140365.0
Long Term Capital Lease Obligation,123633438.0,142762103.0,146140365.0
Current Liabilities,176875428.0,167623730.0,235558791.0
Other Current Liabilities,8932098.0,5086704.0,5378653.0
Current Deferred Taxes Liabilities,13332608.0,8708893.0,7928047.0
Current Debt And Capital Lease Obligation,83025793.0,80425445.0,117383940.0
Current Capital Lease Obligation,83025793.0,80425445.0,72383940.0
Current Debt,,0.0,45000000.0
Pensionand Other Post Retirement Benefit Plans Current,26347542.0,19544821.0,15955905.0
Payables,35262320.0,49593319.0,83790005.0
Other Payable,,7155536.0,48058382.0
Total Tax Payable,7956525.0,4826512.0,12160486.0
Accounts Payable,27305795.0,44766807.0,23571137.0
Total Assets,905923536.0,793733506.0,769812573.0
Total Non Current Assets,357397801.0,379011953.0,372069106.0
Investmentin Financial Assets,,0.0,4618879.0
Available For Sale Securities,,,4618879.0
Investment Properties,1457531.0,0.0,
Goodwill And Other Intangible Assets,535728.0,860225.0,1661637.0
Other Intangible Assets,535728.0,860225.0,1661637.0
Net PPE,355404542.0,378151728.0,365788590.0
Accumulated Depreciation,-448854736.0,-377099046.0,-327111550.0
Gross PPE,804259278.0,755250774.0,692900140.0
Construction In Progress,15375737.0,5344000.0,3525080.0
Other Properties,501973281.0,483758351.0,461359649.0
Machinery Furniture Equipment,74437662.0,61167606.0,46601067.0
Buildings And Improvements,170478484.0,161862153.0,138295680.0
Land And Improvements,41994114.0,43118664.0,43118664.0
Properties,0.0,0.0,0.0
Current Assets,548525735.0,414721553.0,397743467.0
Prepaid Assets,33540646.0,46556769.0,30255904.0
Inventory,260341478.0,313567157.0,290184702.0
Inventories Adjustments Allowances,-2907764.0,-2673726.0,-12445031.0
Finished Goods,159831887.0,166846780.0,155124945.0
Work In Process,11065830.0,12297463.0,10070247.0
Raw Materials,92351525.0,137096640.0,137434541.0
Other Receivables,15633599.0,19049621.0,13897068.0
Accounts Receivable,5255072.0,5898864.0,9336001.0
Allowance For Doubtful Accounts Receivable,-203454.0,-47628.0,-210314.0
Gross Accounts Receivable,5458526.0,5946492.0,9546315.0
Cash Cash Equivalents And Short Term Investments,233754940.0,29649142.0,54069792.0
Cash And Cash Equivalents,233754940.0,29649142.0,54069792.0
Cash Financial,233754940.0,29649142.0,54069792.0
