,2025-12-31,2024-12-31,2023-12-31
Ordinary Shares Number,40000000.0,40000000.0,40000000.0
Share Issued,40000000.0,40000000.0,40000000.0
Net Debt,,,25710219.0
Total Debt,53467929.0,44494124.0,106902781.0
Tangible Book Value,526845008.0,504900983.0,482581756.0
Invested Capital,579220584.0,546098802.0,586538863.0
Working Capital,455617408.0,424877574.0,394426480.0
Net Tangible Assets,526845008.0,504900983.0,482581756.0
Capital Lease Obligations,1656409.0,4027607.0,3804408.0
Common Stock Equity,527409064.0,505632285.0,483440490.0
Total Capitalization,527409064.0,505632285.0,483440490.0
Total Equity Gross Minority Interest,527409064.0,505632285.0,483440490.0
Stockholders Equity,527409064.0,505632285.0,483440490.0
Retained Earnings,127409064.0,105632285.0,83440490.0
Capital Stock,400000000.0,400000000.0,400000000.0
Common Stock,400000000.0,400000000.0,400000000.0
Total Liabilities Net Minority Interest,232627368.0,177565537.0,176295844.0
Total Non Current Liabilities Net Minority Interest,31015534.0,27597952.0,23906535.0
Non Current Pension And Other Postretirement Benefit Plans,29578443.0,25941546.0,21719381.0
Long Term Debt And Capital Lease Obligation,1437091.0,1656406.0,2187154.0
Long Term Capital Lease Obligation,1437091.0,1656406.0,2187154.0
Current Liabilities,201611834.0,149967585.0,152389309.0
Current Debt And Capital Lease Obligation,52030838.0,42837718.0,104715627.0
Current Capital Lease Obligation,219318.0,2371201.0,1617254.0
Current Debt,51811520.0,40466517.0,103098373.0
Payables,125391321.0,84120147.0,30592575.0
Other Payable,676239.0,2512493.0,622064.0
Total Tax Payable,11822845.0,12249985.0,11378328.0
Accounts Payable,112892237.0,69357669.0,18592183.0
Total Assets,760036432.0,683197822.0,659736334.0
Total Non Current Assets,102807190.0,108352663.0,112920545.0
Goodwill And Other Intangible Assets,564056.0,731302.0,858734.0
Other Intangible Assets,564056.0,731302.0,858734.0
Net PPE,102243134.0,107621361.0,112061811.0
Accumulated Depreciation,-525540131.0,-502374825.0,-484919230.0
Gross PPE,627783265.0,609996186.0,596981041.0
Other Properties,112870271.0,101871123.0,91879669.0
Machinery Furniture Equipment,394471091.0,387848074.0,384905035.0
Buildings And Improvements,120441903.0,120276989.0,120196337.0
Properties,0.0,0.0,0.0
Current Assets,657229242.0,574845159.0,546815789.0
Prepaid Assets,29165558.0,10341079.0,8402528.0
Inventory,138740458.0,115995689.0,141154323.0
Inventories Adjustments Allowances,-2619446.0,-1772324.0,-804849.0
Other Inventories,690889.0,585437.0,781899.0
Finished Goods,13901100.0,15046450.0,14398686.0
Work In Process,9197568.0,7022993.0,2719844.0
Raw Materials,117570347.0,95113133.0,124058743.0
Other Receivables,54681512.0,79549248.0,79155378.0
Accounts Receivable,273108756.0,288041514.0,240715406.0
Allowance For Doubtful Accounts Receivable,-33575531.0,-29991207.0,-25346381.0
Gross Accounts Receivable,306684287.0,318032721.0,266061787.0
Cash Cash Equivalents And Short Term Investments,161532958.0,80917629.0,77388154.0
Other Short Term Investments,20000000.0,,
Cash And Cash Equivalents,141532958.0,80917629.0,77388154.0
Cash Financial,141532958.0,80917629.0,77388154.0
