,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,52500000.0,52500000.0,52500000.0,52500000.0,
Share Issued,52500000.0,52500000.0,52500000.0,52500000.0,
Total Debt,23999000.0,26536000.0,30092000.0,16940000.0,
Tangible Book Value,1128737000.0,1017349000.0,988160000.0,857020000.0,
Invested Capital,1201484000.0,1089957000.0,1064840000.0,939034000.0,
Net Tangible Assets,1128737000.0,1017349000.0,988160000.0,857020000.0,
Capital Lease Obligations,23999000.0,26536000.0,30092000.0,16940000.0,
Common Stock Equity,1201484000.0,1089957000.0,1064840000.0,939034000.0,
Total Capitalization,1201484000.0,1089957000.0,1064840000.0,939034000.0,
Total Equity Gross Minority Interest,1201484000.0,1089957000.0,1064840000.0,939034000.0,
Stockholders Equity,1201484000.0,1089957000.0,1064840000.0,939034000.0,
Other Equity Interest,,,,,2514000.0
Retained Earnings,437070000.0,399401000.0,400592000.0,347868000.0,
Capital Stock,525000000.0,525000000.0,525000000.0,500000000.0,
Common Stock,525000000.0,525000000.0,525000000.0,500000000.0,
Total Liabilities Net Minority Interest,1833223000.0,1682641000.0,1895618000.0,1648298000.0,
Non Current Pension And Other Postretirement Benefit Plans,29883000.0,28976000.0,27375000.0,24952000.0,
Non Current Accrued Expenses,16968000.0,17513000.0,18146000.0,13768000.0,
Non Current Deferred Revenue,30684000.0,67549000.0,47894000.0,37445000.0,
Non Current Deferred Taxes Liabilities,83696000.0,78604000.0,84553000.0,65875000.0,
Long Term Debt And Capital Lease Obligation,19407000.0,22536000.0,25500000.0,14474000.0,
Long Term Capital Lease Obligation,19407000.0,22536000.0,25500000.0,14474000.0,
Current Debt And Capital Lease Obligation,4592000.0,4000000.0,4592000.0,2466000.0,
Current Capital Lease Obligation,4592000.0,4000000.0,4592000.0,2466000.0,
Payables,13764000.0,14775000.0,8071000.0,20104000.0,
Other Payable,13764000.0,14775000.0,8071000.0,20104000.0,
Accounts Payable,,,,242005000.0,270396000.0
Total Assets,3034707000.0,2772598000.0,2960458000.0,2587332000.0,
Non Current Deferred Taxes Assets,4214000.0,7546000.0,7364000.0,3766000.0,
Investments And Advances,1899250000.0,1768133000.0,1616750000.0,1314317000.0,
Investmentin Financial Assets,114704000.0,76165000.0,73389000.0,200956000.0,
Held To Maturity Securities,,,,138755000.0,138772000.0
Available For Sale Securities,,,,138701000.0,138701000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,114704000.0,76165000.0,73389000.0,62255000.0,
Goodwill And Other Intangible Assets,72747000.0,72608000.0,76680000.0,82014000.0,
Other Intangible Assets,22747000.0,22608000.0,26680000.0,32014000.0,
Goodwill,50000000.0,50000000.0,50000000.0,50000000.0,
Net PPE,29300000.0,32893000.0,40283000.0,33057000.0,
Accumulated Depreciation,-77688000.0,-70672000.0,-61534000.0,-49993000.0,
Gross PPE,106988000.0,103565000.0,101817000.0,83050000.0,
Other Properties,32152000.0,28771000.0,27257000.0,25777000.0,
Machinery Furniture Equipment,30982000.0,30940000.0,30706000.0,30187000.0,
Buildings And Improvements,43854000.0,43854000.0,43854000.0,27086000.0,
Prepaid Assets,8199000.0,11947000.0,12394000.0,9113000.0,
Other Receivables,44116000.0,30178000.0,44408000.0,30779000.0,
Accounts Receivable,,,17429000.0,6621000.0,3536000.0
Cash Cash Equivalents And Short Term Investments,1875013000.0,1847877000.0,1772152000.0,1447947000.0,
Other Short Term Investments,1784546000.0,1691968000.0,1543361000.0,1113361000.0,
Cash And Cash Equivalents,90467000.0,155909000.0,228791000.0,334586000.0,
