,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,-11674696.0,-3835667.0,-5725745.0,-10167969.0
Repayment Of Debt,-806906.0,0.0,,
Issuance Of Debt,15100000.0,4330000.0,,
Capital Expenditure,-14307198.0,-16656903.0,-11986398.0,-8063706.0
End Cash Position,5454827.0,3377329.0,3670756.0,9366801.0
Other Cash Adjustment Outside Changein Cash,,-1000000.0,,
Beginning Cash Position,3377329.0,3670756.0,9366801.0,19515770.0
Changes In Cash,2077498.0,-293427.0,-5696045.0,-10148969.0
Financing Cash Flow,13731994.0,3468900.0,,
Net Issuance Payments Of Debt,14293094.0,4330000.0,,
Net Long Term Debt Issuance,14293094.0,4330000.0,,
Long Term Debt Payments,-806906.0,0.0,,
Long Term Debt Issuance,15100000.0,4330000.0,,
Investing Cash Flow,-14286998.0,-16583563.0,-11956698.0,-8044706.0
Net Intangibles Purchase And Sale,-13983774.0,-13428821.0,-11328780.0,-5225125.0
Purchase Of Intangibles,-13983774.0,-13428821.0,-11328780.0,-5225125.0
Net PPE Purchase And Sale,-303224.0,-3154742.0,-627918.0,-2819581.0
Sale Of PPE,20200.0,73340.0,29700.0,19000.0
Purchase Of PPE,-323424.0,-3228082.0,-657618.0,-2838581.0
Operating Cash Flow,2632502.0,12821236.0,6260653.0,-2104263.0
Taxes Refund Paid,-62198.0,-722688.0,-785616.0,-1121334.0
Interest Paid Cfo,-454603.0,0.0,,
Change In Working Capital,-3758615.0,9578323.0,-1860957.0,-7985498.0
Change In Other Current Assets,-739274.0,2445489.0,133245.0,-1041478.0
Change In Accrued Expense,5539351.0,6960016.0,3428522.0,-3114889.0
Change In Payable,83586.0,758056.0,4017754.0,-646289.0
Change In Prepaid Assets,-1208004.0,-200355.0,-1192242.0,73819.0
Change In Inventory,21155.0,23365.0,34042.0,351947.0
Change In Receivables,-7455429.0,-408248.0,-8282278.0,-3608608.0
Other Non Cash Items,1605787.0,454710.0,206387.0,118009.0
Provisionand Write Offof Assets,3997267.0,3407627.0,4200000.0,3704960.0
Depreciation And Amortization,15733466.0,14921035.0,12753807.0,12589095.0
Amortization Cash Flow,13601779.0,13872962.0,12565596.0,12477355.0
Depreciation,2131687.0,1048073.0,188211.0,111740.0
Pension And Employee Benefit Expense,1344816.0,790343.0,888209.0,726003.0
Gain Loss On Sale Of PPE,-20200.0,-73340.0,-29700.0,-19000.0
Net Income From Continuing Operations,-19619975.0,-23457651.0,-8970455.0,-9384338.0
