,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.262919,0.249455,0.190726,0.2,
Total Unusual Items,,,,-5139000.0,0.0
Total Unusual Items Excluding Goodwill,,,,-5139000.0,0.0
Net Income From Continuing Operation Net Minority Interest,22708000.0,28595000.0,38188000.0,-41378000.0,
Reconciled Depreciation,1861000.0,3085000.0,2377000.0,3530000.0,
Interest Income,1699000.0,871000.0,1697000.0,1066000.0,
Normalized Income,22708000.0,28595000.0,38188000.0,-41378000.0,
Net Income From Continuing And Discontinued Operation,22708000.0,28595000.0,38188000.0,-41378000.0,
Total Expenses,1435772000.0,980268000.0,865981000.0,969469000.0,
Rent Expense Supplemental,61000.0,392000.0,,4740000.0,5159000.0
Diluted Average Shares,50000000.0,50000000.0,50000000.0,50000000.0,
Basic Average Shares,50000000.0,50000000.0,50000000.0,50000000.0,
Diluted EPS,0.43,0.54,0.76,-0.83,
Basic EPS,0.43,0.54,0.76,-0.83,
Diluted NI Availto Com Stockholders,21701000.0,26889000.0,38188000.0,-41378000.0,
Net Income Common Stockholders,21701000.0,26889000.0,38188000.0,-41378000.0,
Otherunder Preferred Stock Dividend,1007000.0,1706000.0,,,
Net Income,22708000.0,28595000.0,38188000.0,-41378000.0,
Net Income Including Noncontrolling Interests,22708000.0,28595000.0,38188000.0,-41378000.0,
Net Income Continuous Operations,22708000.0,28595000.0,38188000.0,-41378000.0,
Tax Provision,8100000.0,9504000.0,9000000.0,10288000.0,
Pretax Income,30808000.0,38099000.0,47188000.0,-31090000.0,
Other Income Expense,0.0,0.0,0.0,0.0,
Special Income Charges,,,,-5139000.0,0.0
Other Special Charges,,,,0.0,0.0
Impairment Of Capital Assets,,,,5139000.0,0.0
Other Operating Expenses,3698000.0,-4060000.0,-1610000.0,17924000.0,
Depreciation And Amortization In Income Statement,14000.0,23000.0,,1950000.0,1954000.0
Depreciation Income Statement,,,,1950000.0,1954000.0
Selling General And Administration,4210000.0,2622000.0,,24076000.0,26789000.0
Selling And Marketing Expense,0.0,0.0,,5473000.0,4284000.0
General And Administrative Expense,4210000.0,2622000.0,,18603000.0,22505000.0
Rent And Landing Fees,61000.0,392000.0,,4740000.0,5159000.0
Total Revenue,1466580000.0,1018367000.0,913169000.0,938379000.0,
Operating Revenue,1466580000.0,1018367000.0,913169000.0,938379000.0,
Net Policyholder Benefits And Claims,1213556000.0,764847000.0,844801000.0,981587000.0,
