,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,60000000.0,60000000.0,60000000.0,60000000.0,
Share Issued,60000000.0,60000000.0,60000000.0,60000000.0,
Net Debt,1222169000.0,461858000.0,387829000.0,556008000.0,
Total Debt,1375823000.0,909202000.0,447008000.0,620610000.0,
Tangible Book Value,764108000.0,918673000.0,915442000.0,855641000.0,
Invested Capital,2395145000.0,1815557000.0,1339345000.0,1457898000.0,
Working Capital,691441000.0,791030000.0,435014000.0,360710000.0,
Net Tangible Assets,764108000.0,918673000.0,915442000.0,855641000.0,
Capital Lease Obligations,70718000.0,22431000.0,27591000.0,26201000.0,
Common Stock Equity,1090040000.0,928786000.0,919928000.0,863489000.0,
Total Capitalization,1559105000.0,1405091000.0,1027656000.0,950919000.0,
Total Equity Gross Minority Interest,1126778000.0,961470000.0,960818000.0,929632000.0,
Minority Interest,36738000.0,32684000.0,40890000.0,66143000.0,
Stockholders Equity,1090040000.0,928786000.0,919928000.0,863489000.0,
Retained Earnings,479346000.0,270261000.0,253403000.0,210568000.0,
Capital Stock,600000000.0,600000000.0,600000000.0,600000000.0,
Common Stock,600000000.0,600000000.0,600000000.0,600000000.0,
Total Liabilities Net Minority Interest,2683581000.0,1636428000.0,1203192000.0,1353414000.0,
Total Non Current Liabilities Net Minority Interest,827436000.0,566127000.0,200671000.0,185901000.0,
Non Current Pension And Other Postretirement Benefit Plans,105651000.0,70884000.0,68940000.0,74593000.0,
Tradeand Other Payables Non Current,196255000.0,,,,
Long Term Debt And Capital Lease Obligation,525530000.0,495243000.0,131731000.0,111308000.0,
Long Term Capital Lease Obligation,56465000.0,18938000.0,24003000.0,23878000.0,
Long Term Debt,469065000.0,476305000.0,107728000.0,87430000.0,
Current Liabilities,1856145000.0,1070301000.0,1002521000.0,1167513000.0,
Current Debt And Capital Lease Obligation,850293000.0,413959000.0,315277000.0,509302000.0,
Current Capital Lease Obligation,14253000.0,3493000.0,3588000.0,2323000.0,
Current Debt,836040000.0,410466000.0,311689000.0,506979000.0,
Pensionand Other Post Retirement Benefit Plans Current,59673000.0,31070000.0,31141000.0,38283000.0,
Current Provisions,4934000.0,3523000.0,3703000.0,3038000.0,
Payables,800431000.0,553496000.0,588976000.0,549295000.0,
Other Payable,184793000.0,28580000.0,16885000.0,29096000.0,
Dividends Payable,941000.0,2246000.0,1739000.0,1137000.0,
Total Tax Payable,59384000.0,27248000.0,33086000.0,46469000.0,
Accounts Payable,555313000.0,495422000.0,537266000.0,472593000.0,
Total Assets,3810359000.0,2597898000.0,2164010000.0,2283046000.0,
Total Non Current Assets,1262773000.0,736567000.0,726475000.0,754823000.0,
Other Non Current Assets,14178000.0,1634000.0,21152000.0,2487000.0,
Goodwill And Other Intangible Assets,325932000.0,10113000.0,4486000.0,7848000.0,
Other Intangible Assets,321535000.0,5716000.0,89000.0,3451000.0,
Goodwill,4397000.0,4397000.0,4397000.0,4397000.0,
Net PPE,873286000.0,724820000.0,700837000.0,744488000.0,
Accumulated Depreciation,-910715000.0,-775658000.0,-735060000.0,-831213000.0,
Gross PPE,1784001000.0,1500478000.0,1435897000.0,1575701000.0,
Construction In Progress,47802000.0,69666000.0,57223000.0,51413000.0,
Other Properties,16254000.0,15068000.0,13600000.0,42407000.0,
Machinery Furniture Equipment,997658000.0,888840000.0,855863000.0,965478000.0,
Buildings And Improvements,615717000.0,436778000.0,419085000.0,435251000.0,
Land And Improvements,106570000.0,90126000.0,90126000.0,81152000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2547586000.0,1861331000.0,1437535000.0,1528223000.0,
Other Current Assets,15276000.0,9694000.0,8507000.0,,
Assets Held For Sale Current,,,,,0.0
Restricted Cash,28927000.0,0.0,,,
Prepaid Assets,87145000.0,22618000.0,27788000.0,56579000.0,
Inventory,1027615000.0,813896000.0,811885000.0,735282000.0,
Finished Goods,239704000.0,271823000.0,300149000.0,197597000.0,
Work In Process,197611000.0,52092000.0,46362000.0,45055000.0,
Raw Materials,590300000.0,489981000.0,465374000.0,492630000.0,
Other Receivables,345787000.0,30553000.0,47305000.0,86528000.0,
Taxes Receivable,7546000.0,8562000.0,13896000.0,6603000.0,
Accounts Receivable,952354000.0,548869000.0,495933000.0,590624000.0,
Allowance For Doubtful Accounts Receivable,-94518000.0,-78523000.0,-77608000.0,-88998000.0,
Gross Accounts Receivable,1046872000.0,627392000.0,573541000.0,679622000.0,
Cash Cash Equivalents And Short Term Investments,82936000.0,427139000.0,32221000.0,52607000.0,
Other Short Term Investments,,2226000.0,633000.0,14206000.0,
Cash And Cash Equivalents,82936000.0,424913000.0,31588000.0,38401000.0,
Cash Financial,82936000.0,424913000.0,31588000.0,38401000.0,
