,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.10414,0.106761,0.116972,0.119752
Net Income From Continuing Operation Net Minority Interest,25013279000.0,21192995000.0,20009968000.0,18580690000.0
Reconciled Depreciation,2304367000.0,2608054000.0,2279184000.0,2280100000.0
Normalized Income,25013279000.0,21192995000.0,20009968000.0,18580690000.0
Net Income From Continuing And Discontinued Operation,25013279000.0,21192995000.0,20009968000.0,18580690000.0
Diluted Average Shares,5951153000.0,5952973000.0,5955993000.0,5956426000.0
Basic Average Shares,5941774000.0,5944649000.0,5947986000.0,5946592000.0
Diluted EPS,4.03,3.43,3.23,3.02
Basic EPS,4.04,3.44,3.23,3.03
Diluted NI Availto Com Stockholders,25013279000.0,21192995000.0,20009968000.0,18580690000.0
Net Income Common Stockholders,25013279000.0,21192995000.0,20009968000.0,18580690000.0
Net Income,25013279000.0,21192995000.0,20009968000.0,18580690000.0
Minority Interests,21718000.0,99349000.0,-98859000.0,-148147000.0
Net Income Including Noncontrolling Interests,24991561000.0,21093646000.0,20108827000.0,18728837000.0
Net Income Continuous Operations,24991561000.0,21093646000.0,20108827000.0,18728837000.0
Tax Provision,2905172000.0,2521125000.0,2663747000.0,2547942000.0
Pretax Income,27896733000.0,23614771000.0,22772574000.0,21276779000.0
Other Non Operating Income Expenses,-391307000.0,-377686000.0,-536996000.0,-257572000.0
Gain On Sale Of Security,32533458000.0,30051647000.0,28569227000.0,27065816000.0
Operating Expense,11521696000.0,12390557000.0,11657194000.0,10851265000.0
Other Operating Expenses,1649309000.0,1368710000.0,1300111000.0,1066547000.0
Depreciation And Amortization In Income Statement,2304367000.0,2608054000.0,2279184000.0,2280100000.0
Amortization,820280000.0,820280000.0,820280000.0,844865000.0
Depreciation Income Statement,1484087000.0,1787774000.0,1458904000.0,1435235000.0
Selling General And Administration,2171131000.0,3203132000.0,2867119000.0,2663574000.0
General And Administrative Expense,2171131000.0,3203132000.0,2867119000.0,2663574000.0
Rent And Landing Fees,485853000.0,507619000.0,549079000.0,530760000.0
Total Revenue,40843879000.0,37401819000.0,35889512000.0,34071100000.0
Operating Revenue,40843879000.0,37401819000.0,35889512000.0,34071100000.0
