,2025-12-31,2024-12-31,2023-12-31
Tax Effect Of Unusual Items,-109085.992703,-677200.004315,-277892.696816
Tax Rate For Calcs,0.006107,0.129088,0.124347
Normalized EBITDA,128877376.0,124519400.0,118421103.0
Total Unusual Items,-17862315.0,-5246033.0,-2234813.0
Total Unusual Items Excluding Goodwill,-17862315.0,-5246033.0,-2234813.0
Net Income From Continuing Operation Net Minority Interest,84484323.0,82646390.0,80126183.0
Reconciled Depreciation,23805152.0,22555538.0,22693218.0
Reconciled Cost Of Revenue,610837703.0,547613957.0,530729072.0
EBITDA,111015061.0,119273367.0,116186290.0
EBIT,87209909.0,96717829.0,93493072.0
Net Interest Income,-3406466.0,-3004157.0,-1988561.0
Interest Expense,2206466.0,1821454.0,1988561.0
Normalized Income,102237552.007297,87215222.995685,82083103.303184
Net Income From Continuing And Discontinued Operation,84484323.0,82646390.0,80126183.0
Total Expenses,673143380.0,602895821.0,581560999.0
Total Operating Income As Reported,89009348.0,98365200.0,94064663.0
Diluted Average Shares,40000000.0,40000000.0,40000000.0
Basic Average Shares,40000000.0,40000000.0,40000000.0
Diluted EPS,2.11,2.07,2.003155
Basic EPS,2.11,2.07,2.003155
Diluted NI Availto Com Stockholders,84484323.0,82646390.0,80126183.0
Net Income Common Stockholders,84484323.0,82646390.0,80126183.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,84484323.0,82646390.0,80126183.0
Net Income Including Noncontrolling Interests,84484323.0,82646390.0,80126183.0
Net Income Continuous Operations,84484323.0,82646390.0,80126183.0
Tax Provision,519120.0,12249985.0,11378328.0
Pretax Income,85003443.0,94896375.0,91504511.0
Special Income Charges,-17862315.0,-5246033.0,-2234813.0
Write Off,17862315.0,5246033.0,2234813.0
Net Non Operating Interest Income Expense,-3406466.0,-3004157.0,-1988561.0
Total Other Finance Cost,1200000.0,1182703.0,
Interest Expense Non Operating,2206466.0,1821454.0,1988561.0
Operating Income,106871663.0,103611233.0,96299476.0
Operating Expense,62305677.0,55281864.0,50831927.0
Other Operating Expenses,577102.0,336177.0,620101.0
Depreciation And Amortization In Income Statement,1511117.0,1509295.0,725557.0
Amortization,167246.0,239683.0,238837.0
Depreciation Income Statement,1343871.0,1269612.0,486720.0
Selling General And Administration,20348971.0,15107902.0,16232367.0
Selling And Marketing Expense,10226314.0,8358918.0,7027728.0
General And Administrative Expense,10122657.0,6748984.0,9204639.0
Gross Profit,169177340.0,158893097.0,147131403.0
Cost Of Revenue,610837703.0,547613957.0,530729072.0
Total Revenue,780015043.0,706507054.0,677860475.0
Operating Revenue,780015043.0,706507054.0,677860475.0
