,2025-12-31,2024-12-31
Tax Effect Of Unusual Items,67468.6,20021.773587
Tax Rate For Calcs,0.2,0.04424
Normalized EBITDA,32401414.0,86211967.0
Total Unusual Items,337343.0,452576.0
Total Unusual Items Excluding Goodwill,337343.0,452576.0
Net Income From Continuing Operation Net Minority Interest,2980434.0,71745186.0
Reconciled Depreciation,19048447.0,6631591.0
Reconciled Cost Of Revenue,771633844.0,735425226.0
EBITDA,32738757.0,86664543.0
EBIT,13690310.0,80032952.0
Net Interest Income,-7427388.0,-11206994.0
Interest Expense,4758294.0,4966874.0
Interest Income,3307837.0,0.0
Normalized Income,2710559.6,71312631.773587
Net Income From Continuing And Discontinued Operation,2980434.0,71745186.0
Total Expenses,1000028591.0,917643925.0
Total Operating Income As Reported,10287981.0,78951616.0
Diluted Average Shares,115394521.0,115500000.0
Basic Average Shares,115394521.0,115500000.0
Diluted EPS,0.03,0.62117
Basic EPS,0.03,0.62117
Diluted NI Availto Com Stockholders,2980434.0,71745186.0
Net Income Common Stockholders,2980434.0,71745186.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,2980434.0,71745186.0
Net Income Including Noncontrolling Interests,2980434.0,71745186.0
Net Income Continuous Operations,2980434.0,71745186.0
Tax Provision,5951582.0,3320892.0
Pretax Income,8932016.0,75066078.0
Other Non Operating Income Expenses,138629.0,433277.0
Special Income Charges,337343.0,452576.0
Other Special Charges,-337343.0,-452576.0
Net Non Operating Interest Income Expense,-7427388.0,-11206994.0
Total Other Finance Cost,5976931.0,6240120.0
Interest Expense Non Operating,4758294.0,4966874.0
Interest Income Non Operating,3307837.0,0.0
Operating Income,16630550.0,85868961.0
Operating Expense,228394747.0,182218699.0
Other Operating Expenses,6043714.0,3633913.0
Depreciation And Amortization In Income Statement,3483460.0,2912303.0
Amortization,316863.0,432776.0
Depreciation Income Statement,3166597.0,2479527.0
Selling General And Administration,180586401.0,146084774.0
Selling And Marketing Expense,162654134.0,131503023.0
General And Administrative Expense,17932267.0,14581751.0
Gross Profit,245025297.0,268087660.0
Cost Of Revenue,771633844.0,735425226.0
Total Revenue,1016659141.0,1003512887.0
Operating Revenue,1016659141.0,1003512887.0
