,2025-12-31,2024-12-31
Free Cash Flow,-347978669.0,1211479247.0
Repayment Of Debt,-562563117.0,-419487500.0
Issuance Of Debt,1623000000.0,0.0
Issuance Of Capital Stock,2376071440.0,0.0
Capital Expenditure,-1776500020.0,-715612080.0
End Cash Position,4142981409.0,1700326378.0
Beginning Cash Position,1700326378.0,1450488399.0
Changes In Cash,2442655031.0,249837979.0
Financing Cash Flow,2156584559.0,-1335475699.0
Interest Paid Cff,-468937611.0,-462012544.0
Net Common Stock Issuance,2376071440.0,0.0
Common Stock Issuance,2376071440.0,0.0
Net Issuance Payments Of Debt,1060436883.0,-419487500.0
Net Long Term Debt Issuance,1060436883.0,-419487500.0
Long Term Debt Payments,-562563117.0,-419487500.0
Long Term Debt Issuance,1623000000.0,0.0
Investing Cash Flow,-1142450879.0,-341777649.0
Net PPE Purchase And Sale,-1142450879.0,-341777649.0
Sale Of PPE,634049141.0,373834431.0
Purchase Of PPE,-1776500020.0,-715612080.0
Operating Cash Flow,1428521351.0,1927091327.0
Interest Received Cfo,163025475.0,71615317.0
Change In Working Capital,-376058067.0,-237999326.0
Change In Other Current Assets,100577957.0,89777722.0
Change In Payable,241444841.0,-348645027.0
Change In Prepaid Assets,-208314270.0,47488957.0
Change In Inventory,598597.0,574719.0
Change In Receivables,-112438007.0,34788739.0
Other Non Cash Items,464428039.0,588419069.0
Stock Based Compensation,981920000.0,0.0
Provisionand Write Offof Assets,-9159180.0,26311879.0
Depreciation And Amortization,1458227316.0,1132937708.0
Depreciation,1458227316.0,1132937708.0
Pension And Employee Benefit Expense,51585721.0,43495296.0
Gain Loss On Sale Of PPE,-75638740.0,-130670897.0
Net Income From Continuing Operations,-491443541.0,456692209.0
