,2025-12-31,2024-12-31
Free Cash Flow,-31988601.0,-257454715.0
Repayment Of Debt,-223864562.0,-274134342.0
Issuance Of Debt,261445037.0,572410508.0
Capital Expenditure,-7021711.0,-17776362.0
End Cash Position,50053237.0,49311449.0
Beginning Cash Position,49311449.0,12640167.0
Changes In Cash,741788.0,36671282.0
Financing Cash Flow,32730389.0,294207559.0
Net Issuance Payments Of Debt,37580475.0,298276166.0
Net Long Term Debt Issuance,37580475.0,298276166.0
Long Term Debt Payments,-223864562.0,-274134342.0
Long Term Debt Issuance,261445037.0,572410508.0
Investing Cash Flow,-7021711.0,-17857924.0
Net Business Purchase And Sale,0.0,-98953.0
Purchase Of Business,0.0,-98953.0
Net Intangibles Purchase And Sale,-583507.0,-45000.0
Purchase Of Intangibles,-583507.0,-45000.0
Net PPE Purchase And Sale,-6438204.0,-17713971.0
Sale Of PPE,0.0,17391.0
Purchase Of PPE,-6438204.0,-17731362.0
Operating Cash Flow,-24966890.0,-239678353.0
Taxes Refund Paid,-1634657.0,-2162640.0
Interest Paid Cfo,-65407873.0,-38717873.0
Change In Working Capital,233291867.0,-36482263.0
Change In Accrued Expense,287951.0,-1021034.0
Change In Payable,207430018.0,-134867972.0
Change In Prepaid Assets,-4330381.0,64806464.0
Change In Inventory,109409153.0,95268648.0
Change In Receivables,-79504874.0,-60668369.0
Other Non Cash Items,58290986.0,47294683.0
Depreciation And Amortization,141341697.0,112757689.0
Depreciation,141341697.0,112757689.0
Pension And Employee Benefit Expense,1754790.0,1717888.0
Gain Loss On Investment Securities,,40194.0
Gain Loss On Sale Of PPE,0.0,-17390.0
Net Income From Continuing Operations,72675008.0,65212767.0
