,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-7597.094413,2270868.296458,-390716.060684,-355105.789256,
Tax Rate For Calcs,0.017124,0.022023,0.028796,0.028058,
Normalized EBITDA,722995926.0,719899424.0,693371070.0,555856694.0,
Total Unusual Items,-443643.0,103113822.0,-13568490.0,-12655947.0,
Total Unusual Items Excluding Goodwill,-443643.0,103113822.0,-13568490.0,-12655947.0,
Net Income From Continuing Operation Net Minority Interest,304795126.0,454806393.0,356244132.0,254758323.0,
Reconciled Depreciation,337415411.0,294495060.0,252311639.0,232404699.0,
Reconciled Cost Of Revenue,999152772.0,877973215.0,740858478.0,632168482.0,
EBITDA,722552283.0,823013246.0,679802580.0,543200747.0,
EBIT,385136872.0,528518186.0,427490941.0,310796048.0,
Net Interest Income,-114321054.0,-87899214.0,-73716703.0,-66042396.0,
Interest Expense,77867896.0,64165448.0,61132079.0,48683256.0,
Interest Income,886435.0,8186072.0,13657602.0,127083.0,
Normalized Income,305231171.905587,353963439.296458,369421905.939316,267059164.210744,
Net Income From Continuing And Discontinued Operation,304870401.0,456978822.0,356244132.0,254758323.0,
Total Expenses,1185646493.0,1049545402.0,870595693.0,732135290.0,
Rent Expense Supplemental,,,,-1706965.0,-18933943.0
Total Operating Income As Reported,422935148.0,447212975.0,450496478.0,327084407.0,
Diluted Average Shares,52090489.0,52352472.0,52383361.0,52383361.0,
Basic Average Shares,52090489.0,52352472.0,52383361.0,52383361.0,
Diluted EPS,5.85,8.73,6.8,4.86,
Basic EPS,5.85,8.73,6.8,4.86,
Diluted NI Availto Com Stockholders,304870401.0,456978822.0,356244132.0,254758323.0,
Net Income Common Stockholders,304870401.0,456978822.0,356244132.0,254758323.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,304870401.0,456978822.0,356244132.0,254758323.0,
Minority Interests,2787929.0,680062.0,434881.0,0.0,
Net Income Including Noncontrolling Interests,302082472.0,456298760.0,355809251.0,254758323.0,
Net Income Discontinuous Operations,75275.0,2172429.0,0.0,,
Net Income Continuous Operations,302007197.0,454126331.0,355809251.0,254758323.0,
Tax Provision,5261779.0,10226407.0,10549611.0,7354469.0,
Pretax Income,307268976.0,464352738.0,366358862.0,262112792.0,
Other Non Operating Income Expenses,373129.0,4942710.0,1779079.0,7157637.0,
Special Income Charges,-443643.0,103113822.0,-13568490.0,-12655947.0,
Other Special Charges,-1595834.0,-107126046.0,,,
Write Off,2039477.0,4012224.0,13568490.0,12655947.0,
Net Non Operating Interest Income Expense,-114321054.0,-87899214.0,-73716703.0,-66042396.0,
Total Other Finance Cost,37339593.0,31919838.0,26242226.0,17486223.0,
Interest Expense Non Operating,77867896.0,64165448.0,61132079.0,48683256.0,
Interest Income Non Operating,886435.0,8186072.0,13657602.0,127083.0,
Operating Income,428683188.0,451820854.0,454811445.0,333653498.0,
Operating Expense,186493721.0,171572187.0,129737215.0,99966808.0,
Other Operating Expenses,23134510.0,19706525.0,13574339.0,11658836.0,
Depreciation And Amortization In Income Statement,11054897.0,8962065.0,5977829.0,5978439.0,
Amortization,3034403.0,2647379.0,1355624.0,1608308.0,
Depreciation Income Statement,8020494.0,6314686.0,4622205.0,4370131.0,
Selling General And Administration,52570485.0,48139561.0,36804030.0,28397247.0,
Selling And Marketing Expense,25567219.0,16148030.0,9776840.0,6393107.0,
General And Administrative Expense,27003266.0,31991531.0,27027190.0,22004140.0,
Gross Profit,615176909.0,623393041.0,584548660.0,433620306.0,
Cost Of Revenue,999152772.0,877973215.0,740858478.0,632168482.0,
Total Revenue,1614329681.0,1501366256.0,1325407138.0,1065788788.0,
Operating Revenue,1614329681.0,1501366256.0,1325407138.0,1065788788.0,
