,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,55000000.0,55000000.0,55000000.0,55000000.0
Share Issued,55000000.0,55000000.0,55000000.0,55000000.0
Net Debt,1490117018.0,1580018760.0,1304755951.0,443420103.0
Total Debt,1594859151.0,1701804715.0,1445734729.0,567295606.0
Tangible Book Value,1390006508.0,1204675367.0,1023443437.0,843542270.0
Invested Capital,2919345864.0,2821788951.0,2371330317.0,1336428634.0
Working Capital,-680715713.0,-711844740.0,-826063510.0,-293605634.0
Net Tangible Assets,1390006508.0,1204675367.0,1023443437.0,843542270.0
Capital Lease Obligations,83323031.0,92258270.0,99727662.0,74409242.0
Common Stock Equity,1407809744.0,1212242506.0,1025323250.0,843542270.0
Total Capitalization,2221116067.0,2225639137.0,1958486866.0,1208201361.0
Total Equity Gross Minority Interest,1407809744.0,1212242506.0,1025323250.0,843542270.0
Stockholders Equity,1407809744.0,1212242506.0,1025323250.0,843542270.0
Retained Earnings,802241584.0,606674346.0,425555090.0,264065315.0
Capital Stock,550000000.0,550000000.0,550000000.0,550000000.0
Common Stock,550000000.0,550000000.0,550000000.0,550000000.0
Total Liabilities Net Minority Interest,2006424022.0,2162082291.0,2221078721.0,1000784011.0
Total Non Current Liabilities Net Minority Interest,871609732.0,1076059916.0,1006389567.0,423857177.0
Non Current Pension And Other Postretirement Benefit Plans,31901316.0,22070219.0,17687218.0,13173682.0
Long Term Debt And Capital Lease Obligation,839708416.0,1053989697.0,988702349.0,410683495.0
Long Term Capital Lease Obligation,26402093.0,40593066.0,55538733.0,46024404.0
Long Term Debt,813306323.0,1013396631.0,933163616.0,364659091.0
Current Liabilities,1134814290.0,1086022375.0,1214689154.0,576926834.0
Other Current Liabilities,4602473.0,4694235.0,4750517.0,1685584.0
Current Deferred Taxes Liabilities,5174033.0,4690449.0,4732233.0,
Current Debt And Capital Lease Obligation,755150735.0,647815018.0,457032380.0,156612111.0
Current Capital Lease Obligation,56920938.0,51665204.0,44188929.0,28384838.0
Current Debt,698229797.0,596149814.0,412843451.0,128227273.0
Payables,344573671.0,398128318.0,720825076.0,396801232.0
Total Tax Payable,6299056.0,0.0,4732233.0,4679053.0
Accounts Payable,338274615.0,398128318.0,720825076.0,392122179.0
Total Assets,3414233766.0,3374324797.0,3246401971.0,1844326281.0
Total Non Current Assets,2960135190.0,3000147162.0,2857776327.0,1561005081.0
Goodwill And Other Intangible Assets,17803236.0,7567139.0,1879813.0,0.0
Other Intangible Assets,17803236.0,7567139.0,,
Net PPE,2941348929.0,2981243790.0,2855896514.0,1561005081.0
Accumulated Depreciation,-873943682.0,-677373878.0,-545200996.0,-495877679.0
Gross PPE,3815292611.0,3658617668.0,3401097510.0,2056882760.0
Construction In Progress,2362488.0,12224681.0,40166064.0,9530886.0
Other Properties,212480744.0,176639551.0,151563085.0,109067955.0
Machinery Furniture Equipment,3587167364.0,3462752575.0,3209368361.0,1938283919.0
Buildings And Improvements,8975730.0,2694576.0,0.0,
Land And Improvements,4306285.0,4306285.0,0.0,0.0
Properties,0.0,0.0,0.0,0.0
Current Assets,454098577.0,374177635.0,388625644.0,283321200.0
Prepaid Assets,49840326.0,56247594.0,56356724.0,
Inventory,6523041.0,10364785.0,1911202.0,1453536.0
Finished Goods,4492889.0,9518581.0,1610560.0,
Raw Materials,2030152.0,846204.0,300642.0,
Other Receivables,-3082854.0,-2755619.0,-14517107.0,58801334.0
Taxes Receivable,0.0,12370532.0,61225174.0,
Accounts Receivable,379398962.0,268422658.0,242398535.0,173600069.0
Allowance For Doubtful Accounts Receivable,-66719098.0,-69130025.0,-65837466.0,-48302566.0
Gross Accounts Receivable,446118060.0,337552683.0,308236001.0,221902635.0
Cash Cash Equivalents And Short Term Investments,21419102.0,29527685.0,41251116.0,49466261.0
Cash And Cash Equivalents,21419102.0,29527685.0,41251116.0,49466261.0
Cash Financial,21419102.0,29527685.0,41251116.0,49466261.0
