,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,66000000.0,66000000.0,
Share Issued,66000000.0,66000000.0,
Net Debt,209597258.0,232710371.0,231509358.0
Total Debt,214096977.0,250622326.0,252112962.0
Tangible Book Value,504508428.0,490751814.0,539258158.0
Invested Capital,214096977.0,250622326.0,252112962.0
Net Tangible Assets,504508428.0,490751814.0,539258158.0
Common Stock Equity,504508428.0,490751814.0,539258158.0
Total Capitalization,718605405.0,741374140.0,791371120.0
Total Equity Gross Minority Interest,504508428.0,490751814.0,539258158.0
Stockholders Equity,504508428.0,490751814.0,539258158.0
Capital Stock,490751814.0,539258158.0,548413619.0
Common Stock,490751814.0,539258158.0,548413619.0
Total Liabilities Net Minority Interest,220245610.0,261028719.0,254402440.0
Long Term Debt And Capital Lease Obligation,214096977.0,250622326.0,252112962.0
Payables,5165301.0,9284631.0,1947119.0
Other Payable,5165301.0,9284631.0,1947119.0
Total Assets,724754038.0,751780533.0,793660598.0
Investments And Advances,21758564.0,57800000.0,63946671.0
Investmentin Financial Assets,21758564.0,57800000.0,63946671.0
Available For Sale Securities,,,6346671.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,21758564.0,57800000.0,57600000.0
Investment Properties,659173840.0,656327901.0,690728180.0
Prepaid Assets,43741.0,0.0,
Receivables,39265805.0,18903450.0,17780557.0
Taxes Receivable,12369.0,837227.0,601586.0
Cash And Cash Equivalents,4499719.0,17911955.0,20603604.0
Cash Cash Equivalents And Federal Funds Sold,4499719.0,17911955.0,20603604.0
