,2025-12-31,2024-12-31,2023-12-31
Free Cash Flow,372057960.0,325786714.0,346352879.0
Repayment Of Debt,-174509183.0,-226475806.0,-673046719.0
Capital Expenditure,-58061737.0,-18566721.0,-19719588.0
End Cash Position,235963432.0,130444607.0,127797523.0
Beginning Cash Position,130444607.0,127797523.0,573850801.0
Changes In Cash,105518825.0,2647084.0,-446053278.0
Financing Cash Flow,-274181855.0,-327419492.0,-809411157.0
Interest Paid Cff,-60324233.0,-91871101.0,-124146737.0
Cash Dividends Paid,-30275849.0,,
Common Stock Dividend Paid,-30275849.0,0.0,
Net Issuance Payments Of Debt,-174509183.0,-226475806.0,-673046719.0
Net Short Term Debt Issuance,,-226475806.0,-673046719.0
Short Term Debt Payments,,-226475806.0,-673046719.0
Net Long Term Debt Issuance,-174509183.0,-226475806.0,
Long Term Debt Payments,-174509183.0,-226475806.0,
Investing Cash Flow,-50419017.0,-14286859.0,-2714588.0
Interest Received Cfi,7424556.0,4279862.0,17005000.0
Net Intangibles Purchase And Sale,-762000.0,-787500.0,0.0
Purchase Of Intangibles,-762000.0,-787500.0,0.0
Net PPE Purchase And Sale,-57081573.0,-17779221.0,-19719588.0
Sale Of PPE,218164.0,0.0,
Purchase Of PPE,-57299737.0,-17779221.0,-19719588.0
Operating Cash Flow,430119697.0,344353435.0,366072467.0
Taxes Refund Paid,-5667741.0,-5208131.0,-11562185.0
Change In Working Capital,34272412.0,-34625723.0,5132698.0
Change In Other Current Assets,-5418639.0,3977087.0,6857356.0
Change In Accrued Expense,13365042.0,15877782.0,-1520873.0
Change In Payable,2347970.0,-6394688.0,-5777799.0
Change In Prepaid Assets,-1067226.0,6005004.0,5145788.0
Change In Inventory,31482285.0,-29264675.0,8362733.0
Change In Receivables,-6437020.0,-24826233.0,-7934507.0
Other Non Cash Items,63313855.0,78960181.0,104705870.0
Provisionand Write Offof Assets,6215987.0,2971596.0,-13220391.0
Depreciation And Amortization,83796589.0,79264024.0,72857348.0
Amortization Cash Flow,3348170.0,3080693.0,3080693.0
Depreciation,80448419.0,76183331.0,69776655.0
Pension And Employee Benefit Expense,5259603.0,3990466.0,2774291.0
Net Income From Continuing Operations,243310595.0,219217652.0,205448239.0
