,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,100000000.0,100000000.0,100000000.0,100000000.0
Share Issued,100000000.0,100000000.0,100000000.0,100000000.0
Net Debt,52119772.0,39085412.0,,
Total Debt,57657837.0,42980749.0,1298167.0,
Tangible Book Value,-7366921.0,8208581.0,-574556.0,9673583.0
Invested Capital,162822804.0,167440072.0,124797839.0,136282794.0
Working Capital,-26943215.0,-18042750.0,266271.0,11462535.0
Net Tangible Assets,-7366921.0,8208581.0,-574556.0,9673583.0
Capital Lease Obligations,83238.0,518008.0,1298167.0,
Common Stock Equity,105248205.0,124977331.0,124797839.0,136282794.0
Total Capitalization,144018024.0,159887270.0,124797839.0,136282794.0
Total Equity Gross Minority Interest,105248205.0,124977331.0,124797839.0,136282794.0
Stockholders Equity,105248205.0,124977331.0,124797839.0,136282794.0
Retained Earnings,-18156325.0,1572801.0,24797839.0,19781232.0
Additional Paid In Capital,23404530.0,23404530.0,0.0,
Capital Stock,100000000.0,100000000.0,100000000.0,100000000.0
Common Stock,100000000.0,100000000.0,100000000.0,100000000.0
Total Liabilities Net Minority Interest,95895108.0,75294304.0,25513000.0,14054785.0
Total Non Current Liabilities Net Minority Interest,45963045.0,40985215.0,6137047.0,5197408.0
Non Current Pension And Other Postretirement Benefit Plans,7164157.0,6061906.0,5619039.0,5197408.0
Long Term Debt And Capital Lease Obligation,38798888.0,34923309.0,518008.0,
Long Term Capital Lease Obligation,29069.0,13370.0,518008.0,
Long Term Debt,38769819.0,34909939.0,0.0,
Current Liabilities,49932063.0,34309089.0,19375953.0,8857377.0
Other Current Liabilities,2565138.0,847770.0,691017.0,
Current Deferred Taxes Liabilities,6324024.0,2532630.0,971601.0,957328.0
Current Debt And Capital Lease Obligation,18858949.0,8057440.0,780159.0,
Current Capital Lease Obligation,54169.0,504638.0,780159.0,
Current Debt,18804780.0,7552802.0,0.0,
Pensionand Other Post Retirement Benefit Plans Current,1988101.0,1309710.0,1320707.0,686601.0
Current Provisions,,39243.0,,
Payables,10330147.0,10716926.0,9797645.0,3924655.0
Other Payable,5907011.0,5533417.0,5891603.0,1749044.0
Total Tax Payable,2213253.0,3132607.0,1783271.0,447625.0
Accounts Payable,2209883.0,2050902.0,2122771.0,1727986.0
Total Assets,201143313.0,200271635.0,150310839.0,150337579.0
Total Non Current Assets,178154465.0,184005296.0,130668615.0,130017667.0
Goodwill And Other Intangible Assets,112615126.0,116768750.0,125372395.0,126609211.0
Other Intangible Assets,112615126.0,116768750.0,125372395.0,126609211.0
Net PPE,65539339.0,67236546.0,5296220.0,3408456.0
Accumulated Depreciation,-8686091.0,-6593932.0,-349920.0,-5397957.0
Gross PPE,74225430.0,73830478.0,5646140.0,8806413.0
Construction In Progress,2175839.0,2175839.0,2175839.0,2175839.0
Other Properties,84610.0,84610.0,3877863.0,84610.0
Machinery Furniture Equipment,6469298.0,6444565.0,6614394.0,6088776.0
Buildings And Improvements,45704125.0,45333906.0,1768277.0,457188.0
Land And Improvements,19791558.0,19791558.0,0.0,
Properties,0.0,0.0,0.0,0.0
Current Assets,22988848.0,16266339.0,19642224.0,20319912.0
Other Current Assets,40737.0,28027.0,120806.0,60000.0
Restricted Cash,632868.0,400590.0,1079664.0,34349.0
Prepaid Assets,1129207.0,437317.0,294437.0,501013.0
Inventory,124794.0,799561.0,1272926.0,1606968.0
Finished Goods,124794.0,799561.0,1272926.0,1606968.0
Other Receivables,738840.0,591213.0,381955.0,311379.0
Taxes Receivable,743569.0,620070.0,0.0,
Accounts Receivable,14124006.0,10012232.0,12821680.0,8439402.0
Allowance For Doubtful Accounts Receivable,-28757423.0,-25413768.0,-22196072.0,-18296072.0
Gross Accounts Receivable,42881429.0,35426000.0,35017752.0,26735474.0
Cash Cash Equivalents And Short Term Investments,5454827.0,3377329.0,3670756.0,9366801.0
Cash And Cash Equivalents,5454827.0,3377329.0,3670756.0,9366801.0
Cash Financial,5454827.0,3377329.0,3670756.0,9366801.0
