,2025-12-31,2024-12-31
Ordinary Shares Number,30000000.0,30000000.0
Share Issued,30000000.0,30000000.0
Net Debt,793338271.0,763137111.0
Total Debt,880258702.0,832406432.0
Tangible Book Value,584587513.0,514464428.0
Invested Capital,1428597376.0,1327071954.0
Working Capital,-234606920.0,-76866316.0
Net Tangible Assets,584587513.0,514464428.0
Capital Lease Obligations,36867194.0,19957872.0
Common Stock Equity,585205868.0,514623394.0
Total Capitalization,1113957728.0,1047337508.0
Total Equity Gross Minority Interest,585205868.0,514623394.0
Stockholders Equity,585205868.0,514623394.0
Retained Earnings,243585742.0,173003268.0
Capital Stock,300000000.0,300000000.0
Common Stock,300000000.0,300000000.0
Total Liabilities Net Minority Interest,1186230789.0,930293438.0
Total Non Current Liabilities Net Minority Interest,571444352.0,558203218.0
Non Current Pension And Other Postretirement Benefit Plans,10142040.0,9778760.0
Long Term Debt And Capital Lease Obligation,561302312.0,548424458.0
Long Term Capital Lease Obligation,32550452.0,15710344.0
Long Term Debt,528751860.0,532714114.0
Current Liabilities,614786437.0,372090220.0
Other Current Liabilities,184.0,154452.0
Current Deferred Taxes Liabilities,2845161.0,2841329.0
Current Debt And Capital Lease Obligation,318956390.0,283981974.0
Current Capital Lease Obligation,4316742.0,4247528.0
Current Debt,314639648.0,279734446.0
Pensionand Other Post Retirement Benefit Plans Current,4621743.0,3641085.0
Payables,282351077.0,74921059.0
Other Payable,19926296.0,22959876.0
Accounts Payable,262424781.0,51961183.0
Total Assets,1771436657.0,1444916832.0
Total Non Current Assets,1391257140.0,1149692928.0
Goodwill And Other Intangible Assets,618355.0,158966.0
Other Intangible Assets,618355.0,158966.0
Net PPE,1390638785.0,1149533962.0
Accumulated Depreciation,-363001585.0,-311392555.0
Gross PPE,1753640370.0,1460926517.0
Construction In Progress,2227806.0,972643.0
Other Properties,37041888.0,19743911.0
Machinery Furniture Equipment,1687845216.0,1415164111.0
Buildings And Improvements,19366884.0,17887276.0
Land And Improvements,7158576.0,7158576.0
Properties,0.0,0.0
Current Assets,380179517.0,295223904.0
Other Current Assets,3061574.0,1060122.0
Restricted Cash,1430655.0,1230655.0
Prepaid Assets,12585918.0,16821642.0
Inventory,6995125.0,5416555.0
Finished Goods,2093444.0,1019668.0
Raw Materials,4901681.0,4396887.0
Other Receivables,8764650.0,10232855.0
Taxes Receivable,12252016.0,4419158.0
Accounts Receivable,285036342.0,206731468.0
Allowance For Doubtful Accounts Receivable,-34746650.0,-33546650.0
Gross Accounts Receivable,319782992.0,240278118.0
Cash Cash Equivalents And Short Term Investments,50053237.0,49311449.0
Cash And Cash Equivalents,50053237.0,49311449.0
Cash Financial,50053237.0,49311449.0
