,2025-12-31,2024-12-31
Free Cash Flow,2017586039.0,412060415.0
Repayment Of Debt,-3435563144.0,0.0
Issuance Of Debt,941557890.0,1346276692.0
Issuance Of Capital Stock,1902493203.0,0.0
Capital Expenditure,-129765961.0,-30986259.0
End Cash Position,226969596.0,513357637.0
Beginning Cash Position,513357637.0,538512311.0
Changes In Cash,-286388041.0,-25154674.0
Financing Cash Flow,-1375642549.0,707299816.0
Interest Paid Cff,-780935298.0,-636418876.0
Net Common Stock Issuance,1902493203.0,0.0
Common Stock Issuance,1902493203.0,0.0
Net Issuance Payments Of Debt,-2494005254.0,1346276692.0
Net Long Term Debt Issuance,-2494005254.0,1346276692.0
Long Term Debt Payments,-3435563144.0,0.0
Long Term Debt Issuance,941557890.0,1346276692.0
Investing Cash Flow,-1058097492.0,-1175501164.0
Net Other Investing Changes,54651505.0,-6931472.0
Net Investment Purchase And Sale,238748291.0,-315000000.0
Sale Of Investment,315000000.0,
Purchase Of Investment,-76251709.0,-315000000.0
Net Investment Properties Purchase And Sale,-1221752607.0,-822583433.0
Purchase Of Investment Properties,-1221752607.0,-822583433.0
Net Intangibles Purchase And Sale,-20907431.0,-476594.0
Purchase Of Intangibles,-20907431.0,-476594.0
Net PPE Purchase And Sale,-108837250.0,-30509665.0
Sale Of PPE,21280.0,
Purchase Of PPE,-108858530.0,-30509665.0
Operating Cash Flow,2147352000.0,443046674.0
Taxes Refund Paid,-32745602.0,-80219110.0
Interest Received Cfo,17002526.0,14876817.0
Change In Working Capital,1070019964.0,-66332733.0
Change In Accrued Expense,322042070.0,35503140.0
Change In Payable,-42526584.0,7987907.0
Change In Prepaid Assets,85226851.0,30012972.0
Change In Inventory,1416920438.0,932378838.0
Change In Receivables,-711642811.0,-1072215590.0
Other Non Cash Items,48007717.0,23612703.0
Provisionand Write Offof Assets,20837896.0,4122012.0
Depreciation And Amortization,13972450.0,10670284.0
Amortization Cash Flow,3341769.0,2687191.0
Depreciation,10630681.0,7983093.0
Pension And Employee Benefit Expense,3641927.0,3423723.0
Gain Loss On Investment Securities,-17033402.0,-410524.0
Gain Loss On Sale Of PPE,-21208.0,0.0
Net Income From Continuing Operations,1026933848.0,534032088.0
