,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-291534000.0,-430699000.0,225198000.0,222588000.0,
Repurchase Of Capital Stock,,,0.0,-4839000.0,
Repayment Of Debt,-10872000.0,-1189758000.0,,-164121000.0,-446000.0
Issuance Of Debt,0.0,112734000.0,,,915946000.0
Capital Expenditure,-469194000.0,-597282000.0,-191649000.0,-132460000.0,
End Cash Position,148763000.0,589250000.0,353274000.0,295172000.0,
Other Cash Adjustment Outside Changein Cash,,,-146000.0,,251999000.0
Beginning Cash Position,589250000.0,353274000.0,295172000.0,410926000.0,
Changes In Cash,-440487000.0,235976000.0,58248000.0,-115754000.0,
Financing Cash Flow,-196128000.0,940455000.0,27216000.0,-288072000.0,
Net Other Financing Charges,-28322000.0,2018929000.0,,,
Cash Dividends Paid,-154733000.0,,,-73655000.0,-68490000.0
Common Stock Dividend Paid,-154733000.0,0.0,,,
Net Common Stock Issuance,,,0.0,-4839000.0,
Common Stock Payments,,,0.0,-4839000.0,
Net Issuance Payments Of Debt,-10872000.0,-1077024000.0,71436000.0,-162799000.0,
Net Short Term Debt Issuance,,,,,0.0
Short Term Debt Payments,,,,,0.0
Net Long Term Debt Issuance,-10872000.0,-1077024000.0,71436000.0,-162799000.0,
Long Term Debt Payments,-10872000.0,-1189758000.0,,-164121000.0,-446000.0
Long Term Debt Issuance,0.0,112734000.0,,,915946000.0
Investing Cash Flow,-422019000.0,-871062000.0,-385815000.0,-182730000.0,
Net Other Investing Changes,,,,-1806000.0,
Interest Received Cfi,16645000.0,33720000.0,9197000.0,2530000.0,
Dividends Received Cfi,4530000.0,22500000.0,6000.0,0.0,
Net Investment Purchase And Sale,26000000.0,-330000000.0,132000.0,0.0,
Sale Of Investment,198000000.0,0.0,132000.0,0.0,
Purchase Of Investment,-172000000.0,-330000000.0,,0.0,-895304000.0
Net Business Purchase And Sale,,1987952000.0,-203592000.0,-52800000.0,-20014000.0
Sale Of Business,,2047707000.0,15626000.0,0.0,
Purchase Of Business,,-59755000.0,-219218000.0,-52800000.0,-20014000.0
Net Intangibles Purchase And Sale,-19468000.0,0.0,,0.0,-25000.0
Purchase Of Intangibles,-19468000.0,0.0,,0.0,-25000.0
Net PPE Purchase And Sale,-449726000.0,-597282000.0,-191558000.0,-132460000.0,
Sale Of PPE,,0.0,91000.0,0.0,121000.0
Purchase Of PPE,-449726000.0,-597282000.0,-191649000.0,-132460000.0,
Operating Cash Flow,177660000.0,166583000.0,416847000.0,355048000.0,
Taxes Refund Paid,-27787000.0,-21524000.0,-25004000.0,-22152000.0,
Interest Received Cfo,,,,2530000.0,172000.0
Interest Paid Cfo,-8111000.0,-63945000.0,-56017000.0,-28581000.0,
Dividend Paid Cfo,,0.0,-6000.0,,
Change In Working Capital,34035000.0,-24785000.0,206719000.0,-6511000.0,
Change In Other Current Liabilities,,,,,-446000.0
Change In Accrued Expense,2804000.0,-4991000.0,-2143000.0,-66959000.0,
Change In Payable,-33688000.0,48067000.0,51433000.0,-119028000.0,
Change In Prepaid Assets,-23024000.0,35643000.0,-17521000.0,3310000.0,
Change In Inventory,-30333000.0,38138000.0,-116674000.0,86443000.0,
Change In Receivables,118276000.0,-141642000.0,291624000.0,89723000.0,
Other Non Cash Items,-7626000.0,9509000.0,58183000.0,26449000.0,
Provisionand Write Offof Assets,0.0,-25554000.0,6387000.0,1655000.0,
Depreciation And Amortization,194142000.0,239551000.0,249131000.0,244938000.0,
Amortization Cash Flow,2738000.0,57494000.0,57502000.0,57505000.0,
Depreciation,191404000.0,182057000.0,191629000.0,187433000.0,
Pension And Employee Benefit Expense,11194000.0,11758000.0,10686000.0,6962000.0,
Gain Loss On Investment Securities,-19717000.0,-49000.0,-6000.0,1000.0,
Gain Loss On Sale Of PPE,,0.0,8187000.0,171000.0,-35000.0
Gain Loss On Sale Of Business,,0.0,-4245000.0,0.0,-1351864000.0
Net Income From Continuing Operations,-1294833000.0,-96113000.0,-25492000.0,140114000.0,
