,2025-12-31,2024-12-31
Free Cash Flow,102471140.0,57754905.0
Capital Expenditure,-7016868.0,-14468819.0
End Cash Position,65319340.0,53329420.0
Beginning Cash Position,53329420.0,37301338.0
Effect Of Exchange Rate Changes,-257674.0,263498.0
Changes In Cash,12247594.0,15764584.0
Financing Cash Flow,-90870031.0,-48876713.0
Cash Dividends Paid,-72000000.0,-33701927.0
Investing Cash Flow,-6370383.0,-7582427.0
Net Intangibles Purchase And Sale,-30734.0,-39434.0
Purchase Of Intangibles,-30734.0,-39434.0
Net PPE Purchase And Sale,-6339649.0,-7542993.0
Sale Of PPE,646485.0,6886392.0
Purchase Of PPE,-6986134.0,-14429385.0
Operating Cash Flow,109488008.0,72223724.0
Taxes Refund Paid,-6658217.0,-4566778.0
Change In Working Capital,3905474.0,-31193105.0
Change In Other Current Assets,-1677564.0,-13556831.0
Change In Accrued Expense,-7829237.0,4526668.0
Change In Payable,5355419.0,-5546304.0
Change In Inventory,12025905.0,-16328405.0
Change In Receivables,-3969049.0,-288233.0
Other Non Cash Items,5727159.0,4844596.0
Provisionand Write Offof Assets,773297.0,991612.0
Depreciation And Amortization,28535105.0,26381683.0
Amortization Cash Flow,99440.0,95784.0
Depreciation,28435665.0,26285899.0
Pension And Employee Benefit Expense,3295944.0,3357936.0
Gain Loss On Sale Of PPE,-169032.0,-518626.0
Net Income From Continuing Operations,60666929.0,63225201.0
