,2025-12-31,2024-12-31,2023-12-31
Ordinary Shares Number,72000000.0,72000000.0,72000000.0
Share Issued,72000000.0,72000000.0,72000000.0
Net Debt,1602481497.0,1251877184.0,920563509.0
Total Debt,1657820992.0,1277907251.0,947926273.0
Tangible Book Value,1357756788.0,1094272675.0,871288754.0
Invested Capital,3048894100.0,2388316883.0,1836026967.0
Working Capital,1115756355.0,766796914.0,534204599.0
Net Tangible Assets,1357756788.0,1094272675.0,871288754.0
Capital Lease Obligations,5874790.0,2238159.0,2574856.0
Common Stock Equity,1396947898.0,1112647791.0,890675550.0
Total Capitalization,2488155099.0,1961704041.0,1555413050.0
Total Equity Gross Minority Interest,1402796102.0,1112647791.0,890675550.0
Minority Interest,5848204.0,0.0,
Stockholders Equity,1396947898.0,1112647791.0,890675550.0
Retained Earnings,1085049301.0,818740661.0,395365519.0
Additional Paid In Capital,,200990787.0,200990787.0
Capital Stock,250000000.0,250000000.0,250000000.0
Common Stock,250000000.0,250000000.0,250000000.0
Total Liabilities Net Minority Interest,1795089307.0,1379900966.0,1046765455.0
Total Non Current Liabilities Net Minority Interest,1147162387.0,892552351.0,699554219.0
Non Current Pension And Other Postretirement Benefit Plans,11689019.0,9433041.0,7818486.0
Tradeand Other Payables Non Current,3755000.0,6185000.0,
Non Current Deferred Taxes Liabilities,34636377.0,25639901.0,24423377.0
Long Term Debt And Capital Lease Obligation,1097081991.0,851294409.0,667312356.0
Long Term Capital Lease Obligation,5874790.0,2238159.0,2574856.0
Long Term Debt,1091207201.0,849056250.0,664737500.0
Current Liabilities,647926920.0,487348615.0,347211236.0
Current Debt And Capital Lease Obligation,560739001.0,426612842.0,280613917.0
Current Debt,560739001.0,426612842.0,280613917.0
Payables,87187919.0,60735773.0,38331956.0
Other Payable,,,21171439.0
Total Tax Payable,,,587567.0
Accounts Payable,87187919.0,60735773.0,16572950.0
Total Assets,3197885409.0,2492548757.0,1937441005.0
Total Non Current Assets,1434202134.0,1238403228.0,1056025170.0
Non Current Prepaid Assets,1819873.0,1406671.0,1494373.0
Goodwill And Other Intangible Assets,39191110.0,18375116.0,19386796.0
Other Intangible Assets,38662418.0,17846424.0,18858104.0
Goodwill,528692.0,528692.0,528692.0
Net PPE,10458338.0,6454089.0,6991961.0
Accumulated Depreciation,-25156875.0,-22775074.0,-20353367.0
Gross PPE,35615213.0,29229163.0,27345328.0
Other Properties,5738902.0,2061814.0,2574856.0
Machinery Furniture Equipment,27682473.0,24987958.0,22600921.0
Buildings And Improvements,2193838.0,2179391.0,2169551.0
Properties,0.0,0.0,0.0
Current Assets,1763683275.0,1254145529.0,881415835.0
Prepaid Assets,4719115.0,0.0,
Other Receivables,15994218.0,35377674.0,17394610.0
Cash Cash Equivalents And Short Term Investments,1742969942.0,1218767855.0,864021225.0
Other Short Term Investments,1693505237.0,1194975947.0,839233317.0
Cash And Cash Equivalents,49464705.0,23791908.0,24787908.0
Cash Equivalents,4000000.0,0.0,
Cash Financial,45464705.0,23791908.0,24787908.0
