,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,123073852.0,168617201.0,182701224.0,319242553.0
Repurchase Of Capital Stock,0.0,-32994684.0,0.0,
Repayment Of Debt,-118536143.0,-788636880.0,-44588254.0,-112362624.0
Issuance Of Debt,55000000.0,882741960.0,7351677.0,0.0
Issuance Of Capital Stock,,,0.0,10.0
Capital Expenditure,-139603307.0,-107117521.0,-56072948.0,-33972153.0
End Cash Position,72004293.0,182903783.0,112026254.0,118160559.0
Beginning Cash Position,182903783.0,112026254.0,118160559.0,94133966.0
Changes In Cash,-110899490.0,70877529.0,-6134305.0,24026593.0
Financing Cash Flow,-234298428.0,-97771536.0,-188911337.0,-296994908.0
Net Other Financing Charges,,11050395.0,-3025745.0,
Cash Dividends Paid,-162027360.0,-162027360.0,-140000000.0,-177358740.0
Net Common Stock Issuance,0.0,-32994684.0,0.0,10.0
Common Stock Payments,0.0,-32994684.0,0.0,
Common Stock Issuance,,,0.0,10.0
Net Issuance Payments Of Debt,-63536143.0,94105080.0,-37236577.0,-112362624.0
Net Long Term Debt Issuance,-63536143.0,94105080.0,-37236577.0,-112362624.0
Long Term Debt Payments,-118536143.0,-788636880.0,-44588254.0,-112362624.0
Long Term Debt Issuance,55000000.0,882741960.0,7351677.0,0.0
Investing Cash Flow,-139278221.0,-107085657.0,-55997140.0,-32193205.0
Net Intangibles Purchase And Sale,-2467494.0,-1437923.0,-140727.0,-2231469.0
Purchase Of Intangibles,-2467494.0,-1437923.0,-140727.0,-2231469.0
Net PPE Purchase And Sale,-136810727.0,-105647734.0,-55856413.0,-29961736.0
Sale Of PPE,325086.0,31864.0,75808.0,1778948.0
Purchase Of PPE,-137135813.0,-105679598.0,-55932221.0,-31740684.0
Operating Cash Flow,262677159.0,275734722.0,238774172.0,353214706.0
Taxes Refund Paid,-5405270.0,-5173620.0,-3024540.0,-2150379.0
Interest Received Cfo,2998901.0,6976565.0,3987046.0,1344032.0
Interest Paid Cfo,-26145293.0,-46016389.0,-47655556.0,-35326917.0
Change In Working Capital,-29089112.0,544895.0,-23620666.0,50155470.0
Change In Other Current Assets,-83458.0,-673257.0,1646294.0,3608266.0
Change In Accrued Expense,-21097547.0,13999411.0,-13726702.0,36347525.0
Change In Payable,-11749351.0,-1092777.0,-3878878.0,-1377049.0
Change In Prepaid Assets,19731525.0,-3931734.0,-16444977.0,21322747.0
Change In Inventory,1345316.0,1234271.0,9838950.0,-9556037.0
Change In Receivables,-17235597.0,-8991019.0,-1055353.0,-189982.0
Other Non Cash Items,27922707.0,46105491.0,44260961.0,34471352.0
Provisionand Write Offof Assets,316896.0,134843.0,-5546618.0,9858852.0
Depreciation And Amortization,61599628.0,59598107.0,58500563.0,53540896.0
Amortization Cash Flow,440075.0,450811.0,397635.0,168143.0
Depreciation,61159553.0,59147296.0,58102928.0,53372753.0
Pension And Employee Benefit Expense,2780441.0,2416792.0,2827226.0,2548605.0
Gain Loss On Sale Of PPE,172863.0,-23078.0,-10952.0,-665314.0
Net Income From Continuing Operations,228463927.0,211648339.0,209306247.0,235635995.0
