,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0346,0.0166,0.0523,0.0343
Normalized EBITDA,605230121.0,398103811.0,204850827.0,264089341.0
Net Income From Continuing Operation Net Minority Interest,345571543.0,206432433.0,62127088.0,126331146.0
Reconciled Depreciation,239638908.0,175162241.0,129039106.0,109437269.0
Reconciled Cost Of Revenue,590656264.0,492319476.0,364454879.0,374408470.0
EBITDA,605230121.0,398103811.0,204850827.0,264089341.0
EBIT,365591213.0,222941570.0,75811721.0,154652072.0
Net Interest Income,-5414308.0,-5318634.0,-7810659.0,-12042497.0
Interest Expense,5414308.0,5318634.0,7810659.0,12042497.0
Normalized Income,345571543.0,206432433.0,62127088.0,126331146.0
Net Income From Continuing And Discontinued Operation,345571543.0,206432433.0,62127088.0,126331146.0
Total Expenses,658599846.0,558295510.0,423884061.0,438821992.0
Total Operating Income As Reported,367483577.0,222353400.0,64010622.0,143946711.0
Diluted Average Shares,88548200.0,88361458.0,74644019.0,85098773.0
Basic Average Shares,88548200.0,88361458.0,74644019.0,85098773.0
Diluted EPS,3.17,2.01,0.73,1.481333
Basic EPS,3.17,2.01,0.73,1.481333
Diluted NI Availto Com Stockholders,280597983.0,177898746.0,54582956.0,126331146.0
Net Income Common Stockholders,280597983.0,177898746.0,54582956.0,126331146.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,280597983.0,177898746.0,54582956.0,126331146.0
Net Income Including Noncontrolling Interests,280597983.0,177898746.0,54582956.0,126331146.0
Net Income Extraordinary,-64973560.0,-28533687.0,-7544132.0,
Net Income Continuous Operations,345571543.0,206432433.0,62127088.0,126331146.0
Tax Provision,14605362.0,11190503.0,5873974.0,16278429.0
Pretax Income,360176905.0,217622936.0,68001062.0,142609575.0
Other Non Operating Income Expenses,-1892364.0,588170.0,11801099.0,10705361.0
Net Non Operating Interest Income Expense,-5414308.0,-5318634.0,-7810659.0,-12042497.0
Interest Expense Non Operating,5414308.0,5318634.0,7810659.0,12042497.0
Operating Income,367483577.0,222353400.0,64010622.0,143946711.0
Operating Expense,67943582.0,65976034.0,59429182.0,64413522.0
Selling General And Administration,34172894.0,38710729.0,24136982.0,38034027.0
Selling And Marketing Expense,16225800.0,26441277.0,15686525.0,24824990.0
General And Administrative Expense,17947094.0,12269452.0,8450457.0,13209037.0
Gross Profit,435427159.0,288329434.0,123439804.0,208360233.0
Cost Of Revenue,590656264.0,492319476.0,364454879.0,374408470.0
Total Revenue,1026083423.0,780648910.0,487894683.0,582768703.0
Operating Revenue,1026083423.0,780648910.0,487894683.0,582768703.0
