,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,1362145.721473,47123.228774,-713341.6,1798038.6
Tax Rate For Calcs,0.207257,0.31007,0.2,0.2
Normalized EBITDA,113691036.0,129270507.0,-8384029.0,77778505.0
Total Unusual Items,6572263.0,151976.0,-3566708.0,8990193.0
Total Unusual Items Excluding Goodwill,6572263.0,151976.0,-3566708.0,8990193.0
Net Income From Continuing Operation Net Minority Interest,42607602.0,44667304.0,-98011332.0,2917385.0
Reconciled Depreciation,38124930.0,38410374.0,41307607.0,45613625.0
Reconciled Cost Of Revenue,645487663.0,679932849.0,711683534.0,753561976.0
EBITDA,120263299.0,129422483.0,-11950737.0,86768698.0
EBIT,82138369.0,91012109.0,-53258344.0,41155073.0
Net Interest Income,-30856259.0,-29116803.0,-24134535.0,-13936745.0
Interest Expense,28391332.0,26270299.0,25841146.0,12044724.0
Normalized Income,37397484.721473,44562451.228774,-95157965.6,-4274769.4
Net Income From Continuing And Discontinued Operation,42607602.0,44667304.0,-98011332.0,2917385.0
Total Expenses,837167843.0,857125379.0,938110638.0,984644987.0
Rent Expense Supplemental,17834645.0,16626123.0,16732754.0,12758567.0
Total Operating Income As Reported,84103640.0,119694273.0,-56285066.0,46729180.0
Diluted Average Shares,35357145.0,35357145.0,35357145.0,35357145.0
Basic Average Shares,35357145.0,35357145.0,35357145.0,35357145.0
Diluted EPS,1.21,1.26,-2.77,0.08
Basic EPS,1.21,1.26,-2.77,0.08
Diluted NI Availto Com Stockholders,42607602.0,44667304.0,-98011332.0,2917385.0
Net Income Common Stockholders,42607602.0,44667304.0,-98011332.0,2917385.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,42607602.0,44667304.0,-98011332.0,2917385.0
Net Income Including Noncontrolling Interests,42607602.0,44667304.0,-98011332.0,2917385.0
Net Income Continuous Operations,42607602.0,44667304.0,-98011332.0,2917385.0
Tax Provision,11139435.0,20074506.0,18911842.0,26192964.0
Pretax Income,53747037.0,64741810.0,-79099490.0,29110349.0
Other Non Operating Income Expenses,12088921.0,9355926.0,3687745.0,-415470.0
Special Income Charges,6572263.0,151976.0,-3282181.0,8663298.0
Other Special Charges,-8823042.0,-222418.0,-463245.0,-8663298.0
Write Off,0.0,70442.0,0.0,
Impairment Of Capital Assets,2250779.0,0.0,3745426.0,0.0
Net Non Operating Interest Income Expense,-30856259.0,-29116803.0,-24134535.0,-13936745.0
Total Other Finance Cost,2464927.0,2846504.0,-1706611.0,1892021.0
Interest Expense Non Operating,28391332.0,26270299.0,25841146.0,12044724.0
Operating Income,66697883.0,111930475.0,-55389016.0,39676375.0
Operating Expense,191680180.0,177192530.0,226427104.0,231083011.0
Other Operating Expenses,8324663.0,5095568.0,20106527.0,9859436.0
Depreciation And Amortization In Income Statement,7025701.0,7366990.0,9509337.0,12477318.0
Amortization,282258.0,458060.0,438466.0,422275.0
Depreciation Income Statement,6743443.0,6908930.0,9070871.0,12055043.0
Selling General And Administration,72931852.0,63635996.0,78822702.0,93183106.0
Selling And Marketing Expense,53404534.0,44958029.0,59064864.0,68948246.0
General And Administrative Expense,19527318.0,18677967.0,19757838.0,24234860.0
Rent And Landing Fees,13171493.0,12863494.0,13606171.0,8497547.0
Gross Profit,258378063.0,289123005.0,171038088.0,270759386.0
Cost Of Revenue,645487663.0,679932849.0,711683534.0,753561976.0
Total Revenue,903865726.0,969055854.0,882721622.0,1024321362.0
Operating Revenue,903865726.0,969055854.0,882721622.0,1024321362.0
