,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,315000000.0,315000000.0,315000000.0,315000000.0
Share Issued,315000000.0,315000000.0,315000000.0,315000000.0
Net Debt,356212000.0,404394000.0,445653000.0,463765000.0
Total Debt,1203630000.0,1379544000.0,1508521000.0,1477330000.0
Tangible Book Value,-7289000.0,196578000.0,194214000.0,281636000.0
Invested Capital,379998000.0,649137000.0,686778000.0,799137000.0
Working Capital,-404792000.0,-333189000.0,-311257000.0,-229169000.0
Net Tangible Assets,-7289000.0,196578000.0,194214000.0,281636000.0
Capital Lease Obligations,826423000.0,937049000.0,1025176000.0,968359000.0
Common Stock Equity,2791000.0,206642000.0,203433000.0,290166000.0
Total Capitalization,214144000.0,510018000.0,508237000.0,631119000.0
Total Equity Gross Minority Interest,2791000.0,204804000.0,201705000.0,290166000.0
Minority Interest,0.0,-1838000.0,-1728000.0,
Stockholders Equity,2791000.0,206642000.0,203433000.0,290166000.0
Retained Earnings,-312732000.0,-109007000.0,-114317000.0,-24615000.0
Capital Stock,315000000.0,315000000.0,315000000.0,315000000.0
Common Stock,315000000.0,315000000.0,315000000.0,315000000.0
Total Liabilities Net Minority Interest,1618748000.0,1718803000.0,1843659000.0,1776772000.0
Total Non Current Liabilities Net Minority Interest,998166000.0,1191356000.0,1274663000.0,1243329000.0
Non Current Pension And Other Postretirement Benefit Plans,55633000.0,51068000.0,49334000.0,48519000.0
Long Term Debt And Capital Lease Obligation,942533000.0,1140288000.0,1225329000.0,1194810000.0
Long Term Capital Lease Obligation,731180000.0,836912000.0,920525000.0,853857000.0
Long Term Debt,211353000.0,303376000.0,304804000.0,340953000.0
Current Liabilities,620582000.0,527447000.0,568996000.0,533443000.0
Other Current Liabilities,22854000.0,11008000.0,9171000.0,9291000.0
Current Deferred Taxes Liabilities,3007000.0,7087000.0,6860000.0,6860000.0
Current Debt And Capital Lease Obligation,261097000.0,239256000.0,283192000.0,282520000.0
Current Capital Lease Obligation,95243000.0,100137000.0,104651000.0,114502000.0
Current Debt,165854000.0,139119000.0,178541000.0,168018000.0
Payables,231696000.0,175722000.0,171384000.0,118712000.0
Other Payable,35566000.0,5284000.0,6186000.0,9378000.0
Accounts Payable,196130000.0,170438000.0,165198000.0,109334000.0
Total Assets,1621539000.0,1923607000.0,2045364000.0,2066938000.0
Total Non Current Assets,1405749000.0,1729349000.0,1787625000.0,1762664000.0
Long Term Equity Investment,31424000.0,91591000.0,79682000.0,105632000.0
Investmentsin Joint Venturesat Cost,31424000.0,91591000.0,79682000.0,105632000.0
Goodwill And Other Intangible Assets,10080000.0,10064000.0,9219000.0,8530000.0
Other Intangible Assets,10080000.0,10064000.0,9219000.0,8530000.0
Net PPE,1313964000.0,1627694000.0,1698724000.0,1637768000.0
Accumulated Depreciation,-1996113000.0,-1982148000.0,-1968275000.0,-1895747000.0
Gross PPE,3310077000.0,3609842000.0,3666999000.0,3533515000.0
Construction In Progress,2551000.0,5222000.0,60021000.0,27815000.0
Other Properties,778137000.0,821112000.0,892174000.0,867177000.0
Machinery Furniture Equipment,282359000.0,327210000.0,318946000.0,343735000.0
Buildings And Improvements,1977423000.0,2168884000.0,2131041000.0,2062391000.0
Land And Improvements,269607000.0,287414000.0,264817000.0,232397000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,215790000.0,194258000.0,257739000.0,304274000.0
Other Current Assets,26900000.0,12322000.0,10078000.0,137072000.0
Assets Held For Sale Current,48826000.0,0.0,,
Prepaid Assets,22784000.0,28978000.0,55898000.0,76940000.0
Inventory,13296000.0,17097000.0,18026000.0,19530000.0
Inventories Adjustments Allowances,-11740000.0,-8872000.0,-9068000.0,-8413000.0
Other Inventories,4808000.0,4960000.0,6013000.0,7157000.0
Finished Goods,3750000.0,2990000.0,2339000.0,2284000.0
Raw Materials,16478000.0,18019000.0,18742000.0,18502000.0
Other Receivables,17442000.0,25768000.0,56374000.0,54950000.0
Accounts Receivable,61149000.0,71992000.0,79671000.0,92413000.0
Allowance For Doubtful Accounts Receivable,-34707000.0,-29308000.0,-39218000.0,-19282000.0
Gross Accounts Receivable,95856000.0,101300000.0,118889000.0,111695000.0
Cash Cash Equivalents And Short Term Investments,20995000.0,38101000.0,37692000.0,55259000.0
Other Short Term Investments,,,,10053000.0
Cash And Cash Equivalents,20995000.0,38101000.0,37692000.0,45206000.0
Cash Financial,20995000.0,38101000.0,37692000.0,45206000.0
