,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-591799.90567,-650809.35617,0.0,0.0
Tax Rate For Calcs,0.150688,0.138331,0.2,0.17345
Normalized EBITDA,58280584.0,63558559.0,42377150.0,39663398.0
Total Unusual Items,-3927312.0,-4704713.0,,
Total Unusual Items Excluding Goodwill,-3927312.0,-4704713.0,,
Net Income From Continuing Operation Net Minority Interest,33781506.0,39136831.0,33588955.0,32266664.0
Reconciled Depreciation,13230588.0,12948311.0,,
Reconciled Cost Of Revenue,345459407.0,336450375.0,338065675.0,288702752.0
EBITDA,54353272.0,58853846.0,42377150.0,39663398.0
EBIT,41122684.0,45905535.0,42377150.0,39663398.0
Net Interest Income,-3177868.0,-3961467.0,-1251160.0,-625616.0
Interest Expense,1347528.0,485719.0,1251160.0,625616.0
Normalized Income,37117018.09433,43190734.64383,33588955.0,32266664.0
Net Income From Continuing And Discontinued Operation,33781506.0,39136831.0,33588955.0,32266664.0
Total Expenses,416039600.0,406210237.0,338065675.0,347148974.0
Total Operating Income As Reported,41330416.0,39543953.0,42050184.0,39441760.0
Diluted Average Shares,250000000.0,250000000.0,250000000.0,250000000.0
Basic Average Shares,250000000.0,250000000.0,250000000.0,250000000.0
Diluted EPS,0.14,0.16,0.13,0.13
Basic EPS,0.14,0.16,0.13,0.13
Diluted NI Availto Com Stockholders,33781506.0,39136831.0,33588955.0,32266664.0
Net Income Common Stockholders,33781506.0,39136831.0,33588955.0,32266664.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,33781506.0,39136831.0,33588955.0,32266664.0
Net Income Including Noncontrolling Interests,33781506.0,39136831.0,33588955.0,32266664.0
Net Income Continuous Operations,33781506.0,39136831.0,41125990.0,32266664.0
Tax Provision,5993650.0,6282985.0,7537035.0,6771118.0
Pretax Income,39775156.0,45419816.0,41125990.0,39037782.0
Other Non Operating Income Expenses,1622608.0,190368.0,326966.0,221638.0
Special Income Charges,-3927312.0,-4704713.0,,
Other Special Charges,,-9646962.0,,
Write Off,3927312.0,14351675.0,,
Net Non Operating Interest Income Expense,-3177868.0,-3961467.0,-1251160.0,-625616.0
Total Other Finance Cost,1830340.0,3475748.0,,
Interest Expense Non Operating,1347528.0,485719.0,1251160.0,625616.0
Operating Income,45257728.0,53895628.0,42050184.0,39441760.0
Operating Expense,70580193.0,69759862.0,65888278.0,58446222.0
Other Operating Expenses,852659.0,2390263.0,,
Depreciation And Amortization In Income Statement,4573176.0,4106097.0,,
Amortization,406770.0,327076.0,,
Depreciation Income Statement,4166406.0,3779021.0,,
Selling General And Administration,42796081.0,38245747.0,65888278.0,58446222.0
Selling And Marketing Expense,32470421.0,29562014.0,46090114.0,41017556.0
General And Administrative Expense,10325660.0,8683733.0,19798164.0,17428666.0
Gross Profit,115837921.0,123655490.0,107938462.0,97887982.0
Cost Of Revenue,345459407.0,336450375.0,338065675.0,288702752.0
Total Revenue,461297328.0,460105865.0,446004137.0,386590734.0
Operating Revenue,461297328.0,460105865.0,446004137.0,386590734.0
