,2025-12-31,2024-12-31,2023-12-31
Free Cash Flow,198216148.0,253419387.0,157065472.0
Capital Expenditure,-35735281.0,-15563565.0,-10151033.0
End Cash Position,63100434.0,122414701.0,106343470.0
Beginning Cash Position,122414701.0,106343470.0,164661627.0
Changes In Cash,-59314267.0,16071231.0,-58318157.0
Financing Cash Flow,-142484785.0,-163835836.0,-221113255.0
Interest Paid Cff,-11113475.0,-11434948.0,-7882296.0
Cash Dividends Paid,-118986702.0,-140110985.0,-198346682.0
Investing Cash Flow,-150780911.0,-89075885.0,-4421407.0
Interest Received Cfi,9900359.0,6700959.0,5729626.0
Net Investment Purchase And Sale,-82103544.0,-74060069.0,0.0
Purchase Of Investment,,-74060069.0,0.0
Net Intangibles Purchase And Sale,-1209733.0,-1578350.0,-883246.0
Purchase Of Intangibles,-1209733.0,-1578350.0,-883246.0
Net PPE Purchase And Sale,-34344200.0,-13452782.0,-9267787.0
Sale Of PPE,181348.0,532433.0,0.0
Purchase Of PPE,-34525548.0,-13985215.0,-9267787.0
Operating Cash Flow,233951429.0,268982952.0,167216505.0
Taxes Refund Paid,-14056459.0,-5656091.0,-21987969.0
Change In Working Capital,-20993442.0,25083630.0,-28672944.0
Change In Other Current Assets,-338047.0,-650589.0,1112496.0
Change In Accrued Expense,1796191.0,-1207702.0,-4499770.0
Change In Payable,-2760177.0,8721923.0,-6985870.0
Change In Prepaid Assets,-243407.0,2451362.0,-5122141.0
Change In Inventory,-5070495.0,-967827.0,11760398.0
Change In Receivables,-14377507.0,16736463.0,-24938057.0
Other Non Cash Items,379263.0,4158208.0,2352151.0
Provisionand Write Offof Assets,-276008.0,-216543.0,715965.0
Depreciation And Amortization,55173488.0,53176054.0,54810733.0
Amortization Cash Flow,832092.0,630847.0,33509.0
Depreciation,54341396.0,52545207.0,54777224.0
Pension And Employee Benefit Expense,2786938.0,2480083.0,2477101.0
Gain Loss On Sale Of PPE,276599.0,374020.0,0.0
Net Income From Continuing Operations,211739961.0,186130637.0,157683838.0
