,2023-08-31,2022-08-31,2021-08-31
Free Cash Flow,129964432.0,94547068.0,75938195.0
Repayment Of Debt,-17502618.0,-13429922.0,-5116659.0
Issuance Of Debt,40000000.0,0.0,
Capital Expenditure,-82758422.0,-54267337.0,-9066283.0
End Cash Position,168699723.0,169685730.0,137499269.0
Beginning Cash Position,169685730.0,137499269.0,107519296.0
Changes In Cash,-986007.0,32186461.0,29979973.0
Financing Cash Flow,-62272618.0,-62929922.0,-45522770.0
Interest Paid Cff,,-15100000.0,-6006111.0
Cash Dividends Paid,-51600000.0,-34400000.0,-34400000.0
Common Stock Dividend Paid,-51600000.0,-34400000.0,-34400000.0
Net Issuance Payments Of Debt,22497382.0,-13429922.0,-5116659.0
Net Long Term Debt Issuance,22497382.0,-13429922.0,-5116659.0
Long Term Debt Payments,-17502618.0,-13429922.0,-5116659.0
Long Term Debt Issuance,40000000.0,0.0,
Investing Cash Flow,-151436243.0,-53698022.0,-9501735.0
Interest Received Cfi,1958764.0,569315.0,421575.0
Net Investment Purchase And Sale,,0.0,-857027.0
Purchase Of Investment,,0.0,-857027.0
Net Business Purchase And Sale,-70793107.0,0.0,
Purchase Of Business,-70793107.0,0.0,
Net Intangibles Purchase And Sale,-540000.0,-646900.0,0.0
Purchase Of Intangibles,-540000.0,-646900.0,0.0
Net PPE Purchase And Sale,-82061900.0,-53620437.0,-9066283.0
Sale Of PPE,156522.0,0.0,0.0
Purchase Of PPE,-82218422.0,-53620437.0,-9066283.0
Operating Cash Flow,212722854.0,148814405.0,85004478.0
Taxes Refund Paid,-2521345.0,-3380148.0,-4879506.0
Change In Working Capital,56835600.0,50816240.0,44209172.0
Change In Other Current Assets,79644296.0,54609974.0,47961164.0
Change In Accrued Expense,1684342.0,2143445.0,-5515557.0
Change In Payable,1404652.0,2029163.0,
Change In Prepaid Assets,-24671055.0,-4921001.0,-14575320.0
Change In Inventory,2010093.0,-538696.0,-723866.0
Change In Receivables,-3236728.0,-2506645.0,17062751.0
Other Non Cash Items,9207217.0,6015822.0,4149874.0
Depreciation And Amortization,35304103.0,26666749.0,15870530.0
Amortization Cash Flow,2246916.0,,
Depreciation,33057187.0,26666749.0,15870530.0
Pension And Employee Benefit Expense,6049690.0,4843000.0,4920500.0
Gain Loss On Sale Of PPE,-156522.0,0.0,0.0
Net Income From Continuing Operations,104980036.0,73946709.0,28481006.0
