,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,383780.055835,7067982.32641,21447.256004,842988.839975,
Tax Rate For Calcs,0.134623,0.163027,0.044244,0.05633,
Normalized EBITDA,135330800.0,76432222.0,157117697.0,163996370.0,
Total Unusual Items,2850778.0,43354760.0,484750.0,14965117.0,
Total Unusual Items Excluding Goodwill,2850778.0,43354760.0,484750.0,14965117.0,
Net Income From Continuing Operation Net Minority Interest,58031371.0,37539556.0,98186736.0,129765732.0,
Reconciled Depreciation,59724520.0,54336175.0,43031575.0,33417193.0,
Reconciled Cost Of Revenue,580858518.0,618600307.0,535107092.0,532849991.0,
EBITDA,138181578.0,119786982.0,157602447.0,178961487.0,
EBIT,78457058.0,65450807.0,114570872.0,145544294.0,
Net Interest Income,-15434468.0,-24333766.0,-16166658.0,-11176367.0,
Interest Expense,11398001.0,20599251.0,11838866.0,8032487.0,
Normalized Income,55564373.055835,1252778.32641,97723433.256004,115643603.839975,
Net Income From Continuing And Discontinued Operation,58031371.0,37539556.0,98186736.0,129765732.0,
Total Expenses,684421918.0,714346412.0,621320241.0,623356651.0,
Rent Expense Supplemental,7764818.0,6734125.0,5083669.0,5173510.0,
Total Operating Income As Reported,70388189.0,13470352.0,94132067.0,104574695.0,
Diluted Average Shares,350000000.0,350000000.0,350000000.0,350000000.0,
Basic Average Shares,350000000.0,350000000.0,350000000.0,350000000.0,
Diluted EPS,0.17,0.11,0.28,0.37,
Basic EPS,0.17,0.11,0.28,0.37,
Diluted NI Availto Com Stockholders,58031371.0,37539556.0,98186736.0,129765732.0,
Net Income Common Stockholders,58031371.0,37539556.0,98186736.0,129765732.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,58031371.0,37539556.0,98186736.0,129765732.0,
Net Income Including Noncontrolling Interests,58031371.0,37539556.0,98186736.0,129765732.0,
Net Income Continuous Operations,58031371.0,37539556.0,98186736.0,129765732.0,
Tax Provision,9027686.0,7312000.0,4545270.0,7746075.0,
Pretax Income,67059057.0,44851556.0,102732006.0,137511807.0,
Other Non Operating Income Expenses,5218091.0,8625695.0,19954055.0,17971995.0,
Special Income Charges,2347029.0,43273408.0,0.0,16575982.0,
Other Special Charges,-2347029.0,-43273408.0,,-16575982.0,339.0
Net Non Operating Interest Income Expense,-15434468.0,-24333766.0,-16166658.0,-11176367.0,
Total Other Finance Cost,4036467.0,3734515.0,4327792.0,3143880.0,
Interest Expense Non Operating,11398001.0,20599251.0,11838866.0,8032487.0,
Operating Income,74424656.0,17204867.0,98459859.0,115751062.0,
Operating Expense,103563400.0,95746105.0,86213149.0,90506660.0,
Other Operating Expenses,2181975.0,990002.0,562061.0,819737.0,
Depreciation And Amortization In Income Statement,1318269.0,1085817.0,920637.0,19017029.0,
Amortization,398431.0,393667.0,329617.0,68464.0,
Depreciation Income Statement,919838.0,692150.0,591020.0,18948565.0,
Selling General And Administration,61926865.0,62206579.0,60374580.0,48191163.0,
Selling And Marketing Expense,52253540.0,54608237.0,52812356.0,41947805.0,
General And Administrative Expense,9673325.0,7598342.0,7562224.0,6243358.0,
Rent And Landing Fees,7764818.0,6734125.0,5083669.0,5173510.0,
Gross Profit,177988056.0,112950972.0,184673008.0,206257722.0,
Cost Of Revenue,580858518.0,618600307.0,535107092.0,532849991.0,
Total Revenue,758846574.0,731551279.0,719780100.0,739107713.0,
Operating Revenue,758846574.0,731551279.0,719780100.0,739107713.0,
