,2025-12-31,2024-12-31,2023-12-31
Free Cash Flow,-313880983.0,-328573053.0,-109121900.0
Repayment Of Debt,-850493269.0,-595187500.0,-671897083.0
Issuance Of Debt,1220000000.0,923101250.0,779500000.0
Capital Expenditure,-7935218.0,-5362868.0,-5257338.0
End Cash Position,49464705.0,23791908.0,24787908.0
Beginning Cash Position,23791908.0,24787908.0,26936416.0
Changes In Cash,25672797.0,-996000.0,-2148508.0
Financing Cash Flow,368570197.0,327577053.0,106973392.0
Net Issuance Payments Of Debt,369506731.0,327913750.0,107602917.0
Net Short Term Debt Issuance,,0.0,-250000000.0
Short Term Debt Payments,,0.0,-255000000.0
Short Term Debt Issuance,,0.0,5000000.0
Net Long Term Debt Issuance,369506731.0,327913750.0,357602917.0
Long Term Debt Payments,-850493269.0,-595187500.0,-416897083.0
Long Term Debt Issuance,1220000000.0,923101250.0,774500000.0
Investing Cash Flow,-36951635.0,-5362868.0,-5257338.0
Net Other Investing Changes,-30000000.0,,
Interest Received Cfi,983583.0,0.0,
Net Intangibles Purchase And Sale,-5226256.0,-2962557.0,-3885285.0
Purchase Of Intangibles,-5226256.0,-2962557.0,-3885285.0
Net PPE Purchase And Sale,-2708962.0,-2400311.0,-1372053.0
Purchase Of PPE,-2708962.0,-2400311.0,-1372053.0
Operating Cash Flow,-305945765.0,-323210185.0,-103864562.0
Taxes Refund Paid,-26030673.0,-24413468.0,-22183669.0
Interest Paid Cfo,-90284886.0,-77650812.0,-62989031.0
Change In Working Capital,-725628325.0,-652221821.0,-386757472.0
Change In Payable,24043485.0,337734.0,-10133108.0
Change In Prepaid Assets,14251139.0,-17895362.0,-3270713.0
Change In Receivables,-763922949.0,-634664193.0,-373353651.0
Other Non Cash Items,96071683.0,80054737.0,63264094.0
Depreciation And Amortization,7010146.0,6896388.0,6036327.0
Amortization Cash Flow,3732268.0,3959420.0,3245654.0
Depreciation,3277878.0,2936968.0,2790673.0
Pension And Employee Benefit Expense,2402273.0,1745695.0,2040038.0
Net Income From Continuing Operations,307183993.0,248014347.0,236588008.0
