,2025-12-31,2024-12-31
Ordinary Shares Number,,60500000.0
Share Issued,,60500000.0
Net Debt,546721544.0,528962233.0
Total Debt,631523729.0,630717751.0
Tangible Book Value,517637739.0,582990835.0
Invested Capital,605110331.0,605122388.0
Working Capital,55450051.0,87140425.0
Net Tangible Assets,517637739.0,582990835.0
Capital Lease Obligations,26413398.0,25595363.0
Common Stock Equity,517637739.0,582990835.0
Total Capitalization,1122637739.0,1187990835.0
Total Equity Gross Minority Interest,517637739.0,582990835.0
Stockholders Equity,517637739.0,582990835.0
Total Liabilities Net Minority Interest,657261251.0,658159490.0
Total Non Current Liabilities Net Minority Interest,631413398.0,630595363.0
Long Term Debt And Capital Lease Obligation,631413398.0,630595363.0
Long Term Capital Lease Obligation,26413398.0,25595363.0
Long Term Debt,605000000.0,605000000.0
Current Liabilities,25847853.0,27564127.0
Current Debt And Capital Lease Obligation,110331.0,122388.0
Current Debt,110331.0,122388.0
Payables,23755357.0,25479362.0
Other Payable,6122405.0,2475645.0
Total Tax Payable,1112205.0,4555188.0
Accounts Payable,16520747.0,18448529.0
Total Assets,1174898990.0,1241150325.0
Total Non Current Assets,1093601086.0,1126445773.0
Other Non Current Assets,129432.0,129432.0
Investment Properties,614327685.0,627458757.0
Net PPE,479143969.0,498857584.0
Accumulated Depreciation,-29775992.0,-9641036.0
Gross PPE,508919961.0,508498620.0
Machinery Furniture Equipment,38301073.0,37879732.0
Buildings And Improvements,417504638.0,417504638.0
Land And Improvements,53114250.0,53114250.0
Properties,0.0,0.0
Current Assets,81297904.0,114704552.0
Other Receivables,7923838.0,12949121.0
Accounts Receivable,14985279.0,25595276.0
Allowance For Doubtful Accounts Receivable,-4749004.0,-2650934.0
Gross Accounts Receivable,19734283.0,28246210.0
Cash Cash Equivalents And Short Term Investments,58388787.0,76160155.0
Cash And Cash Equivalents,58388787.0,76160155.0
Cash Equivalents,0.0,50000000.0
Cash Financial,58388787.0,26160155.0
