,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,233930818.0,177777777.0,177777777.0,177777777.0,
Share Issued,233930818.0,177777777.0,177777777.0,177777777.0,
Total Debt,49678586.0,54184707.0,48086536.0,51579247.0,
Tangible Book Value,4127051717.0,2543844599.0,2380832196.0,2197636606.0,
Invested Capital,4127051717.0,2543844599.0,2380832196.0,2197636606.0,
Working Capital,872563631.0,150910926.0,28749099.0,248206319.0,
Net Tangible Assets,4127051717.0,2543844599.0,2380832196.0,2197636606.0,
Capital Lease Obligations,49678586.0,54184707.0,48086536.0,51579247.0,
Common Stock Equity,4127051717.0,2543844599.0,2380832196.0,2197636606.0,
Total Capitalization,4127051717.0,2543844599.0,2380832196.0,2197636606.0,
Total Equity Gross Minority Interest,4127051717.0,2543844599.0,2380832196.0,2197636606.0,
Stockholders Equity,4127051717.0,2543844599.0,2380832196.0,2197636606.0,
Retained Earnings,945447922.0,581365746.0,450786058.0,294744421.0,
Additional Paid In Capital,842295615.0,0.0,,,
Capital Stock,2339308180.0,1777777770.0,1777777770.0,1777777770.0,
Common Stock,2339308180.0,1777777770.0,1777777770.0,1777777770.0,
Total Liabilities Net Minority Interest,313834203.0,365684650.0,411276680.0,400107339.0,
Total Non Current Liabilities Net Minority Interest,58719359.0,60144457.0,54481531.0,56239560.0,
Non Current Pension And Other Postretirement Benefit Plans,16604724.0,13754456.0,12404275.0,10659905.0,
Long Term Debt And Capital Lease Obligation,42114635.0,46390001.0,42077256.0,45579655.0,
Long Term Capital Lease Obligation,42114635.0,46390001.0,42077256.0,45579655.0,
Current Liabilities,255114844.0,305540193.0,356795149.0,343867779.0,
Current Deferred Taxes Liabilities,25724075.0,36633631.0,26880429.0,21033942.0,
Current Debt And Capital Lease Obligation,7563951.0,7794706.0,6009280.0,5999592.0,
Current Capital Lease Obligation,7563951.0,7794706.0,6009280.0,5999592.0,
Pensionand Other Post Retirement Benefit Plans Current,3453000.0,3366000.0,3441000.0,3450000.0,
Current Provisions,14142172.0,24054306.0,15538590.0,14142172.0,
Payables,131225262.0,139253175.0,211048625.0,226833752.0,
Other Payable,24597144.0,33992947.0,23644050.0,36378726.0,
Dividends Payable,77755572.0,76387682.0,74251232.0,73917517.0,
Total Tax Payable,,,,2529918.0,2491803.0
Accounts Payable,28872546.0,28872546.0,113153343.0,116537509.0,
Total Assets,4440885920.0,2909529249.0,2792108876.0,2597743945.0,
Total Non Current Assets,3313207445.0,2453078130.0,2406564628.0,2005669847.0,
Non Current Prepaid Assets,0.0,182481748.0,0.0,,
Investmentin Financial Assets,184479915.0,630000000.0,600986929.0,185986929.0,
Available For Sale Securities,,630000000.0,600986929.0,185986929.0,311624036.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,184479915.0,0.0,,,
Long Term Equity Investment,826875815.0,756399865.0,237264477.0,231347588.0,
Investmentsin Associatesat Cost,826875815.0,756399865.0,237264477.0,231347588.0,
Investment Properties,2273691659.0,854712743.0,1510675002.0,1529571937.0,
Net PPE,28160056.0,29483774.0,57638220.0,58763393.0,
Accumulated Depreciation,-21726015.0,-17482298.0,-16957617.0,-14438468.0,
Gross PPE,49886071.0,46966072.0,74595837.0,73201861.0,
Construction In Progress,2622441.0,3495354.0,3586371.0,3248261.0,
Other Properties,8611973.0,9700753.0,45113224.0,49603946.0,
Machinery Furniture Equipment,36971355.0,32090783.0,25896242.0,20349654.0,
Buildings And Improvements,1350923.0,1349803.0,,,
Land And Improvements,329379.0,329379.0,,,67423998.0
Properties,0.0,0.0,,,0.0
Current Assets,1127678475.0,456451119.0,385544248.0,592074098.0,
Other Current Assets,,,,1246190.0,1255566.0
Assets Held For Sale Current,2002840.0,22475649.0,2247695.0,0.0,
Restricted Cash,,,,,150660.0
Prepaid Assets,2758045.0,4927439.0,4643068.0,6025736.0,
Other Receivables,46472655.0,52216298.0,3784641.0,17908310.0,
Accounts Receivable,19953304.0,35916155.0,59887048.0,73584542.0,
Allowance For Doubtful Accounts Receivable,-47390710.0,-52197860.0,-48376304.0,-39872192.0,
Gross Accounts Receivable,67344014.0,88114015.0,108263352.0,113456734.0,
Cash Cash Equivalents And Short Term Investments,1056491631.0,340915578.0,314981796.0,494555510.0,
Other Short Term Investments,1025000000.0,300000000.0,270000000.0,460000000.0,
Cash And Cash Equivalents,31491631.0,40915578.0,44981796.0,34555510.0,
Cash Financial,31491631.0,40915578.0,44981796.0,34555510.0,
