,2025-12-31,2024-12-31,2023-12-31
Ordinary Shares Number,114400000.0,114400000.0,114400000.0
Share Issued,114400000.0,114400000.0,114400000.0
Net Debt,93252566.0,137946944.0,93984947.0
Total Debt,513365392.0,464895880.0,472075898.0
Tangible Book Value,262121009.0,159345935.0,135957520.0
Invested Capital,410439832.0,307705008.0,243924606.0
Working Capital,-116029753.0,-167566336.0,-163905709.0
Net Tangible Assets,262121009.0,159345935.0,135957520.0
Capital Lease Obligations,373436401.0,321922530.0,369449916.0
Common Stock Equity,270510841.0,164731658.0,141298624.0
Total Capitalization,378041381.0,248762885.0,201975757.0
Total Equity Gross Minority Interest,270510841.0,164731658.0,141298624.0
Stockholders Equity,270510841.0,164731658.0,141298624.0
Retained Earnings,94143323.0,61758198.0,21393941.0
Additional Paid In Capital,61967518.0,-1026540.0,0.0
Capital Stock,114400000.0,104000000.0,104000000.0
Common Stock,114400000.0,104000000.0,104000000.0
Total Liabilities Net Minority Interest,674195901.0,629597737.0,613682374.0
Total Non Current Liabilities Net Minority Interest,466318653.0,389112175.0,416623710.0
Non Current Pension And Other Postretirement Benefit Plans,30122179.0,24676110.0,21825791.0
Non Current Deferred Revenue,663439.0,731953.0,700324.0
Long Term Debt And Capital Lease Obligation,435533035.0,363704112.0,394097595.0
Long Term Capital Lease Obligation,328002495.0,279672885.0,333420462.0
Long Term Debt,107530540.0,84031227.0,60677133.0
Current Liabilities,207877248.0,240485562.0,197058664.0
Current Deferred Taxes Liabilities,1061368.0,1008151.0,802549.0
Current Debt And Capital Lease Obligation,77832357.0,101191768.0,77978303.0
Current Capital Lease Obligation,45433906.0,42249645.0,36029454.0
Current Debt,32398451.0,58942123.0,41948849.0
Pensionand Other Post Retirement Benefit Plans Current,14472495.0,12387389.0,
Payables,11279167.0,27412212.0,29118347.0
Total Tax Payable,637262.0,1315988.0,
Accounts Payable,10641905.0,26096224.0,29118347.0
Total Assets,944706742.0,794329395.0,754980998.0
Total Non Current Assets,852859247.0,721410169.0,721828043.0
Goodwill And Other Intangible Assets,8389832.0,5385723.0,5341104.0
Other Intangible Assets,7452372.0,4448263.0,
Goodwill,937460.0,937460.0,
Net PPE,844469415.0,716024446.0,716486939.0
Accumulated Depreciation,-446130537.0,-385424697.0,
Gross PPE,1290599952.0,1101449143.0,716486939.0
Construction In Progress,86108751.0,61335570.0,
Other Properties,456855206.0,379465622.0,716486939.0
Machinery Furniture Equipment,183131451.0,164088579.0,
Buildings And Improvements,525976744.0,458031572.0,0.0
Land And Improvements,38527800.0,38527800.0,
Properties,0.0,0.0,0.0
Current Assets,91847495.0,72919226.0,33152955.0
Restricted Cash,5310399.0,5443191.0,111330.0
Prepaid Assets,25107772.0,26691416.0,11629474.0
Inventory,8071523.0,9927245.0,8209467.0
Inventories Adjustments Allowances,-563375.0,-521060.0,
Finished Goods,2157310.0,3307616.0,
Raw Materials,6477588.0,7140689.0,
Other Receivables,,2504552.0,265362.0
Accounts Receivable,11991775.0,28769607.0,4407617.0
Allowance For Doubtful Accounts Receivable,-1965172.0,-1965172.0,
Gross Accounts Receivable,13956947.0,30734779.0,
Cash Cash Equivalents And Short Term Investments,46676425.0,5026406.0,8641035.0
Cash And Cash Equivalents,46676425.0,5026406.0,8641035.0
Cash Financial,46676425.0,5026406.0,
