,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-4870.904226,375478.274631,-98538.260994,29245.967219
Tax Rate For Calcs,0.138828,0.126718,0.192367,0.067462
Normalized EBITDA,179502205.0,156666694.0,193154515.0,247450515.0
Total Unusual Items,-35086.0,2963107.0,-512240.0,433516.0
Total Unusual Items Excluding Goodwill,-35086.0,2963107.0,-512240.0,433516.0
Net Income From Continuing Operation Net Minority Interest,47572833.0,38335348.0,57976024.0,115555901.0
Reconciled Depreciation,115577221.0,109712626.0,112389825.0,111370933.0
Reconciled Cost Of Revenue,668345330.0,633604629.0,698651264.0,713538633.0
EBITDA,179467119.0,159629801.0,192642275.0,247884031.0
EBIT,63889898.0,49917175.0,80252450.0,136513098.0
Net Interest Income,-12204133.0,-7639925.0,-10145032.0,-17274003.0
Interest Expense,11002119.0,9815621.0,10189429.0,12915274.0
Interest Income,3463779.0,6961428.0,5331832.0,1349569.0
Normalized Income,47603048.095774,35747719.274631,58389725.739006,115151630.967219
Net Income From Continuing And Discontinued Operation,47572833.0,38335348.0,57976024.0,115555901.0
Total Expenses,899209723.0,858951955.0,925075347.0,957100809.0
Rent Expense Supplemental,13533101.0,11496598.0,16904789.0,17142467.0
Total Operating Income As Reported,65506733.0,51631668.0,81774324.0,141167138.0
Diluted Average Shares,25301500.0,25372500.0,25410000.0,25292137.0
Basic Average Shares,25301500.0,25280933.0,25282357.0,25241836.0
Diluted EPS,1.88,1.51,2.28,4.57
Basic EPS,1.88,1.52,2.29,4.58
Diluted NI Availto Com Stockholders,47572833.0,38335348.0,57976024.0,115555901.0
Net Income Common Stockholders,47572833.0,38335348.0,57976024.0,115555901.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,47572833.0,38335348.0,57976024.0,115555901.0
Minority Interests,2027336.0,3315373.0,1390842.0,296265.0
Net Income Including Noncontrolling Interests,45545497.0,35019975.0,56585182.0,115259636.0
Net Income Continuous Operations,45545497.0,35019975.0,56585182.0,115259636.0
Tax Provision,7342282.0,5081579.0,13477839.0,8338188.0
Pretax Income,52887779.0,40101554.0,70063021.0,123597824.0
Other Non Operating Income Expenses,18859951.0,16055250.0,15706896.0,21942058.0
Special Income Charges,-35086.0,2963107.0,-512240.0,433516.0
Other Special Charges,-99166.0,-317107.0,13891.0,375554.0
Write Off,984283.0,-3446000.0,-528373.0,-809070.0
Impairment Of Capital Assets,-850031.0,800000.0,1026722.0,0.0
Net Non Operating Interest Income Expense,-12204133.0,-7639925.0,-10145032.0,-17274003.0
Total Other Finance Cost,4665793.0,4785732.0,5287435.0,5708298.0
Interest Expense Non Operating,11002119.0,9815621.0,10189429.0,12915274.0
Interest Income Non Operating,3463779.0,6961428.0,5331832.0,1349569.0
Operating Income,46681868.0,32613311.0,66579668.0,118791564.0
Operating Expense,230864393.0,225347326.0,226424083.0,243562176.0
Other Operating Expenses,4108195.0,1532355.0,2258265.0,1803281.0
Depreciation And Amortization In Income Statement,18987743.0,17006815.0,16070064.0,15463659.0
Amortization,3044352.0,2275748.0,1270186.0,944394.0
Depreciation Income Statement,15943391.0,14731067.0,14799878.0,14519265.0
Selling General And Administration,142222146.0,148488110.0,135975262.0,125249076.0
Selling And Marketing Expense,115594290.0,119949285.0,110138430.0,97039485.0
General And Administrative Expense,26627856.0,28538825.0,25836832.0,28209591.0
Rent And Landing Fees,179379.0,499147.0,1395707.0,923069.0
Gross Profit,277546261.0,257960637.0,293003751.0,362353740.0
Cost Of Revenue,668345330.0,633604629.0,698651264.0,713538633.0
Total Revenue,945891591.0,891565266.0,991655015.0,1075892373.0
Operating Revenue,945891591.0,891565266.0,991655015.0,1075892373.0
