,2025-12-31,2024-12-31
Tax Effect Of Unusual Items,-122393.719747,-18275.882189
Tax Rate For Calcs,0.025134,0.025221
Normalized EBITDA,157036422.0,135781405.0
Total Unusual Items,-4869631.0,-724642.0
Total Unusual Items Excluding Goodwill,-4869631.0,-724642.0
Net Income From Continuing Operation Net Minority Interest,41166865.0,36104369.0
Reconciled Depreciation,73911309.0,65810928.0
Reconciled Cost Of Revenue,263766303.0,230737456.0
EBITDA,152166791.0,135056763.0
EBIT,78255482.0,69245835.0
Net Interest Income,-34436026.0,-31447381.0
Interest Expense,36027249.0,32207334.0
Interest Income,10817761.0,7190251.0
Normalized Income,45914102.280253,36810735.117811
Net Income From Continuing And Discontinued Operation,41166865.0,36104369.0
Total Expenses,296964590.0,260175062.0
Rent Expense Supplemental,4345351.0,3511601.0
Total Operating Income As Reported,74361622.0,64399279.0
Diluted Average Shares,108644384.0,114400000.0
Basic Average Shares,108644384.0,114400000.0
Diluted EPS,0.38,0.315598
Basic EPS,0.38,0.315598
Diluted NI Availto Com Stockholders,41166865.0,36104369.0
Net Income Common Stockholders,41166865.0,36104369.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,41166865.0,36104369.0
Net Income Including Noncontrolling Interests,41166865.0,36104369.0
Net Income Continuous Operations,41166865.0,36104369.0
Tax Provision,1061368.0,934132.0
Pretax Income,42228233.0,37038501.0
Other Non Operating Income Expenses,2259480.0,1959630.0
Special Income Charges,-4869631.0,-724642.0
Other Special Charges,4705631.0,724642.0
Write Off,164000.0,0.0
Net Non Operating Interest Income Expense,-34436026.0,-31447381.0
Total Other Finance Cost,9226538.0,6430298.0
Interest Expense Non Operating,36027249.0,32207334.0
Interest Income Non Operating,10817761.0,7190251.0
Operating Income,79274410.0,67250894.0
Operating Expense,33198287.0,29437606.0
Other Operating Expenses,660377.0,668276.0
Depreciation And Amortization In Income Statement,2421316.0,2224844.0
Amortization,886365.0,635619.0
Depreciation Income Statement,1534951.0,1589225.0
Selling General And Administration,10691247.0,7602979.0
Selling And Marketing Expense,8084096.0,5316142.0
General And Administrative Expense,2607151.0,2286837.0
Gross Profit,112472697.0,96688500.0
Cost Of Revenue,263766303.0,230737456.0
Total Revenue,376239000.0,327425956.0
Operating Revenue,376239000.0,327425956.0
