,2025-12-31,2024-12-31,2023-12-31
Tax Effect Of Unusual Items,121244.273286,-240583.574415,-12400.654974
Tax Rate For Calcs,0.058139,0.054015,0.052464
Normalized EBITDA,375347457.0,304746480.0,275907520.0
Total Unusual Items,2085413.0,-4453998.0,-236365.0
Total Unusual Items Excluding Goodwill,2085413.0,-4453998.0,-236365.0
Net Income From Continuing Operation Net Minority Interest,217605506.0,156958529.0,148677253.0
Reconciled Depreciation,131784510.0,120013635.0,106510196.0
Reconciled Cost Of Revenue,380250279.0,340370822.0,259589874.0
EBITDA,377432870.0,300292482.0,275671155.0
EBIT,245648360.0,180278847.0,169160959.0
Net Interest Income,-15733523.0,-18431254.0,-14712370.0
Interest Expense,14610494.0,14358075.0,12251613.0
Interest Income,4834672.0,819375.0,
Normalized Income,215641337.273286,161171943.425585,148901217.345026
Net Income From Continuing And Discontinued Operation,217605506.0,156958529.0,148677253.0
Total Expenses,860087760.0,761626952.0,601779439.0
Rent Expense Supplemental,26844819.0,22854122.0,11871917.0
Total Operating Income As Reported,237456696.0,178512654.0,163686338.0
Diluted Average Shares,25000000.0,25000000.0,25000000.0
Basic Average Shares,25000000.0,25000000.0,25000000.0
Diluted EPS,8.7,6.28,5.94709
Basic EPS,8.7,6.28,5.94709
Diluted NI Availto Com Stockholders,217605506.0,156958529.0,148677253.0
Net Income Common Stockholders,217605506.0,156958529.0,148677253.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,217605506.0,156958529.0,148677253.0
Net Income Including Noncontrolling Interests,217605506.0,156958529.0,148677253.0
Net Income Continuous Operations,217605506.0,156958529.0,148677253.0
Tax Provision,13432360.0,8962243.0,8232093.0
Pretax Income,231037866.0,165920772.0,156909346.0
Other Non Operating Income Expenses,1271579.0,264636.0,936641.0
Special Income Charges,2085413.0,-4453998.0,-236365.0
Other Special Charges,-2085413.0,4453998.0,236365.0
Net Non Operating Interest Income Expense,-15733523.0,-18431254.0,-14712370.0
Total Other Finance Cost,5957701.0,4892554.0,2460757.0
Interest Expense Non Operating,14610494.0,14358075.0,12251613.0
Interest Income Non Operating,4834672.0,819375.0,
Operating Income,243414397.0,188439375.0,170677727.0
Operating Expense,479837481.0,421256130.0,342189565.0
Other Operating Expenses,9171141.0,6847497.0,111100.0
Depreciation And Amortization In Income Statement,125560325.0,114741902.0,102174672.0
Amortization,329185.0,425757.0,861458.0
Depreciation Income Statement,125231140.0,114316145.0,101313214.0
Selling General And Administration,121565192.0,116782592.0,93087144.0
Selling And Marketing Expense,113822101.0,109680485.0,86911567.0
General And Administrative Expense,7743091.0,7102107.0,6175577.0
Rent And Landing Fees,26844819.0,22854122.0,11871917.0
Gross Profit,723251878.0,609695505.0,512867292.0
Cost Of Revenue,380250279.0,340370822.0,259589874.0
Total Revenue,1103502157.0,926002004.0,772457166.0
Operating Revenue,1103502157.0,926002004.0,772457166.0
