,2025-12-31,2024-12-31,2023-12-31
Tax Effect Of Unusual Items,13342581.0,12832731.0,8123294.0
Tax Rate For Calcs,0.203,0.159,0.146
Normalized EBITDA,3411715000.0,2972343000.0,2026775000.0
Total Unusual Items,65727000.0,80709000.0,55639000.0
Total Unusual Items Excluding Goodwill,65727000.0,80709000.0,55639000.0
Net Income From Continuing Operation Net Minority Interest,818016000.0,802498000.0,442097000.0
Reconciled Depreciation,1547120000.0,1268631000.0,797464000.0
Reconciled Cost Of Revenue,4155868000.0,3841373000.0,2620778000.0
EBITDA,3477442000.0,3053052000.0,2082414000.0
EBIT,1930322000.0,1784421000.0,1284950000.0
Net Interest Income,-981414000.0,-885435000.0,-789263000.0
Interest Expense,885394000.0,813575000.0,755571000.0
Interest Income,2302000.0,5380000.0,
Normalized Income,765631581.0,734621731.0,394581294.0
Net Income From Continuing And Discontinued Operation,818016000.0,802498000.0,442097000.0
Total Expenses,4731594000.0,4456143000.0,3027157000.0
Rent Expense Supplemental,53330000.0,75418000.0,66575000.0
Diluted Average Shares,1101446000.0,1097325000.0,753290000.0
Basic Average Shares,1101446000.0,1097325000.0,753290000.0
Diluted EPS,0.74,0.73,0.59
Basic EPS,0.74,0.73,0.59
Diluted NI Availto Com Stockholders,818016000.0,802498000.0,442097000.0
Net Income Common Stockholders,818016000.0,802498000.0,442097000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,818016000.0,802498000.0,442097000.0
Minority Interests,-14845000.0,-13697000.0,-9981000.0
Net Income Including Noncontrolling Interests,832861000.0,816195000.0,452078000.0
Net Income Continuous Operations,832861000.0,816195000.0,452078000.0
Tax Provision,212067000.0,154651000.0,77301000.0
Pretax Income,1044928000.0,970846000.0,529379000.0
Other Non Operating Income Expenses,3250000.0,32693000.0,-41743000.0
Special Income Charges,-58016000.0,1358000.0,-15980000.0
Other Special Charges,,,15980000.0
Write Off,,,5023587.0
Restructuring And Mergern Acquisition,58016000.0,-1358000.0,0.0
Net Non Operating Interest Income Expense,-981414000.0,-885435000.0,-789263000.0
Total Other Finance Cost,98322000.0,77240000.0,33692000.0
Interest Expense Non Operating,885394000.0,813575000.0,755571000.0
Interest Income Non Operating,2302000.0,5380000.0,
Operating Income,1957365000.0,1742879000.0,1304746000.0
Operating Expense,575726000.0,614770000.0,406379000.0
Other Operating Expenses,873000.0,30448000.0,22487420.0
Depreciation And Amortization In Income Statement,19543000.0,16500000.0,12756000.0
Depreciation Income Statement,19543000.0,16500000.0,12756000.0
Selling General And Administration,136048000.0,114286000.0,107020000.0
General And Administrative Expense,136048000.0,114286000.0,107020000.0
Rent And Landing Fees,2237000.0,2396000.0,3083000.0
Gross Profit,2533091000.0,2357649000.0,1711125000.0
Cost Of Revenue,4155868000.0,3841373000.0,2620778000.0
Total Revenue,6688959000.0,6199022000.0,4331903000.0
Operating Revenue,6688959000.0,6199022000.0,4331903000.0
