,2025-12-31,2024-12-31
Tax Effect Of Unusual Items,137452.267025,0.0
Tax Rate For Calcs,0.025446,0.025847
Normalized EBITDA,431298454.0,482517199.0
Total Unusual Items,5401742.0,0.0
Total Unusual Items Excluding Goodwill,5401742.0,0.0
Net Income From Continuing Operation Net Minority Interest,400155751.0,443902418.0
Reconciled Depreciation,19647751.0,20071951.0
Reconciled Cost Of Revenue,219356803.0,178258236.0
EBITDA,436700196.0,482517199.0
EBIT,417052445.0,462445248.0
Net Interest Income,-6448501.0,-6764645.0
Interest Expense,6448501.0,6764645.0
Normalized Income,394891461.267025,443902418.0
Net Income From Continuing And Discontinued Operation,400155751.0,443902418.0
Total Expenses,352373660.0,323927402.0
Total Operating Income As Reported,528842256.0,517702312.0
Diluted Average Shares,243392778.0,249735195.0
Basic Average Shares,243392778.0,249735195.0
Diluted EPS,1.64,1.777492
Basic EPS,1.64,1.777492
Diluted NI Availto Com Stockholders,400155751.0,443902418.0
Net Income Common Stockholders,400155751.0,443902418.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,400155751.0,443902418.0
Net Income Including Noncontrolling Interests,400155751.0,443902418.0
Net Income Continuous Operations,400155751.0,443902418.0
Tax Provision,10448193.0,11778185.0
Pretax Income,410603944.0,455680603.0
Other Non Operating Income Expenses,-97570016.0,-108591049.0
Special Income Charges,5401742.0,0.0
Other Special Charges,-5401742.0,
Net Non Operating Interest Income Expense,-6448501.0,-6764645.0
Interest Expense Non Operating,6448501.0,6764645.0
Operating Income,633673360.0,633585921.0
Operating Expense,133016857.0,145669166.0
Other Operating Expenses,13386050.0,12942379.0
Depreciation And Amortization In Income Statement,19647751.0,20071951.0
Amortization,6989667.0,7025985.0
Depreciation Income Statement,12658084.0,13045966.0
Selling General And Administration,136601335.0,133889849.0
Selling And Marketing Expense,19454063.0,7451610.0
General And Administrative Expense,117147272.0,126438239.0
Gross Profit,766690217.0,779255087.0
Cost Of Revenue,219356803.0,178258236.0
Total Revenue,986047020.0,957513323.0
Operating Revenue,986047020.0,957513323.0
