,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,,,,165406.0
Ordinary Shares Number,23520000.0,23520000.0,23520000.0,23354594.0
Share Issued,23520000.0,23520000.0,23520000.0,23520000.0
Net Debt,542910000.0,498475000.0,462732000.0,505792000.0
Total Debt,561010000.0,526044000.0,488763000.0,527441000.0
Tangible Book Value,244123000.0,229476000.0,385976000.0,349811000.0
Invested Capital,790080000.0,742397000.0,858026000.0,865867000.0
Working Capital,-543675000.0,-200397000.0,-29059000.0,-51145000.0
Net Tangible Assets,244123000.0,229476000.0,385976000.0,349811000.0
Capital Lease Obligations,15053000.0,13123000.0,16713000.0,11385000.0
Common Stock Equity,244123000.0,229476000.0,385976000.0,349811000.0
Total Capitalization,277934000.0,523349000.0,767252000.0,812715000.0
Total Equity Gross Minority Interest,244123000.0,229476000.0,385976000.0,349811000.0
Stockholders Equity,244123000.0,229476000.0,385976000.0,349811000.0
Treasury Stock,,,0.0,0.0
Retained Earnings,5770000.0,-5949000.0,150936000.0,117622000.0
Capital Stock,235200000.0,235200000.0,235200000.0,235200000.0
Common Stock,235200000.0,235200000.0,235200000.0,235200000.0
Total Liabilities Net Minority Interest,855007000.0,777935000.0,747111000.0,820671000.0
Total Non Current Liabilities Net Minority Interest,86920000.0,340632000.0,428897000.0,506646000.0
Non Current Pension And Other Postretirement Benefit Plans,35265000.0,35839000.0,34968000.0,33441000.0
Tradeand Other Payables Non Current,7808000.0,,,
Long Term Debt And Capital Lease Obligation,43847000.0,304793000.0,393929000.0,473205000.0
Long Term Capital Lease Obligation,10036000.0,10920000.0,12653000.0,10301000.0
Long Term Debt,33811000.0,293873000.0,381276000.0,462904000.0
Current Liabilities,768087000.0,437303000.0,318214000.0,314025000.0
Other Current Liabilities,11339000.0,13894000.0,19543000.0,16758000.0
Current Deferred Taxes Liabilities,14006000.0,18236000.0,7659000.0,10146000.0
Current Debt And Capital Lease Obligation,517163000.0,221251000.0,94834000.0,54236000.0
Current Capital Lease Obligation,5017000.0,2203000.0,4060000.0,1084000.0
Current Debt,512146000.0,219048000.0,90774000.0,53152000.0
Pensionand Other Post Retirement Benefit Plans Current,4203000.0,4423000.0,6676000.0,5472000.0
Payables,202634000.0,155646000.0,167694000.0,204814000.0
Accounts Payable,202634000.0,155646000.0,167694000.0,204814000.0
Total Assets,1099130000.0,1007411000.0,1133087000.0,1170482000.0
Total Non Current Assets,874718000.0,770505000.0,843932000.0,907602000.0
Defined Pension Benefit,,,,115196000.0
Non Current Prepaid Assets,67652000.0,89824000.0,103891000.0,115196000.0
Non Current Deferred Assets,30582000.0,31348000.0,34180000.0,35744000.0
Investmentin Financial Assets,,,0.0,0.0
Investment Properties,62480000.0,64691000.0,66903000.0,69115000.0
Net PPE,714004000.0,584642000.0,638958000.0,687547000.0
Accumulated Depreciation,-1527313000.0,-1649583000.0,-1604946000.0,-1550250000.0
Gross PPE,2241317000.0,2234225000.0,2243904000.0,2237797000.0
Construction In Progress,32636000.0,27899000.0,28276000.0,28654000.0
Other Properties,5374000.0,2259000.0,4833000.0,651000.0
Machinery Furniture Equipment,2127152000.0,2119423000.0,2122987000.0,2119353000.0
Buildings And Improvements,68319000.0,75483000.0,77356000.0,79402000.0
Land And Improvements,7836000.0,9161000.0,10452000.0,9737000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,224412000.0,236906000.0,289155000.0,262880000.0
Prepaid Assets,23071000.0,26927000.0,19758000.0,9663000.0
Inventory,102784000.0,113586000.0,128078000.0,107120000.0
Inventories Adjustments Allowances,-7878000.0,-11605000.0,-8613000.0,-14220000.0
Other Inventories,16258000.0,14407000.0,13895000.0,9818000.0
Finished Goods,22450000.0,27622000.0,36334000.0,49034000.0
Work In Process,24937000.0,22999000.0,23686000.0,1754000.0
Raw Materials,47017000.0,60163000.0,62776000.0,60734000.0
Other Receivables,3232000.0,3424000.0,8745000.0,7927000.0
Taxes Receivable,12658000.0,2011000.0,11429000.0,8898000.0
Accounts Receivable,79620000.0,76512000.0,111827000.0,119008000.0
Allowance For Doubtful Accounts Receivable,-2415000.0,-7806000.0,-1332000.0,-1748000.0
Gross Accounts Receivable,82035000.0,84318000.0,113159000.0,120756000.0
Cash Cash Equivalents And Short Term Investments,3047000.0,14446000.0,9318000.0,10264000.0
Cash And Cash Equivalents,3047000.0,14446000.0,9318000.0,10264000.0
Cash Equivalents,0.0,343000.0,333000.0,332000.0
Cash Financial,3047000.0,14103000.0,8985000.0,9932000.0
