,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,118000000.0,118000000.0,118000000.0,118000000.0,
Share Issued,118000000.0,118000000.0,118000000.0,118000000.0,
Net Debt,643895372.0,253610725.0,40927617.0,,
Total Debt,660891328.0,263954343.0,62073457.0,7326748.0,
Tangible Book Value,773413864.0,835720617.0,865350740.0,905661150.0,
Invested Capital,1428085860.0,1093069908.0,920450740.0,905661150.0,
Working Capital,13782399.0,24521622.0,34636215.0,27510571.0,
Net Tangible Assets,773413864.0,835720617.0,865350740.0,905661150.0,
Capital Lease Obligations,6219332.0,6605052.0,6973457.0,7326748.0,
Common Stock Equity,773413864.0,835720617.0,865350740.0,905661150.0,
Total Capitalization,1428085860.0,1093069908.0,920450740.0,905661150.0,
Total Equity Gross Minority Interest,773413864.0,835720617.0,865350740.0,905661150.0,
Stockholders Equity,773413864.0,835720617.0,865350740.0,905661150.0,
Total Liabilities Net Minority Interest,687378635.0,319008288.0,79027727.0,17281497.0,
Total Non Current Liabilities Net Minority Interest,660241328.0,263304344.0,61423457.0,6676748.0,
Other Non Current Liabilities,,1.0,,,
Long Term Debt And Capital Lease Obligation,660241328.0,263304343.0,61423457.0,6676748.0,
Long Term Capital Lease Obligation,5569332.0,5955052.0,6323457.0,6676748.0,
Long Term Debt,654671996.0,257349291.0,55100000.0,0.0,
Current Liabilities,27137307.0,55703944.0,17604270.0,10604749.0,
Other Current Liabilities,,1079642.0,,,
Current Deferred Taxes Liabilities,,997084.0,997084.0,1178861.0,997084.0
Current Debt And Capital Lease Obligation,650000.0,650000.0,650000.0,650000.0,
Current Capital Lease Obligation,650000.0,650000.0,650000.0,650000.0,
Payables,4994943.0,7384757.0,1316370.0,773503.0,
Other Payable,3904816.0,2350540.0,166389.0,120828.0,
Dividends Payable,,82558.0,100086.0,100086.0,2301584.0
Total Tax Payable,1090127.0,5034217.0,1049895.0,552589.0,
Total Assets,1460792499.0,1154728905.0,944378467.0,922942647.0,
Total Non Current Assets,1419872793.0,1074503339.0,892137982.0,884827327.0,
Investment Properties,1419872793.0,1074503339.0,892137982.0,884827327.0,
Current Assets,40919706.0,80225566.0,52240485.0,38115320.0,
Prepaid Assets,149096.0,0.0,68357.0,43317.0,
Other Receivables,,2793441.0,4269721.0,3842846.0,3039089.0
Taxes Receivable,0.0,1467685.0,1467685.0,9047230.0,
Accounts Receivable,3720717.0,1781131.0,4808912.0,3264812.0,
Allowance For Doubtful Accounts Receivable,-26428152.0,-41650320.0,-27278124.0,-49788794.0,
Gross Accounts Receivable,30148869.0,43431451.0,32087036.0,53053606.0,
Cash Cash Equivalents And Short Term Investments,37049893.0,74183309.0,41625810.0,21917115.0,
Other Short Term Investments,26273269.0,70444743.0,27453427.0,15000000.0,
Cash And Cash Equivalents,10776624.0,3738566.0,14172383.0,6917115.0,
Cash Financial,10776624.0,3738566.0,14172383.0,6917115.0,
