,2025-12-31,2024-12-31
Ordinary Shares Number,115500000.0,115500000.0
Share Issued,115500000.0,115500000.0
Net Debt,,24324165.0
Total Debt,58788280.0,86441044.0
Tangible Book Value,367075969.0,184662575.0
Invested Capital,380431061.0,260159051.0
Working Capital,255068269.0,104467707.0
Net Tangible Assets,367075969.0,184662575.0
Capital Lease Obligations,58788280.0,12140449.0
Common Stock Equity,380431061.0,185858456.0
Total Capitalization,380431061.0,193753199.0
Total Equity Gross Minority Interest,380431061.0,185858456.0
Stockholders Equity,380431061.0,185858456.0
Retained Earnings,79725115.0,75539556.0
Additional Paid In Capital,185205946.0,0.0
Capital Stock,115500000.0,110000000.0
Common Stock,115500000.0,110000000.0
Total Liabilities Net Minority Interest,271879237.0,344320424.0
Total Non Current Liabilities Net Minority Interest,49426549.0,23234463.0
Non Current Pension And Other Postretirement Benefit Plans,7216667.0,6893215.0
Long Term Debt And Capital Lease Obligation,42209882.0,16341248.0
Long Term Capital Lease Obligation,42209882.0,8446505.0
Long Term Debt,0.0,7894743.0
Current Liabilities,222452688.0,321085961.0
Other Current Liabilities,2640417.0,2609405.0
Current Deferred Taxes Liabilities,6948502.0,4037446.0
Current Debt And Capital Lease Obligation,16578398.0,70099796.0
Current Capital Lease Obligation,16578398.0,3693944.0
Current Debt,0.0,66405852.0
Payables,171609264.0,223989451.0
Other Payable,9809511.0,9095213.0
Total Tax Payable,3196732.0,4231071.0
Accounts Payable,158603021.0,210663167.0
Total Assets,652310298.0,530178880.0
Total Non Current Assets,174789341.0,104625212.0
Goodwill And Other Intangible Assets,13355092.0,1195881.0
Other Intangible Assets,13355092.0,1195881.0
Net PPE,161434249.0,103429331.0
Accumulated Depreciation,-32254649.0,-18702018.0
Gross PPE,193688898.0,122131349.0
Construction In Progress,5389593.0,21849759.0
Other Properties,25608435.0,3273573.0
Machinery Furniture Equipment,16602787.0,13831959.0
Buildings And Improvements,110637638.0,47725613.0
Land And Improvements,35450445.0,35450445.0
Properties,0.0,0.0
Current Assets,477520957.0,425553668.0
Current Deferred Assets,0.0,1794053.0
Prepaid Assets,65071149.0,65587896.0
Inventory,252150547.0,254540000.0
Inventories Adjustments Allowances,-13982828.0,-8031965.0
Other Inventories,12782821.0,11885275.0
Finished Goods,253350554.0,250686690.0
Other Receivables,3650659.0,19339813.0
Accounts Receivable,21346203.0,34315476.0
Allowance For Doubtful Accounts Receivable,-2770212.0,-2837742.0
Gross Accounts Receivable,24116415.0,37153218.0
Cash Cash Equivalents And Short Term Investments,135302399.0,49976430.0
Cash And Cash Equivalents,135302399.0,49976430.0
Cash Equivalents,30000000.0,0.0
Cash Financial,105302399.0,49976430.0
