,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,3839875.13602,18339.742798,22050.782175,17776.733852
Tax Rate For Calcs,0.106127,0.103614,0.103041,0.107089
Total Unusual Items,36182000.0,177000.0,214000.0,166000.0
Total Unusual Items Excluding Goodwill,36182000.0,177000.0,214000.0,166000.0
Net Income From Continuing Operation Net Minority Interest,5353419000.0,4544071000.0,4222733000.0,3575130000.0
Reconciled Depreciation,332026000.0,299213000.0,250658000.0,221428000.0
Normalized Income,5321076875.13602,4543912339.742798,4222541050.782175,3574981776.733852
Net Income From Continuing And Discontinued Operation,5353419000.0,4544071000.0,4222733000.0,3575130000.0
Diluted Average Shares,2500000000.0,2500000000.0,2500000000.0,2488888839.0
Basic Average Shares,2500000000.0,2500000000.0,2500000000.0,2488888839.0
Diluted EPS,1.97,1.72,1.61,1.345179
Basic EPS,1.97,1.72,1.61,1.345179
Diluted NI Availto Com Stockholders,5353419000.0,4544071000.0,4222733000.0,3575130000.0
Net Income Common Stockholders,5353419000.0,4544071000.0,4222733000.0,3575130000.0
Net Income,5353419000.0,4544071000.0,4222733000.0,3575130000.0
Net Income Including Noncontrolling Interests,5353419000.0,4544071000.0,4222733000.0,3575130000.0
Net Income Continuous Operations,5353419000.0,4544071000.0,4222733000.0,3575130000.0
Tax Provision,635594000.0,525255000.0,485100000.0,428773000.0
Pretax Income,5989013000.0,5069326000.0,4707833000.0,4003903000.0
Special Income Charges,36182000.0,177000.0,214000.0,166000.0
Other Special Charges,-36182000.0,-177000.0,-214000.0,-166000.0
Gain On Sale Of Security,8809891000.0,7910650000.0,7818937000.0,6430077000.0
Operating Expense,3559121000.0,3408686000.0,3021706000.0,2653575000.0
Other Operating Expenses,943838000.0,796589000.0,634887000.0,609641000.0
Depreciation And Amortization In Income Statement,332026000.0,299213000.0,250658000.0,221428000.0
Depreciation Income Statement,332026000.0,299213000.0,250658000.0,221428000.0
Selling General And Administration,236849000.0,219304000.0,176919000.0,141428000.0
General And Administrative Expense,236849000.0,219304000.0,176919000.0,141428000.0
Insurance And Claims,99272000.0,135599000.0,150195000.0,112996000.0
Rent And Landing Fees,71286000.0,74734000.0,67464000.0,73122000.0
Total Revenue,10485949000.0,9621734000.0,9398142000.0,8021256000.0
Operating Revenue,10485949000.0,9621734000.0,9398142000.0,8021256000.0
