,2025-12-31,2024-12-31,2023-12-31
Tax Effect Of Unusual Items,-503259.815919,0.0,-898285.488782
Tax Rate For Calcs,0.082807,0.141879,0.103282
Normalized EBITDA,295477216.0,125395116.0,73317602.0
Total Unusual Items,-6077535.0,0.0,-8697364.0
Total Unusual Items Excluding Goodwill,-6077535.0,0.0,-8697364.0
Net Income From Continuing Operation Net Minority Interest,246806413.0,94727797.0,45952326.0
Reconciled Depreciation,19571164.0,14734599.0,13101637.0
Reconciled Cost Of Revenue,188345532.0,120187679.0,107837762.0
EBITDA,289399681.0,125395116.0,64620238.0
EBIT,269828517.0,110660517.0,51518601.0
Net Interest Income,16098309.0,9741293.0,196695.0
Interest Expense,739790.0,270776.0,273559.0
Interest Income,17452761.0,10263942.0,518379.0
Normalized Income,252380688.184081,94727797.0,53751404.511218
Net Income From Continuing And Discontinued Operation,246806413.0,94727797.0,45952326.0
Total Expenses,394594384.0,252019450.0,196500636.0
Rent Expense Supplemental,583813.0,329866.0,346689.0
Total Operating Income As Reported,251412351.0,98847850.0,50532155.0
Diluted Average Shares,75800000.0,73555464.0,70500000.0
Basic Average Shares,75800000.0,73555464.0,70500000.0
Diluted EPS,3.26,1.29,0.65
Basic EPS,3.26,1.29,0.65
Diluted NI Availto Com Stockholders,246806413.0,94727797.0,45952326.0
Net Income Common Stockholders,246806413.0,94727797.0,45952326.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,246806413.0,94727797.0,45952326.0
Net Income Including Noncontrolling Interests,246806413.0,94727797.0,45952326.0
Net Income Continuous Operations,246806413.0,94727797.0,45952326.0
Tax Provision,22282314.0,15661944.0,5292716.0
Pretax Income,269088727.0,110389741.0,51245042.0
Other Non Operating Income Expenses,283479.0,417747.0,12192.0
Special Income Charges,-6077535.0,0.0,-8697364.0
Write Off,,0.0,8461961.0
Impairment Of Capital Assets,6077535.0,0.0,235403.0
Net Non Operating Interest Income Expense,16098309.0,9741293.0,196695.0
Total Other Finance Cost,614662.0,251873.0,48125.0
Interest Expense Non Operating,739790.0,270776.0,273559.0
Interest Income Non Operating,17452761.0,10263942.0,518379.0
Operating Income,258657849.0,106310450.0,59733519.0
Operating Expense,206248852.0,131831771.0,88662874.0
Other Operating Expenses,1015542.0,12639729.0,2897908.0
Depreciation And Amortization In Income Statement,6760293.0,6200137.0,5057891.0
Amortization,47921.0,54625.0,72602.0
Depreciation Income Statement,6712372.0,6145512.0,4985289.0
Research And Development,5000000.0,0.0,
Selling General And Administration,125033972.0,63345163.0,33932031.0
Selling And Marketing Expense,107729015.0,46964908.0,18227721.0
General And Administrative Expense,17304957.0,16380255.0,15704310.0
Rent And Landing Fees,583813.0,329866.0,346689.0
Gross Profit,464906701.0,238142221.0,148396393.0
Cost Of Revenue,188345532.0,120187679.0,107837762.0
Total Revenue,653252233.0,358329900.0,256234155.0
Operating Revenue,653252233.0,358329900.0,256234155.0
