,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-20325058.763036,6499308.864053,8344370.329148,15186083.923914,
Tax Rate For Calcs,0.02626,0.026569,0.032928,0.026684,
Normalized EBITDA,42578825000.0,32692980000.0,33277645000.0,37124456000.0,
Total Unusual Items,-773989000.0,244622000.0,253412000.0,569104000.0,
Total Unusual Items Excluding Goodwill,-773989000.0,244622000.0,253412000.0,569104000.0,
Net Income From Continuing Operation Net Minority Interest,12974811000.0,6866943000.0,10249299000.0,15196402000.0,
Reconciled Depreciation,22528651000.0,20840312000.0,18971483000.0,19338641000.0,
Reconciled Cost Of Revenue,81431855000.0,71179368000.0,59808297000.0,52319607000.0,
EBITDA,41804836000.0,32937602000.0,33531057000.0,37693560000.0,
EBIT,19276185000.0,12097290000.0,14559574000.0,18354919000.0,
Net Interest Income,-5830914000.0,-4849610000.0,-3651034000.0,-2680665000.0,
Interest Expense,5951465000.0,5042921000.0,3961294000.0,2741896000.0,
Interest Income,120551000.0,193311000.0,310260000.0,61231000.0,
Normalized Income,13728474941.236963,6628820308.864053,10004231370.329147,14642484083.923914,
Net Income From Continuing And Discontinued Operation,12974811000.0,6866943000.0,10249299000.0,15135224000.0,
Total Expenses,83046556000.0,78316546000.0,62062589000.0,55180332000.0,
Total Operating Income As Reported,19080807000.0,11769916000.0,14165641000.0,17985939000.0,
Diluted Average Shares,4166594000.0,4166594000.0,4166594000.0,4166594000.0,
Basic Average Shares,4166594000.0,4166594000.0,4166594000.0,4166594000.0,
Diluted EPS,0.96,-0.46,0.62,1.79,
Basic EPS,0.96,-0.46,0.62,1.79,
Diluted NI Availto Com Stockholders,4017223000.0,-1925098000.0,2587923000.0,7473848000.0,
Net Income Common Stockholders,4017223000.0,-1925098000.0,2587923000.0,7473848000.0,
Otherunder Preferred Stock Dividend,8957588000.0,8792041000.0,7661376000.0,7661376000.0,
Net Income,12974811000.0,6866943000.0,10249299000.0,15135224000.0,
Net Income Including Noncontrolling Interests,12974811000.0,6866943000.0,10249299000.0,15135224000.0,
Net Income Discontinuous Operations,,,0.0,-61178000.0,-145393000.0
Net Income Continuous Operations,12974811000.0,6866943000.0,10249299000.0,15196402000.0,
Tax Provision,349909000.0,187426000.0,348981000.0,416621000.0,
Pretax Income,13324720000.0,7054369000.0,10598280000.0,15613023000.0,
Other Non Operating Income Expenses,643965000.0,1132342000.0,596713000.0,472868000.0,
Special Income Charges,-773989000.0,244622000.0,253412000.0,569104000.0,
Other Special Charges,27248000.0,-9537000.0,-103544000.0,46576000.0,
Write Off,746741000.0,-235085000.0,-149868000.0,,
Impairment Of Capital Assets,,,0.0,-615680000.0,863438000.0
Net Non Operating Interest Income Expense,-5830914000.0,-4849610000.0,-3651034000.0,-2680665000.0,
Total Other Finance Cost,,,,162050000.0,110414000.0
Interest Expense Non Operating,5951465000.0,5042921000.0,3961294000.0,2741896000.0,
Interest Income Non Operating,120551000.0,193311000.0,310260000.0,61231000.0,
Operating Income,19171226000.0,10349095000.0,13267084000.0,16899092000.0,
Operating Expense,1614701000.0,7137178000.0,2254292000.0,2860725000.0,
Other Operating Expenses,,5687333000.0,-149868000.0,1378475000.0,1777000000.0
Depreciation And Amortization In Income Statement,544100000.0,437428000.0,402681000.0,425640000.0,
Depreciation Income Statement,544100000.0,437428000.0,402681000.0,425640000.0,
Research And Development,75717000.0,8421000.0,8163000.0,12290000.0,
Selling General And Administration,670170000.0,468091000.0,575301000.0,526731000.0,
General And Administrative Expense,670170000.0,468091000.0,575301000.0,526731000.0,
Gross Profit,20785927000.0,17486273000.0,15521376000.0,19759817000.0,
Cost Of Revenue,81431855000.0,71179368000.0,59808297000.0,52319607000.0,
Total Revenue,102217782000.0,88665641000.0,75329673000.0,72079424000.0,
Operating Revenue,102217782000.0,88665641000.0,75329673000.0,72079424000.0,
