,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,7202513.0,-73760532.0,91971933.0,276276035.0
Repayment Of Debt,-42233290.0,-110586016.0,0.0,-771385647.0
Issuance Of Debt,0.0,77721034.0,0.0,455000000.0
Capital Expenditure,-33885282.0,-36546897.0,-59693284.0,-39971222.0
End Cash Position,61649364.0,111189323.0,116384563.0,150233163.0
Other Cash Adjustment Outside Changein Cash,,,2.0,
Beginning Cash Position,111189323.0,116384563.0,150233163.0,80239057.0
Changes In Cash,-49539959.0,-5195240.0,-33848600.0,69994106.0
Financing Cash Flow,-45379403.0,-35125514.0,-2114078.0,-319945437.0
Net Issuance Payments Of Debt,-42233290.0,-32864982.0,0.0,-316385647.0
Net Short Term Debt Issuance,-32863384.0,-62341729.0,0.0,
Short Term Debt Payments,-32863384.0,-62341729.0,0.0,
Net Long Term Debt Issuance,-9369906.0,29476747.0,0.0,-316385647.0
Long Term Debt Payments,-9369906.0,-48244287.0,0.0,-771385647.0
Long Term Debt Issuance,0.0,77721034.0,0.0,455000000.0
Investing Cash Flow,-45248351.0,67143909.0,-183399739.0,73692286.0
Net Other Investing Changes,-15224807.0,-34239247.0,,
Interest Received Cfi,3861738.0,11379535.0,9003545.0,4663508.0
Net Investment Purchase And Sale,0.0,126400000.0,-126400000.0,109000000.0
Net Business Purchase And Sale,0.0,150518.0,-6310000.0,0.0
Sale Of Business,0.0,150518.0,0.0,
Purchase Of Business,,0.0,-6310000.0,0.0
Net Intangibles Purchase And Sale,0.0,-22938.0,-69375.0,-1215218.0
Purchase Of Intangibles,0.0,-22938.0,-69375.0,-1215218.0
Net PPE Purchase And Sale,-33885282.0,-36523959.0,-59623909.0,-38756004.0
Purchase Of PPE,-33885282.0,-36523959.0,-59623909.0,-38756004.0
Operating Cash Flow,41087795.0,-37213635.0,151665217.0,316247257.0
Taxes Refund Paid,-7740233.0,-15097123.0,-5710199.0,-12500082.0
Interest Paid Cfo,-23973592.0,-40821841.0,-26884313.0,-30396171.0
Change In Working Capital,120662390.0,-5142068.0,131031287.0,-3048816.0
Change In Accrued Expense,36758946.0,139988468.0,-5133962.0,7929650.0
Change In Payable,21151253.0,3016252.0,23685062.0,-1427630.0
Change In Prepaid Assets,1857225.0,-121897256.0,6228476.0,-40213113.0
Change In Inventory,26992836.0,-21872900.0,39792081.0,-42031463.0
Change In Receivables,33902130.0,-4376632.0,66459630.0,72693740.0
Other Non Cash Items,45933620.0,40852126.0,18917241.0,30003055.0
Provisionand Write Offof Assets,6803941.0,23307061.0,9617916.0,5787501.0
Depreciation And Amortization,103188219.0,113974473.0,109714906.0,110955572.0
Amortization Cash Flow,2247177.0,2607854.0,1949113.0,1778053.0
Depreciation,100941042.0,111366619.0,107765793.0,109177519.0
Pension And Employee Benefit Expense,11257546.0,10788505.0,8675873.0,7273155.0
Gain Loss On Sale Of PPE,843797.0,328828.0,1879174.0,136036.0
Net Income From Continuing Operations,-546592047.0,-287974380.0,-165126197.0,214386914.0
