,2025-12-31,2024-12-31
Ordinary Shares Number,16000000.0,16000000.0
Share Issued,16000000.0,16000000.0
Total Debt,110279109.0,109674363.0
Tangible Book Value,291493110.0,312821728.0
Invested Capital,291807654.0,313183791.0
Working Capital,203454652.0,217560836.0
Net Tangible Assets,291493110.0,312821728.0
Capital Lease Obligations,110263792.0,109672945.0
Common Stock Equity,291792337.0,313182373.0
Total Capitalization,291792337.0,313182373.0
Total Equity Gross Minority Interest,295043916.0,314219066.0
Minority Interest,3251579.0,1036693.0
Stockholders Equity,291792337.0,313182373.0
Retained Earnings,131797875.0,153220461.0
Capital Stock,160000000.0,160000000.0
Common Stock,160000000.0,160000000.0
Total Liabilities Net Minority Interest,188368727.0,178832209.0
Total Non Current Liabilities Net Minority Interest,112126860.0,114049524.0
Non Current Pension And Other Postretirement Benefit Plans,20864858.0,18049076.0
Long Term Debt And Capital Lease Obligation,91262002.0,96000448.0
Long Term Capital Lease Obligation,91262002.0,96000448.0
Current Liabilities,76241867.0,64782685.0
Other Current Liabilities,968318.0,1032595.0
Current Deferred Taxes Liabilities,6019090.0,5521007.0
Current Debt And Capital Lease Obligation,19017107.0,13673915.0
Current Capital Lease Obligation,19001790.0,13672497.0
Current Debt,15317.0,1418.0
Current Provisions,1165890.0,1165890.0
Payables,22763090.0,19732795.0
Other Payable,3564340.0,5647005.0
Total Tax Payable,2735001.0,2977460.0
Accounts Payable,16463749.0,11108330.0
Total Assets,483412643.0,493051275.0
Total Non Current Assets,203716124.0,210707754.0
Goodwill And Other Intangible Assets,299227.0,360645.0
Other Intangible Assets,299227.0,360645.0
Net PPE,203416897.0,210347109.0
Accumulated Depreciation,-129071261.0,-102143174.0
Gross PPE,332488158.0,312490283.0
Construction In Progress,4005098.0,2285230.0
Machinery Furniture Equipment,30370913.0,29274982.0
Buildings And Improvements,250382349.0,233200273.0
Land And Improvements,47729798.0,47729798.0
Properties,0.0,0.0
Current Assets,279696519.0,282343521.0
Other Current Assets,1694088.0,1599731.0
Restricted Cash,6300623.0,1965554.0
Prepaid Assets,32066386.0,24419054.0
Inventory,160217720.0,187018396.0
Inventories Adjustments Allowances,-43015273.0,-28240502.0
Other Inventories,199255686.0,211070404.0
Finished Goods,3977307.0,4188494.0
Other Receivables,-237451.0,2965331.0
Accounts Receivable,14335813.0,11046035.0
Allowance For Doubtful Accounts Receivable,-1597675.0,-918404.0
Gross Accounts Receivable,15933488.0,11964439.0
Cash Cash Equivalents And Short Term Investments,65319340.0,53329420.0
Cash And Cash Equivalents,65319340.0,53329420.0
Cash Financial,65319340.0,53329420.0
