,2026-03-31,2025-03-31
Ordinary Shares Number,100000000.0,100000000.0
Share Issued,100000000.0,100000000.0
Total Debt,8490841.0,8305617.0
Tangible Book Value,199273524.0,161968990.0
Invested Capital,200133907.0,162714125.0
Working Capital,163176488.0,123276084.0
Net Tangible Assets,199273524.0,161968990.0
Capital Lease Obligations,8490841.0,8305617.0
Common Stock Equity,200133907.0,162714125.0
Total Capitalization,200133907.0,162714125.0
Total Equity Gross Minority Interest,200133907.0,162714125.0
Stockholders Equity,200133907.0,162714125.0
Retained Earnings,99833907.0,62414125.0
Capital Stock,100000000.0,100000000.0
Common Stock,100000000.0,100000000.0
Total Liabilities Net Minority Interest,136658438.0,135795329.0
Total Non Current Liabilities Net Minority Interest,26971762.0,26159522.0
Non Current Pension And Other Postretirement Benefit Plans,20358706.0,19135611.0
Long Term Debt And Capital Lease Obligation,6613056.0,7023911.0
Long Term Capital Lease Obligation,6613056.0,7023911.0
Current Liabilities,109686676.0,109635807.0
Other Current Liabilities,717477.0,631371.0
Current Deferred Taxes Liabilities,2816589.0,4820377.0
Current Debt And Capital Lease Obligation,1877785.0,1281706.0
Current Capital Lease Obligation,1877785.0,1281706.0
Pensionand Other Post Retirement Benefit Plans Current,8723110.0,10232977.0
Current Provisions,6020415.0,2972181.0
Payables,51394156.0,38867925.0
Other Payable,3815950.0,3628742.0
Total Tax Payable,5015015.0,3544909.0
Accounts Payable,42563191.0,31694274.0
Total Assets,336792345.0,298509454.0
Total Non Current Assets,63929181.0,65597563.0
Non Current Deferred Taxes Assets,3749557.0,5210244.0
Goodwill And Other Intangible Assets,860383.0,745135.0
Other Intangible Assets,860383.0,745135.0
Net PPE,59319241.0,59642184.0
Accumulated Depreciation,-91840966.0,-84891654.0
Gross PPE,151160207.0,144533838.0
Construction In Progress,593200.0,0.0
Other Properties,3202470.0,2732075.0
Machinery Furniture Equipment,65471832.0,64397415.0
Buildings And Improvements,64931705.0,60443348.0
Land And Improvements,16961000.0,16961000.0
Properties,0.0,0.0
Current Assets,272863164.0,232911891.0
Other Current Assets,517235.0,327.0
Restricted Cash,3151975.0,1075363.0
Prepaid Assets,13121715.0,15174856.0
Inventory,74893727.0,78202532.0
Inventories Adjustments Allowances,-5084894.0,-13055072.0
Finished Goods,27531084.0,22732543.0
Work In Process,6463003.0,17071150.0
Raw Materials,45984534.0,51453911.0
Other Receivables,18331957.0,5342016.0
Accounts Receivable,75110454.0,64531438.0
Allowance For Doubtful Accounts Receivable,-7819775.0,-7860633.0
Gross Accounts Receivable,82930229.0,72392071.0
Cash Cash Equivalents And Short Term Investments,87736101.0,68585359.0
Cash And Cash Equivalents,87736101.0,68585359.0
Cash Equivalents,0.0,20000000.0
Cash Financial,87736101.0,48585359.0
