,2025-12-31,2024-12-31,2023-12-31
Ordinary Shares Number,160925543.0,160925543.0,160925543.0
Share Issued,160925543.0,160925543.0,160925543.0
Net Debt,464507593.0,357204667.0,306384299.0
Total Debt,832334195.0,511190124.0,453825866.0
Tangible Book Value,131200437.0,93593644.0,47025537.0
Invested Capital,1244912060.0,943882322.0,835403605.0
Working Capital,187829829.0,95114208.0,175958739.0
Net Tangible Assets,131200437.0,93593644.0,47025537.0
Capital Lease Obligations,62115603.0,9782284.0,11275353.0
Common Stock Equity,474693468.0,442474482.0,392853092.0
Total Capitalization,1202299336.0,803801447.0,793575227.0
Total Equity Gross Minority Interest,479016277.0,445920032.0,393238360.0
Minority Interest,4322809.0,3445550.0,385268.0
Stockholders Equity,474693468.0,442474482.0,392853092.0
Retained Earnings,332359710.0,274685074.0,229971854.0
Additional Paid In Capital,,0.0,0.0
Capital Stock,160925543.0,160925543.0,160925543.0
Common Stock,160925543.0,160925543.0,160925543.0
Total Liabilities Net Minority Interest,1205632804.0,704364002.0,596101525.0
Total Non Current Liabilities Net Minority Interest,872551233.0,439747545.0,446147999.0
Derivative Product Liabilities,798600.0,0.0,387749.0
Non Current Pension And Other Postretirement Benefit Plans,26505650.0,25417472.0,22393896.0
Tradeand Other Payables Non Current,29150608.0,31237225.0,
Non Current Deferred Revenue,13420385.0,13791948.0,13105682.0
Long Term Debt And Capital Lease Obligation,784359793.0,369300900.0,410260672.0
Long Term Capital Lease Obligation,56753925.0,7973935.0,9538537.0
Long Term Debt,727605868.0,361326965.0,400722135.0
Long Term Provisions,18316197.0,,
Current Liabilities,333081571.0,264616457.0,149953526.0
Current Deferred Taxes Liabilities,6578505.0,6102300.0,5519040.0
Current Debt And Capital Lease Obligation,47974402.0,141889224.0,43565194.0
Current Capital Lease Obligation,5361678.0,1808349.0,1736816.0
Current Debt,42612724.0,140080875.0,41828378.0
Pensionand Other Post Retirement Benefit Plans Current,16120065.0,11206725.0,14276858.0
Payables,138488792.0,12136395.0,29191215.0
Other Payable,3252682.0,4722141.0,5944511.0
Total Tax Payable,1957033.0,1836316.0,1236153.0
Accounts Payable,133279077.0,5577938.0,22010551.0
Total Assets,1684649081.0,1150284034.0,989339885.0
Total Non Current Assets,1163737681.0,790553369.0,663427620.0
Non Current Prepaid Assets,7428996.0,35337103.0,13527315.0
Financial Assets,968628.0,9388092.0,0.0
Long Term Equity Investment,23327658.0,19087059.0,13406907.0
Investmentsin Associatesat Cost,23327658.0,19087059.0,13406907.0
Goodwill And Other Intangible Assets,343493031.0,348880838.0,345827555.0
Other Intangible Assets,343493031.0,348880838.0,345827555.0
Net PPE,69221278.0,16496103.0,20254770.0
Accumulated Depreciation,-39364883.0,-31926914.0,-29368257.0
Gross PPE,108586161.0,48423017.0,49623027.0
Construction In Progress,,0.0,160786.0
Machinery Furniture Equipment,45688394.0,35972365.0,35302646.0
Buildings And Improvements,62897767.0,12450652.0,14159595.0
Properties,0.0,0.0,0.0
Current Assets,520911400.0,359730665.0,325912265.0
Hedging Assets Current,,0.0,1977120.0
Prepaid Assets,61317090.0,25868741.0,25830425.0
Inventory,6421442.0,6431673.0,5772457.0
Raw Materials,6421442.0,6431673.0,5772457.0
Other Receivables,44777686.0,51007894.0,77468620.0
Accounts Receivable,47684183.0,52219184.0,62636429.0
Allowance For Doubtful Accounts Receivable,-2418171.0,-5711468.0,-4480484.0
Gross Accounts Receivable,50102354.0,57930652.0,67116913.0
Cash Cash Equivalents And Short Term Investments,360710999.0,224203173.0,152227214.0
Other Short Term Investments,55000000.0,80000000.0,16061000.0
Cash And Cash Equivalents,305710999.0,144203173.0,136166214.0
Cash Equivalents,167680000.0,14000000.0,0.0
Cash Financial,138030999.0,130203173.0,136166214.0
