,2025-12-31,2024-12-31
Ordinary Shares Number,170851983.0,170851893.0
Share Issued,170851983.0,170851893.0
Total Debt,7474418192.0,6238694847.0
Tangible Book Value,1549765866.0,-356953741.0
Invested Capital,5033958829.0,2068277509.0
Working Capital,810625162.0,-989067428.0
Net Tangible Assets,1549765866.0,-356953741.0
Capital Lease Obligations,5990225229.0,5813463597.0
Common Stock Equity,3549765866.0,1643046259.0
Total Capitalization,4604481001.0,1743790009.0
Total Equity Gross Minority Interest,3549765866.0,1643046259.0
Stockholders Equity,3549765866.0,1643046259.0
Retained Earnings,607011137.0,65295300.0
Additional Paid In Capital,1190734840.0,0.0
Capital Stock,1708518930.0,1534250000.0
Common Stock,1708518930.0,1534250000.0
Total Liabilities Net Minority Interest,13673359434.0,11886687874.0
Total Non Current Liabilities Net Minority Interest,9567644290.0,8773434721.0
Non Current Pension And Other Postretirement Benefit Plans,316852389.0,267868028.0
Tradeand Other Payables Non Current,130316621.0,
Long Term Debt And Capital Lease Obligation,6004958240.0,5406546303.0
Long Term Capital Lease Obligation,4950243105.0,5305802553.0
Long Term Debt,1054715135.0,100743750.0
Long Term Provisions,3115517040.0,3099020390.0
Current Liabilities,4105715144.0,3113253153.0
Current Debt And Capital Lease Obligation,1469459952.0,832148544.0
Current Capital Lease Obligation,1039982124.0,507661044.0
Current Debt,429477828.0,324487500.0
Current Provisions,310285694.0,297794229.0
Payables,1800422747.0,1558341586.0
Accounts Payable,1800422747.0,1558341586.0
Total Assets,17223125300.0,13529734133.0
Total Non Current Assets,12306784994.0,11405548408.0
Goodwill And Other Intangible Assets,2000000000.0,2000000000.0
Net PPE,10306784994.0,9405548408.0
Accumulated Depreciation,-699274078.0,-615862686.0
Gross PPE,11006059072.0,10021411094.0
Construction In Progress,1241137133.0,924987317.0
Other Properties,2149480405.0,2321886782.0
Machinery Furniture Equipment,7578950435.0,6715860114.0
Buildings And Improvements,36491099.0,58676881.0
Properties,0.0,0.0
Current Assets,4916340306.0,2124185725.0
Prepaid Assets,296736931.0,80647124.0
Inventory,1998343.0,2596940.0
Raw Materials,1998343.0,2596940.0
Other Receivables,58209450.0,45798297.0
Accounts Receivable,360164173.0,238566986.0
Allowance For Doubtful Accounts Receivable,-94941254.0,-90114260.0
Gross Accounts Receivable,455105427.0,328681246.0
Cash Cash Equivalents And Short Term Investments,4199231409.0,1756576378.0
Other Short Term Investments,56250000.0,56250000.0
Cash And Cash Equivalents,4142981409.0,1700326378.0
Cash Equivalents,3770554657.0,1260000000.0
Cash Financial,372426752.0,440326378.0
