,2025-12-31,2024-12-31
Tax Effect Of Unusual Items,226938.359021,795925.664007
Tax Rate For Calcs,0.021108,0.03187
Normalized EBITDA,294991825.0,286063841.0
Total Unusual Items,10751203.0,24973957.0
Total Unusual Items Excluding Goodwill,10751203.0,24973957.0
Net Income From Continuing Operation Net Minority Interest,261922760.0,213554440.0
Reconciled Depreciation,1981699.0,1488980.0
Reconciled Cost Of Revenue,836928967.0,1045202840.0
EBITDA,305743028.0,311037798.0
EBIT,303761329.0,309548818.0
Net Interest Income,-68656315.0,-926235.0
Interest Expense,10320248.0,3481052.0
Interest Income,6037892.0,2670578.0
Normalized Income,251398495.359021,189376408.664007
Net Income From Continuing And Discontinued Operation,261922760.0,213554440.0
Total Expenses,935735619.0,1134970662.0
Rent Expense Supplemental,1864557.0,2678804.0
Total Operating Income As Reported,341261317.0,267191508.0
Diluted Average Shares,300000000.0,300000000.0
Basic Average Shares,300000000.0,300000000.0
Diluted EPS,0.87,0.711848
Basic EPS,0.87,0.711848
Diluted NI Availto Com Stockholders,261922760.0,213554440.0
Net Income Common Stockholders,261922760.0,213554440.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,261922760.0,213554440.0
Minority Interests,-25324313.0,-82758877.0
Net Income Including Noncontrolling Interests,287247073.0,296313317.0
Net Income Continuous Operations,287247073.0,296313317.0
Tax Provision,6194008.0,9754449.0
Pretax Income,293441081.0,306067766.0
Other Non Operating Income Expenses,14713281.0,2001226.0
Net Non Operating Interest Income Expense,-68656315.0,-926235.0
Total Other Finance Cost,64373959.0,115761.0
Interest Expense Non Operating,10320248.0,3481052.0
Interest Income Non Operating,6037892.0,2670578.0
Operating Income,341261317.0,267191508.0
Operating Expense,98806652.0,89767822.0
Depreciation And Amortization In Income Statement,1283590.0,1030354.0
Depreciation Income Statement,1283590.0,1030354.0
Selling General And Administration,58857649.0,42665663.0
Selling And Marketing Expense,36604401.0,6947344.0
General And Administrative Expense,22253248.0,35718319.0
Rent And Landing Fees,368051.0,929826.0
Gross Profit,440067969.0,356959330.0
Cost Of Revenue,836928967.0,1045202840.0
Total Revenue,1276996936.0,1402162170.0
Operating Revenue,1276996936.0,1402162170.0
