,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,56000000.0,56000000.0,56000000.0,56000000.0
Share Issued,56000000.0,56000000.0,56000000.0,56000000.0
Net Debt,2921796.0,729709.0,907070.0,16595132.0
Total Debt,78053571.0,40446063.0,41494337.0,60098512.0
Tangible Book Value,71430725.0,69026005.0,65811658.0,55398598.0
Invested Capital,104395911.0,83139459.0,80881229.0,80374351.0
Working Capital,-22643056.0,-8819398.0,-13155815.0,-22120559.0
Net Tangible Assets,71430725.0,69026005.0,65811658.0,55398598.0
Capital Lease Obligations,54017026.0,27563459.0,27936486.0,36660166.0
Common Stock Equity,80359366.0,70256855.0,67323378.0,56936005.0
Total Capitalization,97251057.0,79146867.0,71895440.0,70244560.0
Total Equity Gross Minority Interest,82132376.0,70256855.0,67323378.0,56936005.0
Minority Interest,1773010.0,0.0,0.0,
Stockholders Equity,80359366.0,70256855.0,67323378.0,56936005.0
Retained Earnings,45359366.0,35256855.0,26496093.0,16108720.0
Capital Stock,35000000.0,35000000.0,35000000.0,35000000.0
Common Stock,35000000.0,35000000.0,35000000.0,35000000.0
Total Liabilities Net Minority Interest,141218036.0,79185637.0,76282047.0,94303046.0
Total Non Current Liabilities Net Minority Interest,66071938.0,33727442.0,28058334.0,41344580.0
Non Current Pension And Other Postretirement Benefit Plans,9530186.0,7184866.0,5880705.0,4774448.0
Long Term Debt And Capital Lease Obligation,56541752.0,26542576.0,22177629.0,36570132.0
Long Term Capital Lease Obligation,39650061.0,17652564.0,17605567.0,23261577.0
Long Term Debt,16891691.0,8890012.0,4572062.0,13308555.0
Current Liabilities,75146098.0,45458195.0,48223713.0,52958466.0
Current Deferred Taxes Liabilities,293229.0,248098.0,398140.0,513499.0
Current Debt And Capital Lease Obligation,21511819.0,13903487.0,19316708.0,23528380.0
Current Capital Lease Obligation,14366965.0,9910895.0,10330919.0,13398589.0
Current Debt,7144854.0,3992592.0,8985789.0,10129791.0
Payables,41443882.0,25057992.0,28508865.0,26971138.0
Other Payable,7372226.0,5889912.0,334827.0,4018272.0
Total Tax Payable,1161902.0,808641.0,1128757.0,667202.0
Accounts Payable,32909754.0,18359439.0,28174038.0,22285664.0
Total Assets,223350412.0,149442492.0,143605425.0,151239051.0
Total Non Current Assets,170847370.0,112803695.0,108537527.0,120401144.0
Goodwill And Other Intangible Assets,8928641.0,1230850.0,1511720.0,1537407.0
Other Intangible Assets,935640.0,1230850.0,1511720.0,1537407.0
Goodwill,7993001.0,0.0,0.0,
Net PPE,161918729.0,111572845.0,107025807.0,118863737.0
Accumulated Depreciation,-93314769.0,-92003260.0,-83490574.0,-70102834.0
Gross PPE,255233498.0,203576105.0,190516381.0,188966571.0
Construction In Progress,3370753.0,2112343.0,2500254.0,4414625.0
Other Properties,138265003.0,108292299.0,102534784.0,103516861.0
Machinery Furniture Equipment,100515466.0,80089187.0,72399067.0,67952809.0
Buildings And Improvements,9309464.0,9309464.0,9309464.0,9309464.0
Land And Improvements,3772812.0,3772812.0,3772812.0,3772812.0
Properties,0.0,0.0,0.0,0.0
Current Assets,52503042.0,36638797.0,35067898.0,30837907.0
Prepaid Assets,12637497.0,11604412.0,10970298.0,12077899.0
Inventory,9419990.0,7707567.0,6897475.0,6338840.0
Other Inventories,3048417.0,3293119.0,3993904.0,3757097.0
Raw Materials,6371573.0,4414448.0,2903571.0,2581743.0
Other Receivables,-2755960.0,-1678185.0,-402220.0,5577954.0
Accounts Receivable,12086766.0,6852108.0,4951564.0,
Cash Cash Equivalents And Short Term Investments,21114749.0,12152895.0,12650781.0,6843214.0
Cash And Cash Equivalents,21114749.0,12152895.0,12650781.0,6843214.0
Cash Equivalents,5000000.0,0.0,,
Cash Financial,16114749.0,12152895.0,12650781.0,6843214.0
