,2025-12-31,2024-12-31,2023-12-31
Free Cash Flow,93241491.0,9335290.0,27576871.0
Capital Expenditure,-6214130.0,-16411860.0,-14157872.0
End Cash Position,209947686.0,208856207.0,216624639.0
Beginning Cash Position,208856207.0,216624639.0,183634389.0
Changes In Cash,1091479.0,-7768432.0,32990250.0
Financing Cash Flow,-99606719.0,-41703411.0,-5254458.0
Cash Dividends Paid,-92220000.0,-35000000.0,
Investing Cash Flow,1242577.0,8187829.0,-3490035.0
Net Investment Purchase And Sale,7118615.0,11446005.0,10667837.0
Sale Of Investment,12701174.0,13261261.0,11688829.0
Purchase Of Investment,-5582559.0,-1815256.0,-1020992.0
Net Intangibles Purchase And Sale,-3574509.0,-4387807.0,-3000641.0
Purchase Of Intangibles,-3574509.0,-4387807.0,-3000641.0
Net PPE Purchase And Sale,-2301529.0,1129631.0,-11157231.0
Sale Of PPE,338092.0,13153684.0,
Purchase Of PPE,-2639621.0,-12024053.0,-11157231.0
Operating Cash Flow,99455621.0,25747150.0,41734743.0
Taxes Refund Paid,-8713175.0,-7193718.0,-4974251.0
Change In Working Capital,-81276357.0,-101463133.0,-75703910.0
Change In Other Current Liabilities,-1444301.0,8751256.0,5150916.0
Change In Other Current Assets,6983635.0,11701481.0,-4785191.0
Change In Accrued Expense,22394063.0,27792193.0,3970529.0
Change In Payable,-470426.0,-1514784.0,832684.0
Change In Prepaid Assets,-42388828.0,-37289103.0,-29580210.0
Change In Inventory,-24316000.0,-25870000.0,-12619398.0
Change In Receivables,-42034500.0,-85034176.0,-38673240.0
Other Non Cash Items,24247289.0,14168086.0,28596914.0
Provisionand Write Offof Assets,14698639.0,4127987.0,1622940.0
Depreciation And Amortization,40144831.0,28216472.0,22373356.0
Amortization Cash Flow,26201760.0,16151251.0,11931734.0
Depreciation,13943071.0,12065221.0,10441622.0
Pension And Employee Benefit Expense,11222200.0,7731485.0,6532073.0
Gain Loss On Investment Securities,414437.0,-807308.0,-378122.0
Gain Loss On Sale Of PPE,-2130.0,-9559257.0,0.0
Net Income From Continuing Operations,105560581.0,94654090.0,67759260.0
