,2025-12-31,2024-12-31
Tax Effect Of Unusual Items,4670273.0,0.0
Tax Rate For Calcs,0.2,0.0
Normalized EBITDA,37125332.0,123902371.0
Total Unusual Items,23351365.0,-11027381.0
Total Unusual Items Excluding Goodwill,23351365.0,-11027381.0
Net Income From Continuing Operation Net Minority Interest,-123051859.0,27095975.0
Reconciled Depreciation,129319317.0,71217352.0
Reconciled Cost Of Revenue,1244096097.0,1107410122.0
EBITDA,60476697.0,112874990.0
EBIT,-68842620.0,41657638.0
Net Interest Income,-52943235.0,-14574304.0
Interest Expense,50674180.0,14561663.0
Interest Income,0.0,2749917.0
Normalized Income,-141732951.0,38123356.0
Net Income From Continuing And Discontinued Operation,-123051859.0,27095975.0
Total Expenses,1442021600.0,1228197103.0
Rent Expense Supplemental,10284953.0,3044754.0
Total Operating Income As Reported,-68842620.0,38907721.0
Diluted Average Shares,30000000.0,30000000.0
Basic Average Shares,30000000.0,30000000.0
Diluted EPS,-4.1,0.903199
Basic EPS,-4.1,0.903199
Diluted NI Availto Com Stockholders,-123051859.0,27095975.0
Net Income Common Stockholders,-123051859.0,27095975.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,-123051859.0,27095975.0
Net Income Including Noncontrolling Interests,-123051859.0,27095975.0
Net Income Continuous Operations,-123051859.0,27095975.0
Tax Provision,3535059.0,0.0
Pretax Income,-119516800.0,27095975.0
Other Non Operating Income Expenses,947417.0,691681.0
Special Income Charges,23351365.0,-11027381.0
Other Special Charges,-20000281.0,-2672614.0
Write Off,-3351084.0,9915735.0
Impairment Of Capital Assets,0.0,3784260.0
Net Non Operating Interest Income Expense,-52943235.0,-14574304.0
Total Other Finance Cost,2269055.0,2762558.0
Interest Expense Non Operating,50674180.0,14561663.0
Interest Income Non Operating,0.0,2749917.0
Operating Income,-90870772.0,51506615.0
Operating Expense,197925503.0,120786981.0
Other Operating Expenses,3094380.0,598387.0
Depreciation And Amortization In Income Statement,10613870.0,9738226.0
Depreciation Income Statement,10613870.0,9738226.0
Selling General And Administration,91091863.0,55996201.0
Selling And Marketing Expense,57988661.0,37650402.0
General And Administrative Expense,33103202.0,18345799.0
Rent And Landing Fees,10284953.0,3044754.0
Gross Profit,107054731.0,172293596.0
Cost Of Revenue,1244096097.0,1107410122.0
Total Revenue,1351150828.0,1279703718.0
Operating Revenue,1351150828.0,1279703718.0
